<<<<<<< HEAD
,Trident[t 49],Gecko[g 110],WebKit[w 82],Presto[p 38][p 39]
The canvas state,,,,
save,5.0,1.8,Yes,2.0
restore,,,,
Transformations,,,,
scale,5.0,1.8,Yes,2.0
rotate,,,,
translate,,,,
transform,,,,2.6[note 16][p 40][p 41][p 42]
setTransform,,,,2.6[note 16]
Compositing,,,,
globalAlpha,5.0,1.8,Yes,2.0
globalCompositeOperation,,,,
Colors and styles,,,,
strokeStyle,5.0,1.8,Yes,2.0
fillStyle,,,,
createLinearGradient,,,,
createRadialGradient,,,,
createPattern,,,,
Line styles,,,,
lineWidth,5.0,1.8,Yes,2.0
lineCap,,,,
lineJoin,,,,
miterLimit,,,,
Shadows,,,,
shadowOffsetX,5.0,1.9.1[g 111],Yes,2.4[note 17]
shadowOffsetY,,,,
shadowBlur,,,,
shadowColor,,,,
Simple shapes,,,,
clearRect,5.0,1.8,Yes,2.0
fillRect,,,,
strokeRect,,,,
Complex shapes,,,,
beginPath,5.0,1.8,Yes,2.0
closePath,,,,
moveTo,,,,
lineTo,,,,
quadraticCurveTo,,1.8.1[note 18],,
bezierCurveTo,,1.8,,
arcTo,,1.8.1[g 112],,
rect,,1.8,,
arc,,,,
fill,,,,
stroke,,,,
clip,,,,
isPointInPath,,,,
Focus management,,,,
drawFocusRing,No,28.0[g 113],No,No
Text,,,,
font,5.0,1.9.1[note 19],Yes,No
textAlign,,,,2.6
textBaseline,,,,
fillText,,,,
strokeText,,,,
measureText,,,,
Images,,,,
drawImage,5.0,1.8,Yes,2.0
createImageData,,1.9.1[g 115][g 116],,2.7[p 43]
getImageData,,1.9[g 116],,2.6[note 16]
putImageData,,2.0[g 117][g 116],,
=======
Attribute,Deprecated for,Function,Supported first by,Trident,Gecko,WebKit,KHTML,Presto
bgproperties,body,Determines whether background image scrolls with the background,Internet Explorer,3.1,No,Yes,Yes,No
bordercolor,body,"Sets colors for 3-D table borders in the table, td, th, and tr elements",Internet Explorer,,No,Yes,Yes,No
bordercolordark,body,"Sets colors for 3-D table borders in the table, td, th, and tr elements",Internet Explorer,,No,No,No,No
bordercolorlight,body,"Sets colors for 3-D table borders in the table, td, th, and tr elements",Internet Explorer,,,,,
controls,img,Uses the img element to place video or audio clips,Internet Explorer,,No,No,No,No
dynsrc,img,Uses the img element to place video or audio clips,Internet Explorer,,No,No,No,No
event,script,Defines function to call for an object.,Internet Explorer,,Partial,?,?,?
for,script,Defines the object to bind a scripting event.,Internet Explorer,,Partial,?,?,?
frame,table,Controls the display of the outer borders of a table in the table tag,Internet Explorer,,Yes,?,Yes,No
framespacing,frameset,Sets the amount of space between frames,Internet Explorer,,?,?,No,No
leftmargin,body,Sets the margin between the browser window and the contents of the page,Internet Explorer,3.1,?,?,Yes,No
loop,img,Uses the img element to place video or audio clips,Internet Explorer,,No,No,No,No
rightmargin,body,Sets the margin between the browser window and the contents of the page,Internet Explorer,3.1,?,?,No,No
start,img,Uses the img element to place video or audio clips,Internet Explorer,,No,No,No,No
target,form,Specifies a target window or frame for the output of a form,Internet Explorer,,No[19],?,Yes,No
valign,caption,Sets vertical alignment of table caption,Internet Explorer,3.1,?,?,No,No
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
