<<<<<<< HEAD
Editor,JPEG,GIF,PNG,TIFF,SVG
Amaya,Yes,Yes,Yes,Yes,Yes
Aptana,Yes,Yes,Yes,Yes,Depends
Arachnophilia,?,?,?,?,?
Bluefish,Yes,Yes,Yes,Yes,Yes
BlueGriffon,Yes,Yes,Yes,?,Yes
Brackets,Yes,Yes,Yes,No,Yes (via extension)[16]
Claris Homepage,Yes,Yes,No,No,No
Codelobster,Yes,Yes,Yes,No,No
CoffeeCup HTML Editor,Yes,Yes,Yes,Yes,No
Dreamweaver,Yes,Yes,Yes,Yes,Yes
Freeway,Yes,Yes,Yes,Yes,Yes
GoLive,Yes,Yes,Yes,No,Yes
KompoZer,Yes,Yes,Yes,No,No
Maqetta,?,?,?,?,?
Microsoft Expression Web,Yes,Yes,Yes,Yes,No
Microsoft FrontPage[17],Yes,Yes,Yes,?,Depends
Microsoft SharePoint Designer,Yes,Yes,Yes,Yes,No
Microsoft Visual Web Developer,Yes,Yes,Yes,Yes,No
Mobirise,Yes,Yes,Yes,Yes,Yes
Nvu,Yes,Yes,Yes,No,No
openElement,Yes,Yes,Yes,No,No
OpenOffice.org,Yes,Yes,Yes,Yes,Yes
oXygenXML Editor,Yes,Yes,Yes,Yes,Yes
Quanta Plus,Yes,Yes,Yes,Yes,Yes
RocketCake,Yes,Yes,Yes,No,No
SeaMonkey Composer,Yes,Yes,Yes,No,Yes
TOWeb,Yes,Yes,Yes,No,No
Web Architect,Yes,Yes,Yes,Yes,Depends
WebStorm IDE,Yes,Yes,Yes,No,No
Editor,JPEG,GIF,PNG,TIFF,SVG
=======
Editor,WYSIWYG,FTP Upload,WebDAV Upload,Server-side scripting,Shared editing,Spell checking,Templates,Templates Update Sync,Page Preview,Form Handler
Amaya,Yes,No,Yes,No,No,Yes,Partial[6],No,Yes,?
Aptana,No,Yes,?,Yes (via plugins),Yes,No,Some (i.e. Snippets),?,Yes,?
Arachnophilia,No,?,?,?,?,Yes,Yes,?,Yes,?
Bluefish,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,?
BlueGriffon,Yes,No (add-on)[7],No,?,No,Yes,Yes (via commercial proprietary add-on)[8],No,Yes,?
Brackets,"Live Preview" in-browser,Yes (via extension),No,Yes,No,Yes (via extension),Yes (via extension),No,Yes,?
Claris Homepage,Yes,Yes,No,No,No,Yes,Yes,No,Yes,?
Codelobster,No,Yes,No,Yes,No,No,Yes,?,Yes,?
CoffeeCup HTML Editor,No,Yes,?,No,No,Yes,Yes,?,Yes,?
Dreamweaver,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
EZGenerator,Yes,Yes,?,?,?,Yes,Yes,?,Yes,?
Freeway,Yes,Yes,No,Yes,No,Yes,Yes,?,Yes,Yes
GoLive,Yes,Yes,Yes,Yes,No,Yes,Yes,?,Yes,?
HTML-Kit,No,Yes,?,Yes,No,Yes,Yes,?,Yes,?
KompoZer,Yes,Yes,No,No,No,Yes,Yes,No,Yes,?
LibreOffice,Yes,Yes,?,?,Yes,Yes,Yes,?,Yes,?
Maqetta,Yes,?,?,?,?,?,?,?,Yes,?
Microsoft Expression Web,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?
Microsoft FrontPage,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,?
Microsoft SharePoint Designer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,?
Microsoft Visual Web Developer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,?
Mobirise,Yes,Yes,No,Yes,No,No,Yes,?,Yes,Yes
Web Architect,No,Yes,?,Yes,No,Yes,Yes,?,Yes,?
Nvu,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,?
openElement,Yes,Yes,No,Yes,No,Yes,Yes,?,Yes,Yes
OpenOffice.org,Yes,Yes,?,?,Yes,Yes,Yes,?,Yes,?
oXygenXML Editor,Partial (more like WYSIWYM),Yes and SFTP,Yes,Yes,Yes,Yes,Yes,Yes,Partial (via XSLT to browser),"maybe, depends on type."
Quanta Plus,Yes,Yes,No (cvs instead),Yes,Yes,Yes,Yes,Yes,Yes,?
RocketCake,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes
SeaMonkey Composer,Yes,Yes,Yes,No,No,Yes,No,No,Yes,?
TOWeb,Yes,Yes,No,Yes,No,Yes,Yes,?,Yes,Yes
Editor,WYSIWYG,FTP Upload,WebDAV Upload,Server-side scripting,Shared editing,Spell checking,Templates,Templates Update Sync,Page Preview,Form Handler
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
