<<<<<<< HEAD
BitTorrent client,Windows,macOS,Linux,BSD,iOS,Android,Other
BitComet,Yes,Yes,No,No,No,No,No
BitLord,Yes,Yes,No,No,No,No,No
BitTorrent,Yes,Yes,No,No,No,Yes[25],No
Deluge,Yes,Yes,Yes,Yes,No,No,Solaris
FlashGet,Yes,No,No,No,No,No,No
Free Download Manager,Yes,Yes,No,No,No,No,No
Frostwire,Yes[26],Yes[26],Yes[26],Yes[26],No[26],Yes[26],"Unix-like,[26] z/OS,[27] Solaris, OS/2, eComStation, ArcaOS[28]"
KGet,No,No,Yes,Yes,No,No,No
KTorrent,No,Yes,Yes,Yes,No,No,No
Lftp,Yes,Yes,Yes,Yes,No,No,No
LimeWire,Yes,Yes,Yes,Yes,No,No,Yes[specify]
Miro,Yes,Yes,Yes,Yes,No,No,No
MLDonkey,Yes,Yes,Yes,Yes,No,No,"Solaris, MorphOS"
?Torrent,Yes,Yes,Web,No,No,Yes[29],No
Opera 12,Yes[Note 1],Yes,Yes[Note 1],Yes[Note 1],No,Yes[citation needed],Solaris
qBittorrent,Yes[30],Yes[30],Yes[30],Yes[30],No[30],No[31],"OS/2 (including eComStation and ArcaOS), FreeBSD, Haiku[30]"
Robert,Yes,Yes,Yes,Yes,No,No,No
rTorrent,"Yes, through Cygwin[32]",Yes,Yes,Yes,No,No,Solaris
Shareaza,Yes,No,No,No,No,No,No
Tixati,Yes,No,Yes,No,No,No,No
Tonido,Yes,Yes,Yes,Yes,No,No,No
Transmission,Yes [Note 1],Yes,Yes,Yes,"Yes, through Cydia",Yes,"Solaris, OpenWrt"
Tribler,Yes,Yes,Yes,Yes,No,No,No
Vuze,Yes,Yes,Yes,Yes,No,Yes[33],No
Xunlei,Yes,Yes,No,No,Yes,Yes[citation needed],No
Name,Windows,Mac OS X,Linux,BSD,iOS,Android,Other
=======
BitTorrent library,Super-seeding,Tracker,UPnP [Note 1],NAT Port Mapping Protocol,NAT traversal [Note 2],DHT [Note 3],Peer exchange,Encryption,UDP tracker,LPD,Fast extensions,Magnet URI,?TP
libtorrent (Rasterbar),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[84],Yes,Yes,Yes[85]
MonoTorrent,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
rTorrent (libTorrent Rakshasa),Yes,Yes,No,?,?,Yes,Yes,Yes,Yes,?,No,Yes,No
BitTorrent library,Super-seeding,Tracker,UPnP,NAT Port Mapping Protocol,NAT traversal,DHT,Peer exchange,Encryption,UDP tracker,LPD,Fast extensions,Magnet URI,?TP
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
