<<<<<<< HEAD
System,Email,RSS,Atom,XMPP,Twitter
Apache Bloodhound,Yes,Yes,No,No,No
Assembla Tickets,Yes,Yes,No,No,Yes
Axosoft,Yes,Yes,No,No,No
Bugzilla,Yes,Yes,Yes,No,No
Debbugs,Yes,No,No,No,No
Faveo Helpdesk,Yes,No,No,No,No
FogBugz,Yes,Yes,No,No,No
Fossil,Yes,Yes,No,No,No
FusionForge,Yes,Yes,No,No,No
GLPI,Yes,No,No,Yes,No
GNATS,Yes,No,No,No,No
HP Quality Center,Yes,No,No,No,No
IBM Rational ClearQuest,Yes,No,No,No,No
Jira,Yes,Yes,No,Yes,No
MantisBT,Yes,Yes,No,No,Yes
Microsoft Dynamics CRM,Yes,No,No,No,No
org-mode,No,No,No,No,No
OTRS,Yes,No,No,No,No
Phabricator,Yes,No,No,No,No
Pivotal Tracker,Yes,Yes,Yes,No,Yes
Redmine,Yes,Yes,Yes,"Yes, via plugin",Yes
Request Tracker,Yes,Yes[69],No,No,No
Roundup,Yes,Yes[70],Yes[70],No,No
StarTeam,Yes,No,No,No,No
Supportworks,Yes,No,No,No,No
SysAid,Yes,No,No,No,No
Team Foundation Server,Yes,No,No,No,No
TestTrack,Yes,Yes,No,No,No
Trac,Yes,Yes,No,No,No
TrackerSuite.Net,Yes,No,No,No,No
Twproject,Yes,Yes,No,No,Yes
Wrike,Yes,No,No,No,No
YouTrack,Yes,Yes,No,Yes,No
System,Email,RSS,Atom,XMPP,Twitter
=======
System,Git,Mercurial,Bazaar,Monotone,Darcs,CVS,Subversion,Perforce,AccuRev,ClearCase,Others
Apache Bloodhound,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Optional[71],Yes,No,No
Assembla Tickets,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No
Axosoft,Yes,Yes[72],No,No,No,No,Yes,Yes,No,No,"Yes VSS, Vault Sourcegear"
Bugzilla,Yes[73],Yes[74],Yes,No,No,Yes,Yes,Yes,Yes,No,No
Debbugs,No,No,No,No,No,No,No,No,No,No,No
Faveo Helpdesk,No,No,No,No,No,No,No,No,No,No,No
FogBugz,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,2[75]
Fossil,No,No,No,No,No,No,No,No,Yes,No,1[76]
FusionForge,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No
GNATS,No,No,No,No,No,Yes,No,No,No,No,No
HP Application Lifecycle Management,No,No,No,No,No,Yes,Yes,Yes[77],Yes,No,No
IBM Rational ClearQuest,No,No,No,No,No,No,No,Yes[78],Yes,Yes,No
Jira,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes[79],No[80],Yes[81]
MantisBT,Yes,Yes[82],No,No,No,Yes,Yes,No,No,No,No
Microsoft Dynamics CRM,No,No,No,No,No,No,No,No,No,No,No
org-mode,No,No,No,No,No,No,No,No,No,No,No
OTRS,No,No,No,No,No,No,No,No,No,No,No
Phabricator,Yes,Yes,No,No,No,No,Yes,No,No,No,No
Pivotal Tracker,Yes,No,No,No,No,Yes,Yes,No,No,No,No
Redmine,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes[77],No,No,No
Request Tracker,No,No,No,No,No,Yes,Yes,No,No,No,No
Roundup,No,No,No,No,Yes,No,Yes,No,No,No,No
StarTeam,No,No,No,No,No,No,No,No,No,No,Yes - StarTeam includes revision control
Supportworks,No,No,No,No,No,No,No,No,No,No,No
SysAid,No,No,No,No,No,No,Yes,No,No,No,No
Team Foundation Server,Yes[83],No,Yes[84],No,No,No,Yes[85],No,No,No,Yes - TFS includes revision control
TestTrack,Yes,No,No,No,No,Yes,Yes,Yes,No,No,"Yes - Surround SCM, VSS"
Trac,Yes,Yes,Yes,Yes,Yes,No,Yes,Optional[71],Yes,No,No
TrackerSuite.Net,No,No,No,No,No,No,No,No,No,No,No
Tuleap,Yes,No,No,No,No,Yes,Yes,No,No,No,No
Twproject,No,No,No,No,No,No,Yes,No,No,No,No
Wrike,No,No,No,No,No,No,Yes,No,No,No,No
YouTrack,Yes[86],Yes[86],No,No,No,Yes[86],Yes[86],Yes[86],No,Yes[86],3[86][87]
System,Git,Mercurial,Bazaar,Monotone,Darcs,CVS,Subversion,Perforce,AccuRev,ClearCase,Others
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
