<<<<<<< HEAD
Model,Launch,Code name,Graphics core,Fab (nm),Transistors (million),Die size (mm2),Bus interface,Core clock2 (MHz),Core config1,Fillrate,,,Memory3,,,,,Processing power (GFLOPS),Features / Notes
,,,,,,,,,,Pixel (GP/s),Texture (GT/s),FP32 (GP/s),Size (MB),Bandwidth (GB/s),Bus type,Effective clock (MHz),Bus width (bit),,
Radeon 3000 Graphics (760G Chipset),2009,RS780L[24],RV610,55,205,~73 (~9 × 8.05),HT 3.0,350,40:4:4,1.4,1.4,0.7,Up to 512 system,20.8 (system),HT (system),N/A,N/A,28,AVIVO
Radeon 3100 Graphics (780V Chipset),2008 Jan 23 (China) Mar 4 (Worldwide),RS780C,,,,,,,,,,,,,,,,,
Radeon HD 3200 Graphics (780G Chipset),,RS780,,,,,,500,,2,2,1,Up to 512 system + optional 128 sideport,20.8 (system) + 2.6 (sideport),HT (system) + DDR2-1066 DDR3-1333 (sideport),1333 (sideport),16 (sideport),40,"UVD+, 8x AA (wide-tent CFAA)"
Radeon HD 3300 Graphics (790GX Chipset),Jul 2008,RS780D,,,,,,700,,2.8,2.8,1.4,Up to 512 system + 128 sideport,,HT (system) + DDR3-1333 (sideport),,,56,"UVD+, PowerPlay"
=======
Model,Launch,Code name,Fab (nm),Core clock (MHz),Memory clock (MHz),Core config1,Fillrate,,,,Memory,,,
,,,,,,,MOperations/s,MPixels/s,MTexels/s,MVertices/s,Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit)
Radeon X550 XT,"Jan. 24, 2007",RV410 (alto),110,400,300,4:6:4:8,1600,3200,1600,600,128,4.8 9.6,DDR GDDR3,64 128
Radeon X550 XTX,,,,,,8:6:8:8,3200,,3200,,,,,
Radeon X700 SE,"Apr. 1, 2005",,,,200 250,4:6:4:8,1600,,1600,,128,3.2,DDR,64
Radeon X700 LE,"Dec. 21, 2004",,,,250,8:6:8:8,3200,,3200,,128,4,,
Radeon X1050 (RV410),"Jan, 25, 2008",,,,200,,,,,,"128, 256",6.4,,128
Radeon X700,Sept. 2005,,,,250 350,,,,,,,8 11.2,,
Radeon X700 Pro,"Dec. 21, 2004",,,425,432,,3400,3400,3400,637.5,"128, 256",13.824,GDDR3,
Radeon X700 XT,Never Released,,,475,525,,3800,3800,3800,712.5,"128, 256",16.8,,
Radeon X740 XL,"Mar. 7, 2005 (Medion OEM)",,,425,450,,3400,3400,3400,637.5,128,14.4,,
Radeon X800 GT 128MB,"Aug. 1, 2005",R423 R480 (thor),130,475,175,8:6:8:16,3800,7600,3800,712.5,128,22.4,DDR,256
Radeon X800 GT 256MB,,,,,490,,,,,,256,31.36,GDDR3,
Radeon X800,"Dec. 1, 2004",R430 (thor),110,392,350,12:6:12:16,4704,6272,4704,588,"128, 256",22.4,,
Radeon X800 GTO 128MB,"Sept. 15, 2005",R423 R480 R430 (thor),130 110,400,,,4800,6400,4800,600,128,22.4,,
Radeon X800 GTO 256MB,,,,,490,,,,,,256,31.36,,
Radeon X800 Pro,"May 5, 2004",R423 (thor),130,475,450,,5700,7600,5700,712.5,,28.8,,
Radeon X800 XL,"Dec. 1, 2004 (256 MB) May 4, 2005 (512 MB)",R430 (thor),110,400,490,16:6:16:16,6400,6400,6400,600,"256, 512",31.36,,
Radeon X800 XT,"Dec. 1, 2004",R423 (thor),130,500,500,,8000,8000,8000,750,256,32,,
Radeon X800 XT Platinum Edition,"May 5, 2004",,,520,560,,8320,8320,8320,780,,35.84,,
Radeon X850 Pro,"Dec. 1, 2004",R480 (thor),,507,520,12:6:12:16,6084,8112,6084,760.5,,33.28,,
Radeon X850 XT,,,,520,540,16:6:16:16,8320,8320,8320,780,,34.56,,
Radeon X850 XT CrossFire Master,"Sept. 29, 2004",,,520,,,,,,,,34.56,,
Radeon X850 XT Platinum Edition,"Dec. 21, 2004",,,540,590,,8640,8640,8640,810,,37.76,,
Model,Launch,Code name,Fab (nm),Core clock (MHz),Memory clock (MHz),Core config1,MOperations/s,MPixels/s,MTexels/s,MVertices/s,Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit)
,,,,,,,Fillrate,,,,Memory,,,
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
