<<<<<<< HEAD
OLAP server,Windows,Linux,UNIX,z/OS,AIX
Apache Kylin,No,Yes,Yes,No,No
ClickHouse,No,Yes,Yes,No,No
Druid,No,Yes,Yes,,
Essbase,Yes,Yes,Yes,No,Yes
IBM Cognos TM1,Yes,Yes,Yes,No,Yes
icCube,Yes,Yes,Yes,Yes,Yes
Jedox OLAP Server,Yes,Yes,Yes,No,
Kyvos,No,Yes,Yes,No,No
Microsoft Analysis Services,Yes,No,No,No,
MicroStrategy Intelligence Server,Yes,Yes,Yes,No,Yes
Mondrian OLAP server,Yes,Yes,Yes,Yes,
Oracle Database OLAP Option,Yes,Yes,Yes,Yes,
SAP NetWeaver BW,Yes,Yes,Yes,Yes,
SAS OLAP Server,Yes,Yes,Yes,Yes,
=======
OLAP server,Real Time,Write-back,Partitioning,Usage Based Optimizations,Load Balancing and Clustering
Apache Kylin,Yes [27],No,Yes,Yes,Yes
ClickHouse,Yes,Yes,Yes,Yes,Yes
Druid,Yes,?,Yes,Yes,Yes
Essbase,Yes,Yes,Yes,Yes,Yes
IBM Cognos BI,Yes,No,Yes,Yes,?
IBM Cognos TM1,Yes,Yes,Yes,?,?
icCube,Yes[28],Yes[29],Yes[30],?,?
Jedox OLAP Server,Yes,Yes,Yes,?,?
Kyvos,Yes,Yes,Yes,Yes,Yes
Microsoft Analysis Services,Yes,Yes,Yes,Yes,Yes
MicroStrategy Intelligence Server,?,Yes[31],Yes,Yes,Yes
Mondrian OLAP server,Yes,Planned,Yes,?,?
Oracle Database OLAP Option,?,Yes,Yes,No,?
SAP NetWeaver BW,?,Yes,Yes,?,?
SAS OLAP Server,?,Yes,Yes,?,?
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
