<<<<<<< HEAD
,R-/R+ tree,Hash,Expression,Partial,Reverse,Bitmap,GiST,GIN,Full-text,Spatial,FOT,Duplicate index prevention
4th Dimension,?,Cluster,?,?,?,?,?,?,Yes,?,?,No
ADABAS,?,?,?,?,?,?,?,?,?,?,?,No
Adaptive Server Enterprise,No,No,Yes,No,Yes,No,No,No,Yes,?,?,No
Advantage Database Server,No,No,Yes,No,Yes,Yes,No,No,Yes,?,?,No
Apache Derby,No,No,No,No,No,No,No,No,No[79],?,?,No
ClustrixDB,No,Yes,No,No,No,No,No,No,No,No,?,No
CUBRID,No,No,Yes[80],Yes[80],Yes,No,No,No,No,No,No,No
DB2,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes[81],?,?,No
Empress Embedded Database,Yes,No,No,Yes,No,Yes,No,No,No,?,?,No
EXASolution,No,Yes,No,No,No,No,No,No,No,?,?,No
Firebird,No,No,Yes,No,Yes,No,No,No,No[82],?,?,No
HSQLDB,No,No,No,No,No,No,No,No,No,?,?,No
H2,No,Yes,No,No,No,No,No,No,Yes[83],Yes[84],?,No
Informix Dynamic Server,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[85],Yes
Ingres,Yes,Yes,Ingres v10,No,No,Ingres v10,No,No,No,?,?,No
InterBase,No,No,No,No,No,No,No,No,No,?,?,No
Linter SQL RDBMS10,No,Yes temporary indexes for equality joins,Yes for some scalar functions like LOWER and UPPER,No,No,No,No,No,Yes[86],No,No,Yes
LucidDB,No,No,No,No,No,Yes,No,No,No,?,?,No
MariaDB,"Aria and MyISAM tables and, since v10.2.2, InnoDB tables only[87]","MEMORY,[88] InnoDB,5 tables only",PERSISTENT virtual columns only[89],No,No,No,No,No,Yes[90],"Aria and MyISAM tables and, since v10.2.2, InnoDB tables only[87]",?,No
MaxDB,No,No,No,No,No,No,No,No,No,?,?,No
Microsoft Access (JET),No,No,No,No,No,No,No,No,No[91],?,?,No
Microsoft Visual Foxpro,No,No,Yes,Yes,Yes2,Yes,No,No,No,?,?,No
Microsoft SQL Server,Spatial Indexes,Yes4,Yes3,Yes,on Computed columns3,Bitmap filter index for Star Join Query,No,No,Yes[92],Yes[93],?,No
Microsoft SQL Server Compact (Embedded Database),No,No,No,No,No,No,No,No,No[94],?,?,No
Mimer SQL,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No
MonetDB,No,Yes,No,No,No,No,No,No,No,No,No,No
MySQL,Spatial Indexes[95],"MEMORY, Cluster (NDB), InnoDB,5 tables only",No[96],No,No,No,No,No,"MyISAM tables[97] and, since v5.6.4, InnoDB tables[98]","MyISAM tables[99] and, since v5.7.5, InnoDB tables[100]",?,No
OpenLink Virtuoso,Yes,Cluster,Yes,Yes,No,Yes,No,No,Yes,Yes (Commercial only),No,No
Oracle,Yes 11,Cluster Tables,Yes,Yes 6,Yes,Yes,No,No,Yes[101],Yes[102],?,Yes[103]
Oracle Rdb,No,Yes,?,No,No,?,No,No,?,?,?,No
Pervasive PSQL,No,No,No,No,No,No,No,No,No,No,No,No
Polyhedra DBMS,No,Yes,No,No,No,No,No,No,No,No,?,No
PostgreSQL,Yes,Yes,Yes,Yes,Yes7,Yes,Yes,Yes,Yes[104],PostGIS[105],?,No
Raima Database Manager,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No
