<<<<<<< HEAD
Model,Launch,Code name,Fab (nm),Bus interface,Clock rate,,Core config1,Fillrate,,Memory,,,,Processing power (GFLOPS),,API compliance (version),,,,TDP (Watts),Notes
,,,,,Core (MHz),Memory (MHz),,Pixel (GP/s),Texture (GT/s),Size (GiB),Bandwidth (GB/s),Bus type,Bus width (bit),Single precision,Double precision,Direct3D,OpenGL,OpenCL,Vulkan,,
FirePro W4300[261],"December 1, 2015",Bonaire PRO (GCN 2nd Gen),28,PCIe 3.0 x16,930,1500,768:48:16:12[262],14.88,44.64,4,96,GDDR5,128,1428.5,89.3,11.2/12.0 SM 5.0,4.5,"2.0 (2.1 beta, 2.2 possible)",1.0,<50,"4 Mini DisplayPort 1.2a outputs, low profile"
=======
Model,Launch,Code name,Fab (nm),Core clock (MHz),Memory clock (MHz),Core config1,Fillrate,,,,Memory,,,
,,,,,,,MOperations/s,MPixels/s,MTexels/s,MVertices/s,Size (MiB),Bandwidth (GB/s),Bus type,Bus width (bit)
Radeon X300,"Sept. 1, 2004",RV370 (hari),110,325,200,4:2:4:4,1300,1300,1300,162.5,"64, 128",6.4,DDR,128
Radeon X300 LE,,,,,,,,,,,,,,
Radeon X300 SE,,,,,,,,,,,,3.2,,64
Radeon X300 SE HyperMemory,"April 4, 2005",,,,300,,,,,,"32, 64, 128 onboard + up to 128 system",,,
Radeon X550,"June 21, 2005",,,400,250,,1600,1600,1600,200,"128, 256",8 4,,128 64
Radeon X550 HyperMemory,,,,,,,,,,,"128, 256 onboard + up to 512 system",,,
Radeon X600 SE,"Sept. 1, 2004",,,325,,,1300,1300,1300,162.5,"128, 256",4,,64
Radeon X600,,,,400,,,1600,1600,1600,200,,8,,128
Radeon X600 Pro (RV370),,,,,300,,,,,,,9.6,,
Radeon X600 Pro (RV380),,RV380 (vishnu),130,,,,,,,,,,,
Radeon X600 XT,,,,500,370,,2000,2000,2000,250,,11.84,,
Radeon X1050 (RV370),"Dec. 7, 2006",RV370 (hari),110,400,333,,1600,1600,1600,200,,5.328,DDR2,64
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
