<<<<<<< HEAD
Shell,Pipes,Command substitution,Process substitution,Subshells,TCP/UDP connections as streams,Keystroke stacking
Bourne shell,bytes concurrent,Yes,No,Yes,No,N/A[nb 19]
POSIX shell,bytes concurrent,Yes,No,Yes,No,N/A[nb 19]
bash (v4.0),bytes concurrent,Yes,Yes (if system supports /dev/fd/?n? or named pipes),Yes,Yes (client only),N/A[nb 19]
csh,bytes concurrent,Yes,No,Yes,No,N/A[nb 19]
tcsh,bytes concurrent,Yes,No,Yes,No,N/A[nb 19]
Hamilton C shell,bytes concurrent,Yes,No,Yes,No,?
Scsh,text,?,?,?,Yes,N/A[nb 19]
ksh (ksh93t+),bytes (may contain serialized objects if print -C is used) concurrent,Yes ( $(...) and ${<space>...;}),Yes (if system supports /dev/fd/?n?),Yes,"Yes (and SCTP support, client only)",N/A[nb 19]
pdksh,bytes concurrent,Yes,No,Yes,No,N/A[nb 19]
zsh,bytes concurrent,Yes,Yes,Yes,"Yes (client and server, but only TCP)",N/A[nb 19]
ash,bytes concurrent,Yes,No,Yes,No,N/A[nb 19]
CCP,No,No,No,No,No,No
COMMAND.COM,text sequential temporary files,No,No,Partial (only under DR-DOS multitasker via COMMAND.COM /T),No,No
OS/2 CMD.EXE,text concurrent,No,No,?,No,No
Windows CMD.EXE,text concurrent,Yes (via FOR /F command),No,Yes (Backtick: ` in FOR /F usebackq),No,No
4DOS,text sequential temporary files,Yes (via FOR /F command),?,"Partial (via %@EXECSTR[] and %@EXEC[], or via SET /M, ESET /M and UNSET /M and %@MASTER[...])",No,Yes (via KEYSTACK and KSTACK)[51]
4OS2,text concurrent,?,?,?,No,Yes (via KEYSTACK)
TCC (formerly 4NT),text concurrent,Yes (via FOR /F command),?,Partial (via %@EXECSTR[] and %@EXEC[]),"Yes (via FTP, TFTP, FTPS, SFTP, HTTP, HTTPS and IFTP, client only)",Yes (via KEYSTACK)
PowerShell,objects concurrent,Yes,No,Yes,Yes,?
rc,text concurrent,Yes,Yes (via: <{cmd} if system supports /dev/fd/?n?),Yes,No,?
BeanShell,not supported,?,?,?,Yes,?
VMS DCL,text (via PIPE command),Yes,No,Yes (spawn),Yes (server TCP only),No
fish,bytes concurrent,Yes ( ...),No (broken)[52],No,No,N/A[nb 19]
=======
Shell,String processing,Alternation (Brace expansion),Pattern matching (regular expressions built-in),Pattern matching (filename globbing),Globbing qualifiers (filename generation based on file attributes),Recursive globbing (generating files from any level of subdirectories)
Bourne shell 1977 version,?,No,No,"Yes ( *, ?, [...])",No,No
Bourne shell recent version,Partial (prefix and suffix stripping in variable expansion),No,No,"Yes ( *, ?, [...])",No,No
POSIX shell,Partial (prefix and suffix stripping in variable expansion),No,No,"Yes ( *, ?, [...])",No,No
bash (v4.0),Partial (prefix and suffix stripping in variable expansion),Yes,Yes,"Yes ( *, ?, [...], {...})",No,Yes ( **/...)
csh,Yes (:s and other editing operators),Yes,No,Yes,No,No
tcsh,Yes (:s and other editing operators),Yes,Yes,Yes,No,No
Hamilton C shell,"Yes (:s and other editing operators + substr, strlen, strindex, printf, reverse, upper, lower, concat and other builtin functions)",Yes,No,Yes,No,Yes (via indefinite directory "..." wildcard[48])
Scsh,?,?,Yes,Yes,No,No
ksh (ksh93t+),"Partial (prefix, suffix stripping and string replacement in variable expansion)",Yes[49],Yes,"Yes ( *, ?, [...])",No,"Yes (with set -G, no following of symlinks)"
pdksh,?,Yes[49],No,Yes,No,No
zsh,"Yes (through variable processing: e.g. substring extraction, various transformations via parameter expansion)",Yes,Yes,"Yes ( *, ?, [...], extended globbing[50])",Yes,Yes ( **/... or ***/... to follow symlinks)
ash,?,?,No,Yes,No,No
CCP,No,No,No,No,No,No
COMMAND.COM,No,No,No,"Yes ( *, ?)",No,No
OS/2 CMD.EXE,No,No,No,"Yes ( *, ?)",Partial (only in DIR /A:... command),No
Windows CMD.EXE,Partial (only through FOR /F and SET /A),No,No[nb 17],"Yes ( *, ?)",Partial (only in DIR /A:... command),"Yes (via FOR /R command, or, where available, indirectly via /S subdir option)"
4DOS,"Yes (through variable functions %@...[], extended environment variable processing, various string commands and FOR /F and SET /A)",No,No,"Yes ( *, ?, [...], extended wildcards, SELECT popup command)","Yes (via /A:... attribute and /I"..." description options and /[S...] size, /[T...] time, /[D...] date, and /[!...] file exclusion ranges)","Yes (via FOR /R command, or indirectly via GLOBAL command or, where available, /S subdir option)"
4OS2,?,No,No,?,?,?
TCC (formerly 4NT),"Yes (through variable functions %@...[], extended environment variable processing, various string commands and FOR /F and SET /A)",No,Yes,"Yes ( *, ?, [...], extended wildcards, SELECT popup command)","Yes (via /A:... attribute and /I"..." description options and /[S...] size, /[T...] time, /[D...] date, /[O...] owner, and /[!...] file exclusion ranges)","Yes (via FOR /R command, or indirectly via GLOBAL command or, where available, /S subdir option)"
PowerShell,"Yes (Concat/Substring/Insert/Remove/Replace, ToLower/ToUpper, Trim/TrimStart/TrimEnd, Compare, Contains/StartsWith/EndWith, Format, IndexOf/LastIndexOf, Pad/PadLeft/PadRight, Split/Join, regular expression functions and other .NET string functions)",No,Yes (full regex support)[nb 18],"Yes ( *, ?, [...])",?,?
rc,?,?,No,Yes,No,No
BeanShell,?,?,Yes,?,?,?
VMS DCL,Yes,No,No,Yes,No,Yes (via [SUBDIR...])
fish,Yes (builtin string function),Yes,yes (via builtin string match and string replace functions),"Yes ( *, ?, {...})",No,Yes ( **/...)
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
