<<<<<<< HEAD
Model,Launch,Code name,Fab (nm)[2],Bus interface,Core clock (MHz),Memory clock (MHz),Core config1,Fillrate,,,,Memory,,,,API support,
,,,,,,,,MOperations/s,MPixels/s,MTexels/s,MVertices/s,Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit),Direct3D,OpenGL
STG-2000,"May 22, 1995",NV1,SGS 500 nm,PCI,12,75,1:1:1,12,12,12,0,2 4,0.6,EDO VRAM,64,n/a,n/a
Riva 128,"August 25, 1997",NV3,SGS 350 nm,"AGP 1×,[3] PCI",100,100,,100,100,100,,4,1.6,SDR,128,5.0,1.0
Riva 128ZX,"February 23, 1998",,SGS/TSMC 350 nm,"AGP 2×, PCI",,,,,,,,8,1.6,,,,
Riva TNT,"June 15, 1998",NV4,TSMC 350 nm,,90,110,2:2:2,180,180,180,,8 16,1.76,,,6.0,1.2
Vanta,"March 22, 1999",NV6,TSMC 250 nm,AGP 4×,100,125,,200,200,200,,16,1,,64,,
Vanta LT,March 2000,,,,80,100,,160,160,160,,8 16,0.8,,,,
Riva TNT2 M64,October 1999,,,"AGP 4×, PCI",125,150,,250,250,250,,"8, 16 32",1.2,,,,
Riva TNT2,"March 15, 1999",NV5,,,,,,,,,,16 32,2.4,,128,,
Riva TNT2 Pro,"October 12, 1999",,TSMC 220 nm,AGP 4×,143,166,,286,286,286,,32,2.656,,,,
Riva TNT2 Ultra,"March 15, 1999",,TSMC 250 nm,,150,183,,300,300,300,,16 32,2.928,,,,
=======
Model,Launch,Code name,Fab (nm),Bus interface,Core clock (MHz),Memory clock (MHz),Core config1,Fillrate,,Memory,,,,Supported API version,,TDP (Watts),Features
,,,,,,,,Pixel (GP/s),Texture (GT/s),Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit),Direct3D,OpenGL,,
GeForce 7000M,"February 1, 2006",MCP67MV,90,Hyper Transport,350,System memory,1:2:2:2,0.7,0.7,Up to 256 from system memory,System memory,DDR2,64/128,9.0c,2.1,Unknown,
GeForce 7150M,,MCP67M,,,425,,,0.85,0.85,,,,,,,Unknown,
GeForce Go 72002,January 2006,G72M,,PCIe ×16,450,700,3:4:4:1,0.45,1.8,64,2.8,GDDR3,32,,,Unknown,Transparency Anti-Aliasing
GeForce Go 73002,,,,,350,,3:4:4:2,0.7,1.4,"128, 256, 512",5.60,,64,,,Unknown,
GeForce Go 74002,,,,,450,900,,0.9,1.8,"64, 256",7.20,,,,,Unknown,
GeForce Go 7600,March 2006,G73M,,,,1000,5:8:8:8,3.6,3.6,"256, 512",16,,128,,,Unknown,"Scalable Link Interface (SLI), Transparency Anti-Aliasing"
GeForce Go 7600 GT,2006,,,,500,1200,5:12:12:8,4,6,256,19.2,,,,,Unknown,
GeForce Go 7700,,G73-N-B1,80,,450,1000,,3.6,5.4,512,16,,,,,Unknown,
GeForce Go 7800,"March 3, 2006",G70M,110,,400,1100,6:16:16:8,3.2,6.4,256,35.2,,256,,,35,
GeForce Go 7800 GTX,October 2005,,,,,,8:24:24:16,6.4,9.6,,,,,,,65,
GeForce Go 7900 GS,April 2006,G71M,90,,375,1000,7:20:20:16,6,7.5,,32.0,,,,,20,
GeForce Go 7900 GTX,,,,,500,1200,8:24:24:16,8,12,256 512,38.4,,,,,45,
GeForce Go 7950 GTX,October 2006,,,,575,1400,,9.2,13.8,512,44.8,,,,,,
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
