<<<<<<< HEAD
IDE,Developer,Latest stable release version,Latest stable release date,Platform,Written in,Widget toolkit,License,Python2x support,Python3x support,Debugger,GUI builder,Integrated toolchain,Profiler,Code coverage,Autocomplete,Static program analysis,GUI based design,Class browser,Code refactoring,Version control system support,Web framework support
Anjuta,Naba Kumar,3.22,2016-09-18,Unix-like,C,GTK+,GPL,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
eric,Detlev Offenbach,19.10,2019-10-03,"Windows, Linux, macOS",Python,PyQt,GPLv3 "or later","Yes, until version 4.5.25 and since version 5.5.0[40]","Yes, since version 5.0.0[41]","Yes, for Python 2 & 3",Yes: Qt Creator,Unknown,Yes,Yes,Yes,Multiple integrated checkers and Pylint via plug-in,Yes,Yes,Yes,"Subversion and Mercurial (core plug-ins), git (optional plug-in)",Django as optional plug-in
Geany,Team,1.36.0,2019-09-28,"Windows, Linux, macOS, FreeBSD, AIX, OpenBSD, Solaris, other Unix",C,GTK+,GPL,Unknown,Yes,No,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
IDLE,Guido van Rossum et al.,3.7,2019-03-25,Cross-platform,Python,Tkinter,PSFL,Yes,Yes,Yes,Yes,Unknown,No,No,Yes,No,Yes,Yes,Unknown,No,No
Komodo IDE,ActiveState,10.2,2017-02-21,Cross-platform,Unknown,Mozilla platform,Proprietary,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Bazaar, CVS, Git, Mercurial, Perforce, SVN",Unknown
KDevelop,KDE KDevelop Team,5.4.3,2019-10-21,Cross-platform,"C, C++",Qt,GPL,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Yes[citation needed],"Bazaar, CVS, Git, Mercurial, Perforce, SVN",Unknown
MonoDevelop,Novell and the Mono community,6.1.2.44,2016-11-11,"Windows, Linux, macOS, FreeBSD, OpenBSD, Solaris",C#,Gtk#,LGPL,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Ninja-IDE,Team,2.3,2013-07-07,Cross-platform,Python,PyQt,GPL,Yes (Python 2.7),Yes,Yes (with wdebugger plugin),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
PIDA,Team,0.6.2,2010-08-04,Cross-platform,Python,PyGTK,GPL,Unknown,Unknown,Yes (integrates with external debuggers),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
PyCharm,JetBrains,2020.1.3,2020-07-20,"Windows, Linux, macOS",Java,Swing,Open core: Full version under Apache License 2.0,Yes,Yes,Yes,Unknown,Yes,Yes (full version only),Yes (full version only),Yes,Yes PEP 8 and others,Yes,Yes,Yes,Yes,Yes
PyDev / LiClipse (plug-in for Eclipse and Aptana),Appcelerator,7.5.0,2020-01-10,"Windows, Linux, macOS, FreeBSD, JVM, Solaris",Unknown,SWT,EPL,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Yes,Yes,Yes,Unknown
PyScripter,Kiriakos Vlahos,3.6.0,2019-01-12,Windows,Object Pascal,JVCL,MIT License,Yes,Yes up to v3.4,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Python Tools for Visual Studio,Microsoft,2.2.6[42],2017-01-13,Windows,Unknown,Windows Forms,Apache License 2.0,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
PythonAnywhere,PythonAnywhere LLP,N/A,N/A,Web-based,Python,HTML,Proprietary,Yes,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
SlickEdit,SlickEdit,21,October 2016,"Windows, Linux, macOS, Solaris, AIX, HP-UX",C++,Qt,Proprietary,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No
SourceLair,"SourceLair, Limited.",N/A,N/A,Web-based,Python,HTML,Proprietary,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Spyder,Carlos Cordoba and contributors,4.1.3,2020-05-09,Cross-platform,Python,"PyQt, PySide",MIT License,Yes 2.7,Yes 3.5 – 3.8,Yes,No,Yes,Yes,No,Yes,Yes,Unknown,Beta,Planned,Partial,No
Thonny,Aivar Annamaa and contributors,3.2.6,2020-01-02,"Windows, Linux, macOS",Python,Tkinter,MIT License,No,Yes,Yes,No,No,No,No,Yes,Yes,Unknown,Yes,No,No,Flask
Understand,SciTools,4.0,2015-04-01,"Windows, Linux, macOS, Solaris, other Unix",Unknown,HTML,Proprietary,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Visual Studio Code,Microsoft,1.49.0,2020-09-10,"Windows, Linux, macOS",JavaScript,HTML,MIT License,Yes,Yes,Yes,No,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Yes
Wing,Wingware,7.2.6,2020-10-07,"Windows, Linux, macOS",Python,Qt5 with PyQt,Proprietary,Yes,Yes,"Yes (also remote, multi-threaded, and multi-process debugging)",No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
=======
IDE,License,Windows,Linux,macOS,Other platforms,Written in,Debugger,GUI builder,Integrated toolchain,Profiler,Code coverage,Autocomplete,Static code analysis,GUI-based design,Class browser,Latest stable release,C compiler,C++ compiler,Refactoring
Anjuta,GPL,No,Yes,No,FreeBSD,C,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,2016-03,Yes,Yes,No
AppCode (IntelliJ IDEA),Proprietary,No,No,Yes,,Java,Yes,Yes,No,Yes (Xcode profiler),No,Yes,Yes,Yes,Yes,2012-12,Yes (Xcode toolchain),Yes (Xcode toolchain),Yes
C++Builder,"Proprietary, Freeware (Starter edition only)",Yes,No (Cross compiler planned),Yes (Cross compiler),cross-compiles for Android and iOS,C++ and Object Pascal,Yes,Yes,Yes,Yes (AQTime Standard in package manager),Yes,Yes,Yes,Yes,Yes,2017-03 Tokyo 10.2,Yes,Yes,Yes
Code::Blocks,GPL,Yes,Yes,Yes,"FreeBSD, OpenBSD, Solaris",C++,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[5],Yes,2020-03[6],Yes (MinGW + custom),Yes (MinGW + custom),Yes
CodeLite,GPL,Yes,Yes,Yes,FreeBSD,C++,Yes,Yes,Yes,"Yes (As of CodeLite 6.1, integration with Valgrind)",No,Yes,Yes,Yes[7],Yes,2020-02-28,"Yes (GCC, Clang, VC + custom)","Yes (GCC, Clang, VC + custom)",Yes
Dev-C++,GPL,Yes,No[8],No,FreeBSD,Object Pascal,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,"2013-10 (Unofficial Version), 2005-02 (Official Version)",Yes,Yes,No
Eclipse CDT,EPL,Yes,Yes,Yes,"FreeBSD, JVM, Solaris","C++, Java",Yes,Yes[2],Yes[9],Yes[10],Yes[11],Yes,Yes,Yes,Yes,2020-06[12][13][14],External,External,Yes
Geany,GPL,Yes,Yes,Yes,"FreeBSD, AIX, OpenBSD, Solaris, other Unix",C,Yes (via a plug-in),No,No,No,No,Yes,No,No,Yes,2019-04[15],External,External,No
GNAT Programming Studio,GPL,Yes,Yes,Yes,"DragonFly BSD, FreeBSD, NetBSD, OpenBSD, Solaris",Ada,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,2016-06,Yes,Yes,Yes
JetBrains CLion,Proprietary,Yes,Yes,Yes,,Java,Yes,No,Yes,No,No,Yes,Yes,No,Yes,2019-07[16],Yes (customizable),Yes (customizable),Yes
KDevelop,GPL,Yes,Yes,Yes,"FreeBSD, Solaris",C/C++,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2018-11,External,External,Yes
LabWindows/CVI,Proprietary,Yes,No,No,"cross-compile to Linux, Phar Lap ETS",?,Yes,Yes,Yes,Yes,No,Yes,No,Yes,N/A,2016-12,Yes,No,No
Microsoft Visual Studio,"Proprietary, Freeware (Community edition only)",Yes,No,No,"Mac OS 7 (v2.x-v4.x only), Linux[17]",C++ and C#,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2019-04,Yes,Yes,Yes (also plugin)[18]
Microsoft Visual Studio Code,MIT,Yes,Yes,Yes,,TypeScript JavaScript CSS,Yes,No,Yes,No,No,Yes,No,Yes,Yes,2020-09,External,External,Requires language server support[19][20]
MonoDevelop,LGPL,Yes,Yes,Yes,"FreeBSD, OpenBSD, Solaris",C#,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,2016-11,Yes (GCC + custom),Yes (GCC + custom),Yes
NetBeans C/C++ pack,CDDL and GPL,Yes,Yes,Yes,"OpenBSD, Solaris",Java,Yes[21],Yes[21],Yes[22],No[21],No,Yes,No,Yes,Yes,"12.1 (September 1, 2020; 23 days ago (2020-09-01)) [±][23]",External,External,Yes
OpenWatcom,OSI Approved,Yes (32-bit only),partial,No,"FreeBSD, DOS, OS/2",C/C++,Yes (GUI remote),Yes,Yes,Yes,No,No,No,Yes,Yes,2010-06,Yes,Yes,No
Oracle Solaris Studio (formerly Sun Studio),"Proprietary, Freeware",No,Yes,No,Solaris,?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2008-11,Yes,Yes,Yes
Qt Creator,GPL / LGPL / Proprietary,Yes,Yes,Yes,"FreeBSD, Maemo, OpenBSD, Symbian",C++,Yes,Yes,Yes,Yes,No,Yes,Yes (clang),Yes,Yes,2019-06,External,External,Yes[24]
Rational Software Architect (Eclipse IBM),Proprietary,Yes,Yes,No,"FreeBSD, JVM, Solaris",Java,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2015-09,External,External,Yes
SlickEdit,Proprietary,Yes,Yes,Yes,"Solaris, Solaris SPARC, AIX, HP-UX",C++,Yes,No,Yes,No,No,Yes,No,Yes,Yes,2018-12,External,External,Yes
Ultimate++ TheIDE,BSD,Yes,Yes,No,,C++,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,2015-12,External,External,No
Understand,Proprietary,Yes,Yes,Yes,Solaris,?,No,No,No,No,No,Yes,Yes,No,Yes,2015-12,No,No,Yes
Xcode (Apple),Proprietary,No,No,Yes,cross compiles to iOS,"C, C++, Objective-C, Objective-C++",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2016-12,"Yes, llvm (llvm-gcc and gcc deprecated)","Yes, llvm (llvm-gcc and gcc deprecated)",Yes
IDE,License,Windows,Linux,macOS,Other platforms,Written in,Debugger,GUI builder,Integrated toolchain,Profiler,Code coverage,Autocomplete,Static code analysis,GUI-based design,Class browser,Latest stable release,C compiler,C++ compiler,Refactoring
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
