<<<<<<< HEAD
Graphics,Launch,Market,Chipset,Code name,Device id.[3],RAMDAC clock (MHz),Pixel pipelines,Shader model (vertex/pixel),API support,,,Memory bandwidth (GB/s),DVMT (MB),Hardware acceleration,,
,,,,,,,,,Direct3D,OpenGL,OpenCL,,,MPEG-2,VC-1,AVC
i740,1998,Desktop,stand-alone,Auburn,7800,220,1,3.0 (SW) / No,5.0,1.1,No,0.8,2–8,Optional external MPEG-2 decoder via Video Module Interface,No,No
752,1999,,,Portola,1240,250,,,"6.0 (full) 8.0 (some features, no hardware shaders)",,,0.8(PC100)–1.067(PC133) 1.067(AGP 4× for AIMM),8–16,MC,,
3D graphics with Direct AGP,,,810,Whitney,7121,230,,,,,,,32,,,
,,,810-DC100,,7123,,,,,,,,,,,
,,,810E 810E2,,7125,,,,,,,,,,,
,2000,,815 815E 815G 815EG,Solano,1132,,,,"6.0 (full) 9.0 (some features, no hardware shaders)",,,,,,,
=======
Name,Release year,Market,Processor,,Device ID,Core config1,Clock rate,,API support[64][13][32][49][50],,,,Memory bandwidth (GB/s)
,,,Code name,Model,,,Min (MHz),Max (MHz),Direct3D,OpenGL,OpenCL,Vulkan,
UHD Graphics,2019,Mobile,Ice Lake,Core i3-1000G1 Core i3-1005G1,8A58,256:32:4 (GT1),300,900,12 FL12_1,4.6Windows 4.6Linux ES 3.2Linux,2.1Windows 2.1Linux,1.2Windows 1.2Linux,59.7
,,,,Core i5-1035G1,8A56,,,1050,,,,,
Iris Plus Graphics,,,,Core i3-1000G4,8A5C,384:48:6 (GT1.5),,900,,,,,
,,,,Core i5-1030G4,,,,1050,,,,,
,,,,Core i5-1035G4,8A5A,,,,,,,,
,,,,Core i5-1030G7 Core i5-1030NG7,8A51,512:64:8 (GT2),,1050,,,,,
,,,,Core i7-1060G7 Core i7-1060NG7,,,,1100,,,,,
,,,,Core i5-1035G7,8A52,,,1050,,,,,
,,,,Core i7-1065G7,,,,1100,,,,,
,,,,Core i5-1038G7,8A53,,,1050,,,,,
,,,,Core i7-1068G7,,,,1100,,,,,
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
