<<<<<<< HEAD
Model,Launch,Code name,Fab (nm),Bus interface,Core config1,Clock speed,,,Fillrate,,Memory,,,,Supported API version,,Processing power (GFLOPS),TDP (Watts),Notes
,,,,,,Core (MHz),Shader (MHz),Memory (MHz),Pixel (GP/s),Texture (GT/s),Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit),Direct3D,OpenGL,,,
GeForce 8200M G[125],June 2008,"MCP77MV, MCP79MVL",80,Integrated (PCIe 2.0 ×16),8:8:4,400,800,800 1066 (system memory),1.6,3.2,Up to 256 from system memory,12.8 17.056,DDR2 DDR3,128,10.0,3.3,19.2,Unknown,"PureVideo HD with VP3, Full H.264 / VC-1 / MPEG-2 HW Decode"
GeForce 8400M G,May 2007,NB8M(G86),,PCIe ×16,,,,800,,,128 / 256,6.4,DDR2 / GDDR3,64,,,,10,"PureVideo HD with VP2, BSP Engine, and AES128 Engine"
GeForce 8400M GS,,,,,16:8:4,,,,,,,,,,,,38.4,11,
GeForce 8400M GT,,,,,,450,900,1200,1.8,3.6,256 / 512,19.2,,128,,,43.2,14,
GeForce 8600M GS,,NB8P(G84),,,,600,1200,1400,2.4,4.8,,22.4,,,,,57.6,20,
GeForce 8600M GT,,,,,32:16:8,475,950,800 / 1400,3.8,7.6,,12.8 / 22.4,,,,,91.2,,
GeForce 8700M GT,June 2007,,,,,625,1250,1600,5,10,,25.6,GDDR3,,,,120,29,"Scalable Link Interface, PureVideo HD with VP2, BSP Engine, and AES128 Engine"
GeForce 8800M GTS,November 2007,NB8P(G92),65,PCIe 2.0 ×16,64:32:16,500,,,8,16,512,51.2,,256,,,240,50,
GeForce 8800M GTX,,,,,96:48:16,,,,,24,,,,,,,360,65,
=======
Model,Code name[174],Fab (nm),Bus interface,Core clock (MHz),Boost clock (MHz),L2 Cache (MB),Core config1,Fillrate,,Memory,,,,,Processing power (GFLOPS),,,Supported API version,,,,,TBP (Watts),Notes
,,,,,,,,Pixel (GP/s),Texture (GT/s),Size (GB),Bandwidth (GB/s),Memory clock (MHz),Bus type,Bus width (bit),Single precision,Half Precision,Double precision,Direct3D,OpenGL,Vulkan,OpenCL,CUDA,,
Quadro T1000[223],TU117(N19P-Q1-A1),12,PCIe 3.0,1395,1455,1,768:48:32:12:1536,46.56,69.84,4,128,2000,GDDR5,128,2235,,69.84,12.1,4.6,1.2,1.2,7.5,40-50,
Quadro T2000[223],TU117(N19P-Q3-A1),,,1575,1785,,1024:64:32:16:2048,57.1,114.2,,,,,,3500,,,,,,,,60,
Quadro T2000 Max-Q,TU117,,,,,,,,,,,,,,,,,,,,,,40,
Quadro RTX 3000[223],TU106(N19E-Q1-KA-K1),,,945,1380,4,2304:144:48:36:288,88.32,198.7,6,448,1750,GDDR6,256,6359,12720,198.7,,,,,,60-80,
RTX 3000 Max-Q[224],TU106,,,600,1215,,,77.76,175.0,,416,1625,,,5599,11200,175.0,,,,,,60,
Quadro RTX 4000[223],TU104(N19E-Q3-A1),,,1110,1560,,2560:160:64:40:320,99.84,249.6,8,448,1750,,,7987,15970,249.6,,,,,,110,
RTX 4000 Max-Q[225],TU104,,,780,1380,,,88.32,220.8,,416,1625,,,7066,14130,220.8,,,,,,80,
Quadro RTX 5000[223],TU104(N19E-Q5-A1),,,,,,3072:192:64:48:384,98.88,296.6,16,448,1750,,,9492,18980,296.6,,,,,,110,
Quadro RTX 5000 Max-Q[226],TU04,,,600,1350,,,86.40,259.2,,,,,,8294,15970,259.2,,,,,,80,
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
