<<<<<<< HEAD
Name,Guest OS SMP available,Runs arbitrary OS,Supported guest OS drivers,Method of operation,Typical use,Speed relative to host OS,Commercial support available
"Containers, or Zones","Yes, over 500-way on current systems",No,Uses native device drivers,Operating system-level virtualization,"Server consolidation with workload isolation, single workload containment, hosting, dev/test/prod",Near native,Yes
Hyper-V Server 2008 R2,"Yes, up to 4 VCPUs per VM",Yes,Yes,Virtualization,"Server consolidation, service continuity, dev/test, desktop virtualization, cloud computing",Up to near native[citation needed][3],Yes
OpenVZ,Yes,No,Compatible,Operating system-level virtualization,Virtualized server isolation,Up to near native[citation needed][4],Yes
KVM,Yes[14],Yes,Yes,AMD-V and Intel-VT-x,"Virtualized server isolation, server/desktop consolidation, software development, cloud computing, other purposes",Up to near native[citation needed][5],Yes[15]
Linux-VServer,Yes,No,Compatible,Operating system-level virtualization,"Virtualized server isolation and security, server consolidation, cloud computing",Up to near native[citation needed][6],Yes
Oracle VM Server for x86,Yes,Yes,Yes,Paravirtualization and hardware virtualization,"Server consolidation and security, enterprise and business deployment",Up to near native[citation needed],Yes
Oracle VM Server for SPARC (LDoms),Yes,"Yes, but needs porting[16]",Yes,Paravirtualization and hardware virtualization,"Server consolidation and security, enterprise and business deployment",Up to near native[citation needed],Yes
OVPsim,Yes,Yes,?,Full system simulation with optional component virtualization,"Software development (early, embedded), advanced debug for single and multicore software, compiler and other tool development, computer architecture research, hobbyist",Depends on target architecture (full and slow hardware emulation for guests incompatible with host)[citation needed],"Yes, with commercial license from Imperas[17]"
PikeOS,Yes,"Yes, but modifications required as paravirtualization is used",Yes,Paravirtualization,Safety and security critical embedded systems.,Up to near native[citation needed],Yes
ScaleMP vSMP Foundation,"Yes, up to 8,192 CPUs and 64 TB per VM[citation needed]",Yes,Yes,Virtualization,"Server consolidation, Cloud computing",?,Yes
Simics,Yes,Yes,Yes,"Full system simulation of processors, MMUs, devices, disks, memories, networks, etc.","Software development, advanced debug for single and multicore software, compiler and other tool development, computer architecture research, bug transportation, automated testing, system architecture, long-term support of safety-critical systems, early hardware availability, virtual prototyping","Depends on host machine and target architecture. Runs at near-native speeds for x86-on-x86 using VT-x, cross-simulation of other architectures can be faster or slower than real-time depending on how fast the target is and how big the target is (number of processors, number of target machines, and how much the simulation can be parallelized)",Yes
Sun xVM Server,Yes,Yes,Yes,Paravirtualization and porting or hardware virtualization,"Servers, Development",Up to near native[citation needed],Yes
SVISTA 2004,No,?,?,?,"Hobbyist, Developer, Business workstation",?,?
TRANGO,Yes,Yes[7],Yes,Paravirtualization and porting or hardware virtualization,"Mob. phone, STB, routers, etc.",Near native[8][citation needed],?
User Mode Linux,?,No,special guest kernel+modules required,Porting,Developer (as a separate machine for a server or with X11 networking),Non-significantly slower than native [9] (all calls to kernel are proxied)[citation needed],?
OKL4 Microvisor,Yes,"Yes, (either with para-virtualization or HW virtualization)",Yes,"Paravirtualization, Hardware assisted virtualization","Mobile, embedded, security, safety critical, networking, legacy OS, etc.",Near native,Yes
Oracle VirtualBox,Yes,Yes,Yes,Virtualization,"Business workstation, server consolidation, service continuity, developer, hobbyist",Up to near native[citation needed],Yes (with commercial license)
Virtual Iron 3.1,"Yes, up to 8 way",Yes,Yes,Native virtualization,"Server consolidation, service continuity, dev/test",?,Yes
Virtual PC 2007,No,Yes,Yes,"Virtualization, guest calls trapping where supported","Hobbyist, Developer, Business workstation",Up to near native[citation needed] with virtual machine additions,?
Windows Virtual PC,Yes[citation needed],Yes,Yes,Hardware virtualization,"Developer, Business workstation, support for Compatibility with Windows XP applications",Up to near native[citation needed] with virtual machine additions,No
Virtual PC 7 for Mac,No,Yes,Yes,dynamic recompilation (guest calls trapping where supported),"Hobbyist, Developer, Business workstation",Slow[citation needed],?
Virtual Server 2005 R2,No,Yes,Yes,Virtualization (guest calls trapping where supported),"Server, server farm",Up to near native with virtual machine additions but slower than with hypervisor due to proxied calls[citation needed],?
CoWare Virtual Platform,Yes,Yes,Yes ( Same compiled Software image as for the real device),Full-system virtualization (Processor Core ISA + Hardware + External connections),"Early embedded software development and integration (from driver to application), Multi-core software debugging and optimization","Depending on the system characteristics and the software itself, ranges from faster than real time to slow[citation needed].",Yes
Virtuozzo,Yes,No,Compatible,Operating system-level virtualization,"Server consolidation, service continuity, disaster recovery, service providers",Up to near native[citation needed],Yes
VMware ESXi Server 5.5 (vSphere),"Yes, add-on, up to 64 way",No,Yes,Virtualization,"Server consolidation, service continuity, dev/test, cloud computing, business critical applications, Infrastructure as a Service IaaS",Up to near native[citation needed],Yes
VMware ESX Server 4.0 (vSphere),"Yes, add-on, up to 8 way",Yes,Yes,Virtualization,"Server consolidation, service continuity, dev/test, cloud computing",Up to near native[citation needed],Yes
VMware ESX Server 3.0,"Yes, add-on, up to 4 way",Yes,Yes,Virtualization,"Server consolidation, service continuity, dev/test",Up to near native[citation needed],Yes
VMware ESX Server 2.5.3,"Yes, add-on, 2 way",Yes,Yes,Virtualization,"Server consolidation, service continuity, dev/test",Up to near native[citation needed],Yes
VMware Fusion,Yes,Yes,Yes,Virtualization,"Hobbyist, Developer, Tester, Business workstation",Up to near native[citation needed],Yes
VMware Server,Yes (2-way),Yes,Yes,Virtualization,"Server/desktop consolidation, dev/test",Up to near native[citation needed],Yes
VMware Workstation,Yes (2-way),Yes,Yes,Paravirtualization (VMI) and virtualization,"Technical professional, advanced dev/test, trainer",Up to near native[citation needed],Yes
VMware Player,Yes[18],Yes,Yes,Virtualization,"Technical professional, advanced dev/test, trainer, end user on prebuilt machines",Up to near native[citation needed],No
Xen,"Yes, v4.0.0: up to 128 VCPUs per VM",Yes,Yes,Paravirtualization and porting or hardware virtualization,"Virtualized server isolation, server/desktop consolidation, software development, cloud computing, other purposes. Xen powers most public cloud services and many hosting services, such as Amazon Web Services, Rackspace Hosting and Linode.",Up to native[19],Yes
XCP-ng,Yes,Yes,Yes,Paravirtualization and porting or hardware virtualization,"Virtualized server isolation, server/desktop consolidation, software development, cloud computing, desktop virtualization, public cloud services, hostings services and other purposes.",Up to native[citation needed],Yes
XenServer,Yes,Yes,Yes,Paravirtualization and porting or hardware virtualization,"Virtualized server isolation, server/desktop consolidation, software development, cloud computing, other purposes. Xen powers most public cloud services and many hosting services, such as Amazon Web Services, Rackspace Hosting and Linode.",Up to native[19],Yes
XtratuM,Yes,No,Yes,Paravirtualization,"Embedded, safety critical, secure",Near to native[citation needed],Yes
z/VM,"Yes, both real and virtual (guest perceives more CPUs than installed), incl. dynamic CPU provisioning and reassignment",Yes,"Yes, but not required",Virtualization (among first systems to provide hardware assists),Servers,Near native[10],Yes
z LPARs,"Yes, both real and virtual (guest perceives more CPUs than installed), incl. dynamic CPU provisioning and reassignment; up to 64 real cores",Yes,"Yes, but not required",Microcode and hardware hypervisor,Servers,Native: System z machines always run with at least one LPAR,Yes
Name,Guest OS SMP available,Runs arbitrary OS,Supported guest OS drivers,Method of operation,Typical use,Speed relative to host OS,Commercial support available
=======
Name,Creator,Host CPU,Guest CPU,Host OS,Guest OS,License
bhyve,FreeBSD,x86-64,"x86, x86-64","FreeBSD, Illumos","FreeBSD, FreeNAS, pfSense, OpenBSD, Linux, Windows, Illumos[1]",BSD
Bochs,Kevin J. Lawton,Any,"x86, x86-64","Windows, Linux, FreeBSD, Unix/X11, Mac OS 9, macOS, BeOS, MorphOS, OS/2[2][3]","Windows, Linux, DOS, BSD, OS/2, Haiku",LGPL
"Containers, or Zones",Sun Microsystems,"x86, x86-64, SPARC (portable: not tied to hardware)",Same as host,"Solaris 10, Solaris 11, OpenSolaris 2009.06, illumos distributions","Solaris (8, 9, 10, 11), illumos, Linux (BrandZ)",CDDL
Cooperative Linux (coLinux),"Dan Aloni, other developers",x86,Same as host,"Windows 2000, XP, 2003, Vista",Linux,GPL version 2
CHARON,Stromasys,"x86, x86-64","PDP-11, VAX, Alpha, HP3000, Sparc","Windows, Linux","VMS, OpenVMS, Tru64 UNIX, MPE/iX, RSX-11, RT11, RSTS, Solaris, SunOS",Proprietary
Denali,University of Washington,x86,x86,Denali,"Ilwaco, NetBSD",Not distributed
DOSBox,"Peter Veenstra, Sjoerd with community",Any,x86,"Linux, Windows, classic Mac OS, macOS, BeOS, FreeBSD, NetBSD, OpenBSD, Solaris, QNX, IRIX, MorphOS, AmigaOS, Maemo, Symbian","Internally emulated DOS shell; classic PC booter games, unofficially Windows 1.0 to 98",GPL
DOSEMU,Community project,"x86, x86-64",x86,Linux,DOS,GPL version 2
FreeBSD Jail,Poul-Henning Kamp / FreeBSD,Any running FreeBSD or DragonFly BSD,Same as host,"FreeBSD, DragonFly BSD","same as host (shared *BSD kernel), plus Linux ABI through compat layer",BSD
GNOME Boxes,GNOME,,,Unix-like,Unix-like,LGPLv2
GXemul,Anders Gavare,Any,"ARM, MIPS, Motorola 88000, PowerPC, SuperH",Unix-like,"NetBSD, OpenBSD, Linux, Ultrix, Sprite",BSD
Hercules,Roger Bowler,Any,z/Architecture,"Windows, FreeBSD, NetBSD, Linux, macOS","Linux on IBM Z, z/OS, z/VM, z/VSE, OS/360, DOS/360, DOS/VS, MVS, VM/370, TSS/370",QPL
Hyper-V (2008),Microsoft,x86-64 with Intel VT-x or AMD-V,"x86-64, x86 (up to 8 physical CPUs)","Windows Server 2008 (R2) w/Hyper-V role, Microsoft Hyper-V Server","Supported drivers for Windows 2000, Windows 2003, Windows 2008, Windows XP, Windows Vista, FreeBSD, Linux (SUSE 10 released, more announced)",Proprietary
Hyper-V (2012),Microsoft,"x86-64 with Intel VT-x or AMD-V, ARMv8[4]","x86-64, (up to 64 physical CPUs), ARMv8","Windows 8, 8.1, 10, and Windows Server 2012 (R2) w/Hyper-V role, Microsoft Hyper-V Server","Supported drivers for Windows NT, FreeBSD, Linux (SUSE 10, RHEL 6, CentOS 6)",Proprietary. Component of various Windows editions.
iCore Virtual Accounts,iCore Software,x86,x86,Windows XP,Windows XP,Proprietary
INTEGRITY,Green Hills Software,"ARM, x86, PowerPC",Same as host,"Linux, Windows","INTEGRITY native, Linux, Android, AUTOSAR, Windows (on some platforms)",Proprietary
Integrity Virtual Machines,Hewlett-Packard,IA-64,IA-64,HP-UX,"HP-UX, Windows, Linux (OpenVMS announced)",Proprietary
JPC (Virtual Machine),Oxford University,Any running the Java Virtual Machine,x86,Java Virtual Machine,"DOS, Linux, Windows up to 3.0",GPL version 2
KVM,"Qumranet, now Red Hat","x86, x86-64, IA-64, with x86 virtualization, s390, PowerPC,[5] ARM [6]",Same as host,"Linux, FreeBSD, illumos","FreeBSD, Linux, Solaris, Windows, Plan 9",GPL version 2
Linux-VServer,Community project,"x86, x86-64, IA-64, Alpha, PowerPC 64, PA-RISC 64, SPARC64, ARM, S/390, SH/66, MIPS",Compatible,Linux,Linux variants,GPL version 2
LynxSecure,LynuxWorks,x86,x86,No host OS,"LynxOS, Linux, Windows",Proprietary
LXC,"Community project, Canonical Ltd.","x86, x86-64, IA-64, PowerPC 64, SPARC64, Itanium, ARM",Same as host,Linux,Linux variants,GPL version 2
OKL4 Microvisor,"Open Kernel Labs, acquired by General Dynamics Corporation","ARM, x86, MIPS","ARM (v5, v6, v7, v8; paravirtualization), ARMv7VE (hardware virtualization)",No Host OS,"Various OSes and RTOSes including Linux, Android, QNX",Proprietary
OpenVZ,"Community project, supported by SWsoft, now Parallels, Inc.","x86, x86-64, IA-64, PowerPC 64, SPARC64",Same as host,Linux,"same as host (shared Linux kernel), choice of userland distribution",GPL
Oracle VM Server for x86,Oracle Corporation,"x86, x86-64","x86, x86-64",No host OS,"Microsoft Windows, Oracle Linux, Red Hat Enterprise Linux, Solaris","GPLv2, Oracle VM Server; Manager is proprietary"
OVPsim,OVP,x86,"OR1K, MIPS32, ARC600/700, ARM; and public API which enables users to write custom processor models, RISC, CISC, DSP, VLIW all possible","Microsoft Windows, Linux","Depends on target machine, for example includes MIPS Malta that runs Linux or SMP-Linux; and includes public API which enables users to write custom peripheral and system models","Proprietary, Apache 2.0 for models"
Parallels Desktop for Mac,"Parallels, Inc.",x86,"x86, x86-64",macOS,"DOS, Windows, Linux, macOS, FreeBSD, OS/2, eComStation, Solaris, Haiku",Proprietary
Parallels Workstation (discontinued 2013),"Parallels, Inc.",x86,x86,"Windows, Linux","Windows, Linux, FreeBSD, OS/2, eComStation, DOS, Solaris, Haiku",Proprietary
PearPC,Sebastian Biallas,"x86, x86-64, PowerPC",PowerPC,"Windows, Linux, OS X, FreeBSD, NetBSD","Mac OS X, Darwin, Linux",GPL
PikeOS,SYSGO AG,"PowerPC, x86, ARM, MIPS, SPARC, SuperH",Same as host,"No host OS, Linux or Windows as dev. hosts","PikeOS native, Linux, POSIX, AUTOSAR, Android, RTEMS, OSEK, ARINC 653 APEX, ITRON",Proprietary
Proxmox VE,Proxmox,x86-64,"x86, x86-64",Debian Based,"Windows, Linux, Linux variants, Solaris, FreeBSD, OSx86 (as FreeBSD), virtual appliances, Netware, OS/2, SCO, BeOS, Haiku, Darwin",AGPLv3
Oracle VM Server for SPARC (LDoms),Oracle Corporation,"UltraSPARC T1, UltraSPARC T2, UltraSPARC T2+, SPARC T3, SPARC T4",Compatible,"Solaris 10, Solaris 11","Oracle support: Solaris; unsupported: Linux, FreeBSD",Proprietary
PowerVM,IBM,"POWER4, POWER5, POWER6, POWER7, POWER8","POWER4/5/6/7/8, x86 (PowerVM-Lx86)",PowerVM Firmware,"Linux PowerPC, x86; AIX, IBM i",Proprietary
QEMU,"Fabrice Bellard, other developers","x86, x86-64, IA-64, PowerPC, SPARC 32/64, ARM, S/390, MIPS","x86, x86-64, Alpha, ARM, CRIS, LM32, M68k, MicroBlaze, MIPS, OpenRisc32, PowerPC, S/390, SH4, SPARC 32/64, Unicore32, Xtensa","Windows, Linux, macOS, Solaris, FreeBSD, OpenBSD, BeOS",Changes regularly[7],GPL/LGPL
