Dataset Name,Brief description,Preprocessing,Instances,Format,Default Task,Created (updated),Reference,Creator
<<<<<<< HEAD
Abalone Dataset,Physical measurements of Abalone. Weather patterns and location are also given.,None.,4177,Text,Regression,1995,[383],Marine Research Laboratories – Taroona
Zoo Dataset,Artificial dataset covering 7 classes of animals.,Animals are classed into 7 categories and features are given for each.,101,Text,Classification,1990,[384],R. Forsyth
Demospongiae Dataset,Data about marine sponges.,503 sponges in the Demosponge class are described by various features.,503,Text,Classification,2010,[385],E. Armengol et al.
Splice-junction Gene Sequences Dataset,Primate splice-junction gene sequences (DNA) with associated imperfect domain theory.,None.,3190,Text,Classification,1992,[362],G. Towell et al.
Mice Protein Expression Dataset,Expression levels of 77 proteins measured in the cerebral cortex of mice.,None.,1080,Text,"Classification, Clustering",2015,[386][387],C. Higuera et al.
=======
TV Human Interaction Dataset,"Videos from 20 different TV shows for prediction social actions: handshake, high five, hug, kiss and none.",None.,"6,766 video clips",video clips,Action prediction,2013,[41],"Patron-Perez, A. et al."
Berkeley Multimodal Human Action Database (MHAD),Recordings of a single person performing 12 actions,MoCap pre-processing,660 action samples,"8 PhaseSpace Motion Capture, 2 Stereo Cameras, 4 Quad Cameras, 6 accelerometers, 4 microphones",Action classification,2013,[42],"Ofli, F. et al."
THUMOS Dataset,Large video dataset for action classification.,Actions classified and labeled.,45M frames of video,"Video, images, text","Classification, action detection",2013,[43][44],Y. Jiang et al.
MEXAction2,Video dataset for action localization and spotting,Actions classified and labeled.,1000,Video,Action detection,2014,[45],Stoian et al.
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
