<<<<<<< HEAD
Chipset,Release Date,PCI Express (PCIe),,,USB: 3.2 Gen 2 + 3.2 Gen 1 + 2.0,Storage features,,,Processor overclocking,TDP,CPU support[14],,,
,,PCIe lanes[a],CrossFire,SLI,,SATA ports,RAID,AMD StoreMI,,,Zen,Zen+,Zen 2,Zen 3
A320,February 2017[15],PCIe 2.0 ×4,No,No,1 + 2 + 6,4,"0, 1, 10",No,No,~5 W[16],Yes,Yes,Varies[b],No
B350,February 2017[15],PCIe 2.0 ×6,Yes,,2 + 2 + 6,,,,Yes,,,,,
X370,February 2017[15],PCIe 2.0 ×8,,Yes,2 + 6 + 6,8,,,,,,,,
B450,March 2018[17],PCIe 2.0 ×6,,No,2 + 2 + 6,4,,Yes,Yes + PBO,,,,Yes,Varies[c][18]
X470,March 2018[17],PCIe 2.0 ×8,,Yes,2 + 6 + 6,8,,,,,,,,
A520,August 2020[19],PCIe 3.0 ×6,No,No,1 + 2 + 6,4,,,No,,No,No,,Yes
B550,June 2020[20],PCIe 3.0 ×6,Yes,Yes,2 + 2 + 6,6,,,Yes + PBO,,,,,
X570,July 2019[21],PCIe 4.0 ×16,,,8 + 0 + 4,12,,,,~15 W[22][23],,Yes,,
=======
Model,Code name,Released,CPU support,Fab (nm),HT (MHz),Hardware Virtualization (AMD-V™),IGP,CrossFire,SLI[5],TDP (W),Southbridge,Features / Notes
AMD 870 chipset,RX880,2010,"Phenom II, Athlon 64, Sempron",65,2600 (HT 3.0),?,No,"Hybrid, x16 + x4",No,,SB850,Single PCIe 2.0 x16
AMD 880G chipset,RS880P,Q4 2010,"Phenom II, Athlon II, Sempron",55,2600 (HT 3.0),?,Radeon HD 4250,Hybrid,No,,"SB710, SB750, SB810, SB850, SB920, SB950","DirectX 10.1, UVD2, HDMI/HDCP, DisplayPort/DPCP, OR single PCIe 2.0 x16 AM3+ socket support"
AMD 880M chipset,RS880M,Q2 2010,"Mobile Turion II, Mobile Athlon II, Mobile Sempron",55,2600 (HT 3.0),?,Radeon HD 4200,PowerXpress AXIOM/MXM module(s),No,,SB820,"DirectX 10.1, UVD2, HDMI/HDCP, DisplayPort, DVI, VGA, sideport memory, OR single PCI-E 2.0 x16 Mobile Chipset, Tigris platform"
AMD 880M chipset,,,"Athlon II Neo, Turion II Neo",,,,Radeon HD 4225,,No,,,"DirectX 10.1, UVD2, HDMI/HDCP, DisplayPort, DVI, VGA, OR Single PCI-E 2.0 x16 Mobile Chipset, Nile platform"
AMD 880M chipset,,,"Mobile Phenom II, Mobile Turion II, Mobile Athlon II, Mobile Sempron V-Series",,,,Radeon HD 4250 Radeon HD 4270,,No,,,"DirectX 10.1, UVD2, HDMI/HDCP, DisplayPort, DVI, VGA, OR single PCI-E 2.0 x16 Mobile Chipset, Danube platform"
AMD 890GX chipset,RS880D,Q2 2010,"Phenom II, Athlon II, Sempron",55,2600 (HT 3.0),?,Radeon HD 4290,"Hybrid, x8 + x8",No,22 W,"SB710, SB750, SB810, SB850","DirectX 10.1, UVD2, HDMI/HDCP, DisplayPort/DPCP, Side-port memory, OR two PCIe 2.0 x16"
AMD 890FX chipset,RD890,Q2 2010,"Bulldozer,[6] Phenom II, Athlon II, Sempron",65,2600 (HT 3.0),Yes[7],No,x16 + x16 or x8 quad,No,18 W,"SB710, SB750, SB810, SB850",Four PCIe 2.0 x16
,,,,,,,,,,,,
AMD 970 chipset,RX980,Q2 2011,"Bulldozer, Piledriver Phenom II, Athlon II, Sempron, FX",65,2400 (HT 3.0),Yes[8],No,x16 + x4,No,13.6W,"SB710, SB750, SB810, SB850, SB920, SB950","Single PCIe 2.0 x16, IOMMU AM3+ socket support"
AMD 990X chipset,RD980,,,,2600 (HT 3.0),,,x8 + x8,x8 + x8,14W,,"Two PCIe 2.0 x16, IOMMU AM3+ socket support"
AMD 990FX chipset,RD990,,,,,,,x16 + x16 or x8 quad,x16 + x16 or x16 + x8 + x8 or x8 quad,19.6 W,,"Four PCIe 2.0 x16, IOMMU AM3+ socket support"
Model,Code name,Released,CPU support,Fab (nm),HT (MHz),Hardware Virtualization (AMD-V™),IGP,CrossFire,SLI,TDP (W),Southbridge,Features / Notes
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
