<<<<<<< HEAD
ADC hub,Encryption,IPv6,Plugin,Hash algorithms,Bloom filter,ADC support,Other
ADCH++,Yes,Yes,"Lua, Python, Ruby",Tiger tree hash,Yes,"TIGR, PING, ADCS",
ADCH++ GUI,Yes,No,Python,Tiger tree hash,Yes,"TIGR, PING, ADCS",
DSHub,Yes,No,"Java, Python",Tiger tree hash,No,"TIGR, PING, ADCS",
FLexHub,Linux only,No,No,Tiger tree hash,No,"TIGR, PING, ADCS",
Luadch,Yes,Yes,Lua,Tiger tree hash,No,"TIGR, PING, ADCS, KEYP, ASCH, SUDP, OSNR",
Nexthub,Yes,No,C#,Tiger tree hash,No,"TIGR, ADCS",
uhub,Yes,Yes,C,Tiger tree hash,No,"TIGR, PING, ADCS",
Qhub,?,?,?,Tiger tree hash,No,TIGR,
Starlet ADC Hub,No,No,No,Tiger tree hash,No,TIGR,
Starhub,?,?,?,Tiger tree hash,No,TIGR,
RusHub,No,?,No,Tiger tree hash,No,TIGR,
ADC hub,Encryption,IPv6,Plugin,Hash algorithms,Bloom filter,ADC support,Other
=======
ADC hub,GUI,CLI,Other,Programming language,Based on
ADCH++,No,Yes,?,"C++, Lua, Python, Ruby",
ADCH++ GUI,Yes,No,?,"C++, Python",ADCH++
DSHub,Yes,Yes,?,"Java, Python",
FlexHub,Planned,Yes,?,Lua,
Luadch,No,Yes,?,"C++, Lua",
Luadch GUI,Yes,No,?,wxLua,
Nexthub,Yes,No,No,C-Sharp,
uhub,No,Yes,?,C,
Erlhub,?,?,?,Erlang,
Qhub,?,?,?,?,
Starlet ADC Hub,No,Yes,No,C,
StarHub,Yes,?,?,Java,
RusHub,No,Yes,No,C++,
ADC hub,GUI,CLI,Other,Programming language,Based on
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
