<<<<<<< HEAD
Tool,"Supported data models (conceptual, logical, physical)",Supported notations,Forward engineering,Reverse engineering,Model/database comparison and synchronization,Teamwork/repository
Database Workbench,"Conceptual, logical, physical",IE (Crows feet),Yes,Yes,Update database and/or update model,No
Enterprise Architect,"Conceptual, Logical & Physical + MDA Transform of Logical to Physical","IDEF1X, UML DDL, Information Engineering & ERD",Yes,Yes,Update database and/or update model,"Multi-user collaboration using File, DBMS or Cloud Repository (or transfer via XMI, CVS/TFS or Difference Merge)."
ER/Studio,"Logical, physical, ETL","IDEF1X, IE (Crows feet)",Yes,Yes,Update database and/or update model,"ER/Studio Repository and Team Server (formerly Portal/CONNECT) for web based publishing collaboration and model management, with Business Glossary as standard."
MagicDraw,"Conceptual, Logical & Physical + MDA Transform of Logical to Physical","IDEF1X, UML DDL, Information Engineering & ERD",Yes,Yes,Update database and/or update model,"Multi-user collaboration using File, DBMS or (transfer via XMI, CVS/TFS or Difference Merge)."
MySQL Workbench,Physical,"IDEF1X, IE (Crows feet), UML, and more",Yes,Yes,Update database and/or update model,No
Navicat Data Modeler,"Conceptual, physical",IE (Crows feet),Yes,Yes,Update database and/or update model,No
NORMA Object-Role modeling,"Conceptual (ORM), Logical, Physical","ORM, Relational(Crows feet option), Barker",Yes,Yes,Update database and/or update model,No
Open ModelSphere,"Conceptual, Logical, physical","IDEF1X, IE (Crows feet), and more",Yes,Yes,Update database and/or update model,No
Oracle SQL Developer Data Modeler,"Logical, physical","Barker, IE (Crows feet), and Bachman",Yes,Yes,Update database and/or update model,Yes
PowerDesigner,"Conceptual, logical, physical","IDEF1X, IE (Crows feet), and more",Yes,Yes,Update database and/or update model,Yes
Software Ideas Modeler,"Conceptual, logical, physical","IDEF1X, IE (Crows feet), UML and more",Yes,Yes,Update database and/or update model,Yes
Toad Data Modeler,"Logical, physical","IDEF1X, IE (Crows feet), and more",Yes,Yes,Update database and/or update model,Yes
=======
Tool,Creator,Target Business Size,License,Supported Database Platforms,Supported OSs,Standalone or bundled into a larger toolkit,Launch Date
Astah,Change Vision,Enterprises,Proprietary,"MySQL, Oracle,","Windows, macOS, Linux",Standalone,2006
Database Deployment Manager,The Unauthorized Frog project,SMBs and enterprises,LGPL,"CUBRID, MySQL, SQLite","Windows, Linux",Standalone,2010 ?
Database Workbench,Upscene Productions,SMBs and enterprises,Proprietary,"MS SQL Server, MySQL, Oracle, Firebird, InterBase, SQL Anywhere, NexusDB, MariaDB","Windows, Linux and FreeBSD (both through Wine)",Standalone,2001
Enterprise Architect,Sparx Systems,SMBs and enterprises,Proprietary,"IBM DB2, Firebird, InterBase, Informix, Ingres, Access, MS SQL Server, MySQL, SQLite, Oracle, PostgreSQL, Sybase","Windows, Linux (Wine), macOS (via CrossOver)",Data modeling is supported as part of a complete modeling platform.,2000
ER/Studio,Embarcadero (acquired by IDERA),SMBs and enterprises,Proprietary,"Access, IBM DB2, Informix, Hitachi HiRDB, Firebird, Interbase, MySQL, MS SQL Server, Netezza, Oracle, PostgreSQL, Sybase, Teradata, Visual Foxpro and others via ODBC/ANSI SQL",Windows,Standalone,1998
Erwin Data Modeler,ERWin (formerly CA),SMBs and enterprises,Proprietary,"Access, IBM DB2, Informix, MySQL, MS SQL Server, Netezza, Oracle, PostgreSQL, Sybase, and others via ODBC/ANSI SQL",Windows,Standalone,1998
MagicDraw,No Magic,"Enterprises, SMBs, personal",Proprietary,"MS SQL Server, Oracle, MySQL, PostgreSQL, IBM DB2","Windows, Linux, macOS",Standalone,1995
SQL Server Management Studio,Microsoft,Unknown,Proprietary,MS SQL Server,Windows,Standalone,2005
ModelRight,ModelRight,"Enterprises, SMBs, personal",Proprietary,"Access, MS SQL Server, Oracle, MySQL, PostgreSQL, IBM DB2",Windows,Standalone,2005
