,Trident,Gecko,WebKit,KHTML,Presto
<<<<<<< HEAD
Basic structure,,,,,
html,<3.1[IE 5.0],Yes,Yes,Yes,1.0
head,<3.1[IE 4.0],,,,
body,,,,,
Metadata,,,,,
title,<3.1[IE 4.0],1.0,Yes,Yes,1.0
meta,,,,,
Headings,,,,,
h1,<3.1[IE 4.0],1.0,Yes,Yes,1.0
h2,,,,,
h3,,,,,
h4,,,,,
h5,,,,,
h6,,,,,
Grouping elements,,,,,
div,<3.1[IE 4.0],1.0,Yes,Yes,1.0
span,,,,,
=======
Phrase,,,,,
em,<3.1[IE 4.0],1.0,Yes,Yes,1.0
strong,,,,,
dfn,,,,,
code,,,,,
samp,,,,,
kbd,,,,,
var,,,,,
cite,,,,,
acronym,,,,,
abbr,3.1,,,,
Quotations,,,,,
blockquote,<3.1[IE 4.0],1.0,Yes,Yes,1.0
q,4.0,1.8[note 1],,,
Subscripts and superscripts,,,,,
sub,<3.1[IE 4.0],1.0,Yes,Yes,1.0
sup,,,,,
Lines and paragraphs,,,,,
p,<3.1[IE 4.0],1.0,Yes,Yes,1.0
pre,,,,,
br,<3.1[IE 5.0],,,,
Marking document changes,,,,,
ins,<3.1[IE 4.0],1.0,Yes,Yes,1.0
del,,,,,
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
