<<<<<<< HEAD
Name,Architecture,Store,Integrated firewall,SMP support,USB support,UDMA support,Long filename support,Package management,Update management,APIs,DDIs,Safe Mode,Data Execution Prevention,DirectX
Windows NT 3.1,"IA-32, DEC Alpha, MIPS",N/A,No,Yes,No,?,Yes (NTFS and HPFS volumes only),N/A,,"Win32, OS/2, POSIX","DLL, KMD",No,No,No
Windows NT 3.5,"IA-32, DEC Alpha, MIPS",N/A,No,Yes,No,?,Yes (except on CDFS volumes),N/A,,"Win32, OS/2, POSIX","DLL, KMD",No,No,No
Windows NT 3.51,"IA-32, DEC Alpha, MIPS, PowerPC",N/A,No,Yes,No,?,Yes (except on CDFS volumes),N/A,,"Win32, OS/2, POSIX","DLL, KMD",No,No,No
Windows NT 4.0,"IA-32, DEC Alpha, MIPS, PowerPC",N/A,No,Yes,Yes (if the Ion USB update is installed),Yes,Yes,N/A,Windows Update (if Internet Explorer 5 or later is installed),"Win32, OS/2, POSIX","DLL, KMD",No,No,"Yes 3.0a, 5.0(unofficial)"
Windows 2000,IA-32,N/A,No,Yes,Yes (USB 2.0 with update or SP4)[3],Yes,Yes,N/A,"Windows Update, WSUS","Win32, OS/2, POSIX","DLL, KMD, WDM, KMDF",Yes,No,"Yes 7.0, 9.0c(feb2010)(optional)"
Windows XP,"IA-32(NT5.1), Itanium(NT5.1/5.2), x64(NT5.2)",N/A,Yes,Yes (Professional Edition only),Yes (USB 2.0 with update or SP1+)[4],Yes,Yes,N/A,"Windows Update, WSUS","Win32, .NET","DLL, KMD, WDM, KMDF, UMDFv1",Yes,Yes (in SP2),Yes 9.0c
Windows Server 2003,"IA-32, Itanium, x64",N/A,Yes,Yes,Yes (USB 2.0)[5],Yes,Yes,N/A,"Windows Update, WSUS",Win32,"DLL, KMD, WDM, KMDF, UMDFv1",Yes,Yes (in SP1),Yes 9.0c
Windows Fundamentals for Legacy PCs,IA-32,N/A,Yes,No,Yes,Yes,Yes,N/A,"Windows Update, WSUS",Win32,"DLL, KMD, WDM, KMDF, UMDFv1",Yes,Yes,Yes 9.0c
Windows Vista,"IA-32, x64",Windows Marketplace,Yes,Yes,Yes (USB 2.0),Yes,Yes,N/A,"Windows Update, WSUS","Win32, .NET, POSIX (only Enterprise and Ultimate)","DLL, KMD, WDM, KMDF, UMDFv1",Yes,Yes,Yes 10.1 11.0(optional)
Windows Server 2008,"IA-32, Itanium, x64",N/A,Yes,Yes,Yes (USB 2.0),Yes,Yes,N/A,"Windows Update, WSUS",Win32,"DLL, KMD, WDM, KMDF, UMDFv1",Yes,Yes,Yes 10.1 11.0(optional)
Windows Home Server,IA-32,N/A,?,Yes,Yes (USB 2.0),?,Yes,N/A,Windows Update,Win32,"DLL, KMD, WDM, KMDF, UMDFv1",?,?,Yes 9.0c
Windows 7,"IA-32, x64",N/A,Yes,Yes,Yes (USB 3.0),Yes,Yes,N/A,"Windows Update, WSUS","Win32, .NET","DLL, KMD, WDM, KMDF, UMDFv1",Yes,Yes,Yes 11.0 11.1(optional)
Windows Server 2008 R2,"Itanium, x64",N/A,Yes,Yes,Yes (USB 3.0),Yes,Yes,N/A,"Windows Update, WSUS","Win32, .NET","DLL, KMD, WDM, KMDF, UMDFv1",Yes,Yes,Yes 11.0 11.1(optional)
Windows Home Server 2011,x64,N/A,?,Yes,Yes (USB 3.0),?,Yes,N/A,Windows Update,Win32,"DLL, KMD, WDM, KMDF, UMDFv1",?,?,Yes 11.0 11.1(optional)
Windows Server 2012,x64,Windows Store,Yes,Yes,Yes (USB 3.0),Yes,Yes,Windows Store,"Windows Update, WSUS","Win32, .NET, WinRT","DLL, KMD, WDM, KMDF, UMDFv1",Yes,Yes,Yes 11.1
Windows 8,"IA-32, x64",Windows Store,Yes,Yes,Yes (USB 3.0),Yes,Yes,Windows Store,"Windows Update, WSUS","Win32, .NET, WinRT","DLL, KMD, WDM, KMDF, UMDFv1",Yes,Yes,Yes 11.1
Windows 8.1,"IA-32, x64",Windows Store,Yes,Yes,Yes (USB 3.0),Yes,Yes,"Windows Store, PowerShell","Windows Update, WSUS, Windows Store","Win32, .NET, WinRT","DLL, KMD, WDM, KMDF, UMDFv1, UMDFv2",Yes,Yes,Yes 11.2
Windows Server 2012 R2,x64,Windows Store,Yes,Yes,Yes (USB 3.0),Yes,Yes,Windows Store,"Windows Update, WSUS, Windows Store","Win32, .NET, WinRT","DLL, KMD, WDM, KMDF, UMDFv1, UMDFv2",Yes,Yes,Yes 11.2
Windows 10,"IA-32, x64",Windows Store,Yes,Yes,Yes (USB 3.1 and Thunderbolt 3),Yes,Yes,"Windows Store, PowerShell","Windows Update, WSUS, Windows Store","Win32, .NET, WinRT, Linux","DLL, KMD, WDM, KMDF, UMDFv1, UMDFv2",Yes,Yes,Yes 12
Windows Server 2016,x64,Windows Store,Yes,Yes,Yes (USB 3.1 and Thunderbolt 3),Yes,Yes,Windows Store,"Windows Update, WSUS, Windows Store","Win32, .NET, WinRT","DLL, KMD, WDM, KMDF, UMDFv1, UMDFv2",Yes,Yes,Yes 12
=======
Version,Shell,Visual styles,Browser,Web server,Windows Media Player,Command-line interpreter
Windows 1.0,MS-DOS executive,(Unnamed),N/A,N/A,N/A,N/A
Windows 2.0,MS-DOS executive,(Unnamed),N/A,N/A,N/A,N/A
Windows 3.0,Program Manager,(Unnamed),N/A,N/A,3.0 (Multimedia Extension edition only),N/A
Windows 3.1x,Program Manager,(Unnamed),N/A,N/A,3.1,N/A
Windows 95,Windows shell,Classic,Internet Explorer 1 in OEM RTM Internet Explorer 2 in OSR1 Internet Explorer 3 in OSR2 and OSR2.1 Internet Explorer 4 in OSR2.5,N/A,4.0,COMMAND.COM
Windows NT 4.0,Windows shell,Classic,Internet Explorer 2 Internet Explorer 3 (in some localized editions),PWS,4.0,"COMMAND.COM, CMD.EXE"
Windows 98,Windows shell,Classic,Internet Explorer 4.01,PWS,4.0,COMMAND.COM
Windows 98 SE,Windows shell,Classic,Internet Explorer 5,PWS,4.0,COMMAND.COM
Windows 2000,Windows shell,Classic,Internet Explorer 5.01,IIS 5.0,5.0 and 6.4 (side by side),"COMMAND.COM, CMD.EXE"
Windows Me,Windows shell,Classic,Internet Explorer 5.5,N/A,6.4 and 7.0 (side by side),COMMAND.COM
Windows XP,Windows shell,"Luna (default), Classic",Internet Explorer 6,IIS 5.1,"5.1, 6.4 and 8 (in RTM) 5.1, 6.4 and 9 (in SP2)","COMMAND.COM, CMD.EXE, PowerShell (optional)"
Windows Server 2003,Windows shell,"Classic (default), Luna",Internet Explorer 6,IIS 6.0,"9 (in RTM), 10 (in SP1)","COMMAND.COM, CMD.EXE, PowerShell (optional)"
Windows Vista,Windows shell,"Aero (default), Classic",Internet Explorer 7,IIS 7,11,"COMMAND.COM, CMD.EXE, PowerShell (optional)"
Windows Server 2008,"Windows shell, Server Core","Classic (default), Aero (via "Desktop Experience")",Internet Explorer 7,IIS 7,11 (enabled by installing "Desktop Experience"),"COMMAND.COM, CMD.EXE, PowerShell (optional)"
Windows 7,Windows shell,"Aero (default), Classic",Internet Explorer 8,IIS 7.5,12,"COMMAND.COM, CMD.EXE, PowerShell v2.0"
Windows Server 2008 R2,"Windows shell, Server Core","Classic (default), Aero (via "Desktop Experience")",Internet Explorer 8,IIS 7.5,12 (via "Desktop Experience"),"CMD.EXE, PowerShell v2.0"
Windows Server 2012,"Windows shell, Server Core",Metro,Internet Explorer 10,IIS 8,12 (via "Desktop Experience"),"CMD.EXE, PowerShell v3.0"
Windows 8,Windows shell,Metro,Internet Explorer 10,IIS 8,12,"COMMAND.COM, CMD.EXE, PowerShell v3.0"
Windows Server 2012 R2,"Windows shell, Windows server core",Metro,Internet Explorer 11,IIS 8.5,12 (via "Desktop Experience"),"CMD.EXE, PowerShell v4.0"
Windows 8.1,Windows shell,Metro,Internet Explorer 11,IIS 8.5,12,"COMMAND.COM, CMD.EXE, PowerShell v4.0"
Windows 10,Windows shell,Metro,Internet Explorer 11 Microsoft Edge 12-13,IIS 10.0,12,"COMMAND.COM, CMD.EXE, PowerShell v5.0"
Windows Server 2016,"Windows shell, Windows server core",Metro,Internet Explorer 11 Microsoft Edge 13,IIS 10.0,12 (via "Desktop Experience"),"CMD.EXE, PowerShell v5.0"
Windows Server 2019,"Windows shell, Windows server core",Metro,Internet Explorer 11 Microsoft Edge 13,IIS 10.0,12 (via "Desktop Experience"),"CMD.EXE, PowerShell v5.0"
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
