<<<<<<< HEAD
JVM,x86,x86-64,SPARC,MIPS,Itanium,Power ISA,ARM,Alpha,S/390,z/Architecture,m68k
GCJ,Yes[32],Yes[32],Yes[32],Yes[32],Yes[32],Yes[32],Yes[32],Yes[32],Yes[32],No[32],No[32]
"HotSpot, OpenJDK edition",Yes[33],Yes[33],Solaris only[33],Port[34][35],No[33],PowerPC/AIX port[36],Yes[33],No[33],No[33],No[33],No[33]
"HotSpot, Oracle JDK edition",Yes[33],Yes[33],Solaris only[33],No[33],Java 1.6[37],No[33],Yes[33],No[33],No[33],No[33],No[33]
"HotSpot, Java SE embedded edition",Yes[3],Yes[3],Yes[3],?,?,Yes[3],Yes[3],?,?,?,?
"HotSpot, Zero port",Yes[38],Yes[38],No[38],Yes[38],Yes[38],Yes[38],Yes[38],Yes[38],No[38],Yes[38],No[38]
IKVM.NET,Any architecture with a .NET framework.,,,,,,,,,,
JAmiga,?,?,No,No,No,Yes,No,No,No,No,Yes
JamVM,Yes[19],Yes[19],Yes[19],Yes[19],No[19],Yes[19],Yes[19],No[19],No[19],No[19],No[19]
Jato VM,Yes[8],Under development[39],No,No,No,Under development[39],Preliminary ARMv5 support[21],No,No,No,No
JC virtual machine,Yes,No,No,No,No,No,No,No,No,No,No
Jikes RVM,Yes[40],No[40],No[40],No[40],No[40],Yes[40],No[40],No[40],No[40],No[40],No[40]
Kaffe,Yes[11],Yes[11],Yes[11],Yes[11],Yes[11],Yes[11],Yes[11],Yes[11],Yes[11],No[11],Yes[11]
Mysaifu JVM,No[41],No[41],No[41],No[41],No[41],No[41],Yes[41],No[41],No[41],No[41],No[41]
SableVM,Yes[42],Yes,Yes[42],Yes,Yes[42],Yes[42],Yes[42],Yes[42],Yes[42],No[42],Yes[42]
=======
JVM,Windows,Linux,FreeBSD,NetBSD,OpenBSD,Solaris,OpenSolaris,Darwin,macOS,iOS,BeOS,Haiku,AIX,IRIX,OS/2,Windows Mobile,AmigaOS,Other
GCJ,Yes[32],Yes[32],Yes[32],?,?,Yes[32],?,Yes[32],Yes[32],?,?,?,?,Yes[32],?,No[32],No[32],"DEC OSF 4.0f and 5.1, Hitachi SH-3/4 micro-controller[32]"
"HotSpot, OpenJDK edition",Yes[43] (distributed as source code),Yes,Port[44],Port[44],Port[44],Yes,Yes[45],?,Yes[46],No,No,Port[47],Port[36],No,Port[48],No,No,
"HotSpot, Oracle JDK edition",Yes[33],Yes[33],No,No,No,Yes[33],?,?,Yes[33],No,No,No,No,No,No,No,No,
"HotSpot, Java SE embedded edition",Yes[3],Yes[3],No[3],No[3],No[3],Yes[3],?[3],No[3],No[3],No[3],No[3],No[3],No[3],No[3],No[3],No[3],No[3],
"HotSpot, Zero port",No[38][49],Yes[38][49],No[38][49],No[38][49],No[38][49],No[38][49],No[38][49],No[38][49],No[38][49],No[38][49],No[38][49],No[38][49],No[38][49],No[38][49],No[38][49],No[38][49],No[38][49],
IKVM.NET,Any operating system with a .NET framework,,,,,,,,,,,,,,,,,
JAmiga,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,
JamVM,No[19],Yes[19],Yes[19],No[19],Yes[19],Yes[19],Yes[19],Yes[19],Yes[19],On Jailbroken iPhone[19],No[19],No[19],No[19],No[19],No[19],No[19],No[19],kFreeBSD
Jato VM,No[39],Yes[39],No[39],No[39],No[39],No[39],No[39],Under development[39],?[39],No[39],No[39],No[39],No[39],No[39],No[39],No[39],No[39],
JC virtual machine,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,
Jikes RVM,No[40],Yes[40],No[40],No[40],No[40],No[40],No[40],No[40],Yes[40],No[40],No[40],No[40],Yes[40],No[40],No[40],No[40],No[40],
Kaffe,Using Cygwin[11],Yes[11],Yes[11],Yes[11],Yes[11],Yes[11],?,Yes[11],Yes[11],No[11],Yes[11],No[11],Yes[11],Yes[11],No[11],No[11],Yes,Many others[11]
Mysaifu JVM,No[41],No[41],No[41],No[41],No[41],No[41],No[41],No[41],No[41],No[41],No[41],No[41],No[41],No[41],No[41],Yes[41],No[41],
SableVM,Using Cygwin[42],Yes[42],Yes[42],?,?,?,?,?,Yes[42],?,?,?,?,?,?,?,?,
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
