Année,Population mondiale (milliers),%±,Accroissement brut
1950,2 536 431,,
1955,2 773 020,"+ 9,33 %",236 589
1960,3 034 950,"+ 9,45 %",261 930
1965,3 339 584,"+ 10,04 %",304 634
1970,3 700 437,"+ 10,81 %",360 854
1975,4 079 480,"+ 10,24 %",379 043
1980,4 458 003,"+ 9,28 %",378 523
1985,4 870 922,"+ 9,26 %",412 918
1990,5 327 231,"+ 9,37 %",456 309
1995,5 744 213,"+ 7,83 %",416 982
2000,6 143 494,"+ 6,95 %",399 281
2005,6 541 907,"+ 6,49 %",398 413
2010,6 956 824,"+ 6,34 %",414 917
2015,7 379 797,"+ 6,08 %",422 973
2020,7 794 799,"+ 5,62 %",415 002
"Source : ONU, World Population Prospects 2019[20].",,,
