<<<<<<< HEAD
,Directives [Note 1],Conditionals,Atomic groups [Note 2],Named capture [Note 3],Comments,Embedded code,Unicode property support [3],Balancing groups [Note 4],Variable-length look-behinds [Note 5]
Boost.Regex,Yes,Yes,Yes,Yes,Yes,No,Some[Note 6],No,No
Boost.Xpressive,Yes,No,Yes,Yes,Yes,No,No,No,No
CL-PPCRE,Yes,Yes,Yes,Yes,Yes,Yes,Some[Note 6],No,No
EmEditor,Yes,Yes,?,?,Yes,No,?,No,No
FREJ,No,No,Yes,Yes,Yes,No,?,No,No
GLib/GRegex,Yes,Yes,Yes,Yes,Yes,No,Some[Note 6],No,No
GNU grep,Yes,Yes,?,Yes,Yes,No,No,No,No
Haskell,?,?,?,?,?,No,No,No,No
RXP,Yes,Yes,No,Yes,Yes,No,No,No,No
ICU Regex,Yes,No,Yes,Yes[Note 7],Yes,No,Yes,No,No
Java,Yes,No,Yes,Yes[Note 8],Yes,No,Some[Note 6],No,No
JavaScript (ECMAScript),No,No,No,No,No,No,Some[Note 6][Note 9][4],No,No
JGsoft,Yes,Yes,Yes,Yes,Yes,No,Some[Note 6],No,Yes
Lua,No,No,No,No,No,No,No,No,No
.NET,Yes,Yes,Yes,Yes,Yes,No,Some[Note 6],Yes,Yes
OCaml,No,No,No,No,No,No,No,No,No
OmniOutliner 3.6.2,?,?,?,?,No,No,?,No,No
PCRE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
Perl,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No[Note 10]
PHP,Yes,Yes,Yes,Yes,Yes,No,No,No,No
Python,Yes,Yes,Yes[Note 11],Yes,Yes,No,Yes[Note 12],No,Yes[Note 11]
Qt/QRegExp,No,No,No,No,No,No,No,No,No
RE2,Yes,No,?,Yes,No,No,Some[Note 6],No,No
Ruby / Onigmo,Yes,Yes,Yes,Yes,Yes,Yes,Some[Note 6],No,No
Tcl,Yes,No,Yes,No,Yes,No,Yes,No,No
TRE,Yes,No,No,No,Yes,No,?,No,No
Vim,Yes,No,Yes,No,No,No,No,No,Yes
RGX,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
XML Schema,No,No,No,No,No,No,Yes,No,No
XPath 3/XQuery,No,No,No,No,No,No,Yes,No,No
XRegExp,Leading only,No,No,Yes,Yes,No,Yes,No,No
=======
,"+" quantifier,Negated character classes,Non-greedy quantifiers [Note 1],Shy groups [Note 2],Recursion,Look-ahead,Look-behind,Backreferences [Note 3],>9 indexable captures
Boost.Regex,Yes,Yes,Yes,Yes,Yes[Note 4],Yes,Yes,Yes,Yes
Boost.Xpressive,Yes,Yes,Yes,Yes,Yes[Note 5],Yes,Yes,Yes,Yes
CL-PPCRE,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
EmEditor,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
FREJ,No[Note 6],No,Some[Note 6],Yes,No,No,No,Yes,Yes
GLib/GRegex,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
GNU grep,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,?
Haskell,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
RXP,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
ICU Regex,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Java,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
JavaScript (ECMAScript),Yes,Yes,Yes,Yes,No,Yes,Yes[Note 7],Yes,Yes
JGsoft,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Lua,Yes,Yes,Some[Note 8],No,No,No,No,Yes,No
.NET,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
OCaml,Yes,Yes,No,No,No,No,No,Yes,No
OmniOutliner 3.6.2,Yes,Yes,Yes,No,No,No,No,?,?
PCRE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Perl,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
PHP,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Python,Yes,Yes,Yes,Yes,Yes[Note 9],Yes,Yes,Yes,Yes
Qt/QRegExp,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
RE2,Yes,Yes,Yes,Yes,No,No,No,No,Yes
Ruby / Onigmo,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
TRE,Yes,Yes,Yes,Yes,No,No,No,Yes,No
Vim,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
RGX,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Tcl,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
TRegExpr,Yes,?,Yes,?,?,?,?,?,?
XML Schema,Yes,Yes,No,N/A,No,No,No,No,N/A
XPath 3/XQuery,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
XRegExp,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
