<<<<<<< HEAD
Format,Languages
string (string'First .. string'First + n - 1),Ada
"substr(string, 0, n)","AWK (changes string), Perl, PHP, Raku"
"LEFT$(string,n)","BASIC, VB"
"left(string,n)","VB, FreeBASIC, Ingres, Pick Basic"
"strncpy(string2, string, n)",C standard library
"string.substr(0,n)","C++ (STL), Raku"
[string substringToIndex:n],Objective-C (NSString * only)
(apply str (take n string)),Clojure
string[0 .. n],D[22]
"string:substr(string, start, length)",Erlang
(subseq string 0 n),Common Lisp
string[:n],"Cobra, Go, Python"
"left(string,n «,padchar»)","Rexx, Erlang"
"string[0, n] string[0..n - 1]",Ruby
"string[1, n]",Pick Basic
string[ .. n],Seed7
"string.Substring(0,n)","VB .NET, C#, Windows PowerShell, F#"
"leftstr(string, n)","Pascal, Object Pascal (Delphi)"
"copy (string,1,n)",Turbo Pascal
"string.substring(0,n)","Java,[23] JavaScript"
(string-take string n),Scheme (SRFI 13)
take n string,Haskell
"String.extract (string, n, NONE)",Standard ML
String.sub string 0 n,OCaml[24]
string.[..n],F#
"string.sub(string, 1, n) (string):sub(1, n)",Lua
string first: n,"Smalltalk (Squeak, Pharo)"
string(:n),Fortran
"StringTake[string, n]",Mathematica[25]
string («FUNCTION» LENGTH(string) - n:n),COBOL
"string.substring(0, n)",Cobra
n?string.,APL
string[0..n] string[..n] string.get(0..n) string.get(..n),Rust[26]
=======
Example usage,Languages
String.Trim([chars]),"C#, VB.NET, Windows PowerShell"
string.strip();,D
(.trim string),Clojure
sequence [ predicate? ] trim,Factor
(string-trim '(#\Space #\Tab #\Newline) string),Common Lisp
(string-trim string),Scheme
string.trim(),"Java, JavaScript (1.8.1+, Firefox 3.5+), Rust[50]"
Trim(String),"Pascal,[51] QBasic, Visual Basic, Delphi"
string.strip(),Python
"strings.Trim(string, chars)",Go
LTRIM(RTRIM(String)),"Oracle SQL, T-SQL"
"strip(string [,option, char])",REXX
"string:strip(string [,option, char])",Erlang
string.strip or string.lstrip or string.rstrip,Ruby
string.trim,Raku
trim(string),"PHP, Raku"
[string stringByTrimmingCharactersInSet:[NSCharacterSet whitespaceAndNewlineCharacterSet]],Objective-C using Cocoa
string withBlanksTrimmed string withoutSpaces string withoutSeparators,"Smalltalk (Squeak, Pharo) Smalltalk"
strip(string),SAS
string trim $string,Tcl
TRIM(string) or TRIM(ADJUSTL(string)),Fortran
TRIM(string),SQL
TRIM(string) or LTrim(string) or RTrim(String),ColdFusion
String.trim string,OCaml 4+
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
