<<<<<<< HEAD
Model,Launch,Code name,Fab (nm),Bus interface,Core clock (MHz),Memory clock (MHz),Core config1,Fillrate,,Memory,,,,Supported API version,,TDP (Watts),Features
,,,,,,,,Pixel (GP/s),Texture (GT/s),Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit),Direct3D,OpenGL,,
GeForce 7000M,"February 1, 2006",MCP67MV,90,Hyper Transport,350,System memory,1:2:2:2,0.7,0.7,Up to 256 from system memory,System memory,DDR2,64/128,9.0c,2.1,Unknown,
GeForce 7150M,,MCP67M,,,425,,,0.85,0.85,,,,,,,Unknown,
GeForce Go 72002,January 2006,G72M,,PCIe ×16,450,700,3:4:4:1,0.45,1.8,64,2.8,GDDR3,32,,,Unknown,Transparency Anti-Aliasing
GeForce Go 73002,,,,,350,,3:4:4:2,0.7,1.4,"128, 256, 512",5.60,,64,,,Unknown,
GeForce Go 74002,,,,,450,900,,0.9,1.8,"64, 256",7.20,,,,,Unknown,
GeForce Go 7600,March 2006,G73M,,,,1000,5:8:8:8,3.6,3.6,"256, 512",16,,128,,,Unknown,"Scalable Link Interface (SLI), Transparency Anti-Aliasing"
GeForce Go 7600 GT,2006,,,,500,1200,5:12:12:8,4,6,256,19.2,,,,,Unknown,
GeForce Go 7700,,G73-N-B1,80,,450,1000,,3.6,5.4,512,16,,,,,Unknown,
GeForce Go 7800,"March 3, 2006",G70M,110,,400,1100,6:16:16:8,3.2,6.4,256,35.2,,256,,,35,
GeForce Go 7800 GTX,October 2005,,,,,,8:24:24:16,6.4,9.6,,,,,,,65,
GeForce Go 7900 GS,April 2006,G71M,90,,375,1000,7:20:20:16,6,7.5,,32.0,,,,,20,
GeForce Go 7900 GTX,,,,,500,1200,8:24:24:16,8,12,256 512,38.4,,,,,45,
GeForce Go 7950 GTX,October 2006,,,,575,1400,,9.2,13.8,512,44.8,,,,,,
=======
Model,Launch,Code name,Fab (nm),Transistors (billion),Die size (mm2),Bus interface,Core config,Clock speeds,,,Fillrate,,Memory,,,,Supported API version,,,,Processing power (GFLOPS),,,TBP (Watts),SLI support
,,,,,,,,Base core clock (MHz),Boost core clock (MHz),Memory (MT/s),Pixel (GP/s),Texture (GT/s),Size (GiB),Bandwidth (GB/s),Bus type,Bus width (bit),DirectX,OpenGL,OpenCL,Vulkan,Single precision (Boost),Double precision,Half precision,,
GeForce MX110[165][166],November 2017,GM108,28,Unknown,Unknown,64,256:16:8,965,993,Unknown,7.944,23.83,?2,(variable),GDDR5/DDR3,64,12,4.5,1.0,1.2,762.6,23.83,Unknown,30,No
GeForce MX130[165][167][168],November 2017,,,Unknown,Unknown,,384:24:8,1122,1242,Unknown,9.936,29.81,,,,,,,1.2,1.0,762.6,29.81,Unknown,30,No
GeForce MX150[169],Mid 2017,GP108 (N17S-G1-A1),14,1.8,70,PCIe 3.0 x4,384:24:16[170][171],1468,1532,6008,23.5,35.2,2,48,GDDR5,64,12 (12_1),,1.2,1.0 (1.2 via driver),1127 (1177),18,9,25,No
,?,GP108 (N17S-LG-A1),,,,,,937,1038,5012,15,22.5,,40,,,,,,,720 (797),11,6,10,
GeForce GTX 1050 (Notebook)[172][173],"January 3, 2017",GP107(N17P-G0-A1),,3.3,135,PCIe 3.0 x16,640:40:16,1354,1493,7000,21.7,54.2,4,112,,128,,,,,1733 (1911),27,14,53,
GeForce GTX 1050 Ti (Notebook)[172],,GP107(N17P-G1-A1),,,,,768:48:32,1493,1620,,47.8,71.7,,,,,,,,,2293 (2488),36,18,64,
GeForce GTX 1060 (Notebook)[172],"August 16, 2016",GP106,16,4.4,200,,1280:80:48,1404,1670,8000,67.4,112,6,192,,192,,,,,3594 (4275),112,56,80,
GeForce GTX 1060 Max-Q,May 2017,,,,,,,1063,1480,,71.04,118.4,,,,,,,,,3789,118.4,59.20,,
,,GP106B,,,,,,1265,,,,,,,,,,,,,,,,,
GeForce GTX 1070 (Notebook)[172],"August 16, 2016",GP104/GP104B[174],,7.2,314,,2048:128:64,1442,1645,,92.3,185,8,256,,256,,,,,5906 (6738),185,92,115,Yes
GeForce GTX 1070 Max-Q,May 2017,,,,,,,1101,1379,,88.26,176.5,,,,,,,,,5648,176.5,88.26,?,No
GeForce GTX 1080 (Notebook)[172],"August 16, 2016",,,,,,2560:160:64,1556,1733,10000,99.6,249,,320,GDDR5X,,,,,,7967 (8873),249,124,150,Yes
GeForce GTX 1080 Max-Q,May 2017,,,,,,,1101,1468,,93.95,234.9,,,,,,,,,7516,234.9,117.4,?,No
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
