<<<<<<< HEAD
Dataset name,Brief description,Preprocessing,Instances,Format,Default task,Created (updated),Reference,Creator
Aff-Wild,"298 videos of 200 individuals, ~1,250,000 manually annotated images: annotated in terms of dimensional affect (valence-arousal); in-the-wild setting; color database; various resolutions (average = 640x360)","the detected faces, facial landmarks and valence-arousal annotations","~1,250,000 manually annotated images",video (visual + audio modalities),affect recognition (valence-arousal estimation),2017,CVPR [6] IJCV [7],D.Kollias et al.
Aff-Wild2,"558 videos of 458 individuals, ~2,800,000 manually annotated images: annotated in terms of i) categorical affect (7 basic expressions: neutral, happiness, sadness, surprise, fear, disgust, anger); ii) dimensional affect (valence-arousal); iii) action units (AUs 1,2,4,6,12,15,20,25); in-the-wild setting; color database; various resolutions (average = 1030x630)","the detected faces, detected and aligned faces and annotations","~2,800,000 manually annotated images",video (visual + audio modalities),"affect recognition (valence-arousal estimation, basic expression classification, action unit detection)",2019,BMVC [8] FG [9],D.Kollias et al.
FERET (facial recognition technology),11338 images of 1199 individuals in different positions and at different times.,None.,"11,338",Images,"Classification, face recognition",2003,[10][11],United States Department of Defense
Ryerson Audio-Visual Database of Emotional Speech and Song (RAVDESS),"7,356 video and audio recordings of 24 professional actors. 8 emotions each at two intensities.",Files labelled with expression. Perceptual validation ratings provided by 319 raters.,"7,356","Video, sound files","Classification, face recognition, voice recognition",2018,[12][13],S.R. Livingstone and F.A. Russo
SCFace,Color images of faces at various angles.,Location of facial features extracted. Coordinates of features given.,"4,160","Images, text","Classification, face recognition",2011,[14][15],M. Grgic et al.
Yale Face Database,Faces of 15 individuals in 11 different expressions.,Labels of expressions.,165,Images,Face recognition,1997,[16][17],J. Yang et al.
Cohn-Kanade AU-Coded Expression Database,Large database of images with labels for expressions.,Tracking of certain facial features.,500+ sequences,"Images, text",Facial expression analysis,2000,[18][19],T. Kanade et al.
JAFFE Facial Expression Database,213 images of 7 facial expressions (6 basic facial expressions + 1 neutral) posed by 10 Japanese female models.,Images are cropped to the facial region. Includes semantic ratings data on emotion labels.,213,"Images, text",Facial expression cognition,1998,[20][21],"Lyons, Kamachi, Gyoba"
FaceScrub,Images of public figures scrubbed from image searching.,Name and m/f annotation.,"107,818","Images, text",Face recognition,2014,[22][23],H. Ng et al.
BioID Face Database,Images of faces with eye positions marked.,Manually set eye positions.,1521,"Images, text",Face recognition,2001,[24][25],BioID
Skin Segmentation Dataset,Randomly sampled color values from face images.,"B, G, R, values extracted.","245,057",Text,"Segmentation, classification",2012,[26][27],R. Bhatt.
Bosphorus,3D Face image database.,34 action units and 6 expressions labeled; 24 facial landmarks labeled.,4652,"Images, text","Face recognition, classification",2008,[28][29],A Savran et al.
UOY 3D-Face,"neutral face, 5 expressions: anger, happiness, sadness, eyes closed, eyebrows raised.",labeling.,5250,"Images, text","Face recognition, classification",2004,[30][31],University of York
CASIA 3D Face Database,"Expressions: Anger, smile, laugh, surprise, closed eyes.",None.,4624,"Images, text","Face recognition, classification",2007,[32][33],"Institute of Automation, Chinese Academy of Sciences"
CASIA NIR,Expressions: Anger Disgust Fear Happiness Sadness Surprise,None.,480,Annotated Visible Spectrum and Near Infrared Video captures at 25 frames per second,"Face recognition, classification",2011,[34],"Zhao, G. et al."
BU-3DFE,"neutral face, and 6 expressions: anger, happiness, sadness, surprise, disgust, fear (4 levels). 3D images extracted.",None.,2500,"Images, text","Facial expression recognition, classification",2006,[35],Binghamton University
Face Recognition Grand Challenge Dataset,"Up to 22 samples for each subject. Expressions: anger, happiness, sadness, surprise, disgust, puffy. 3D Data.",None.,4007,"Images, text","Face recognition, classification",2004,[36][37],National Institute of Standards and Technology
Gavabdb,"Up to 61 samples for each subject. Expressions neutral face, smile, frontal accentuated laugh, frontal random gesture. 3D images.",None.,549,"Images, text","Face recognition, classification",2008,[38][39],King Juan Carlos University
3D-RMA,"Up to 100 subjects, expressions mostly neutral. Several poses as well.",None.,9971,"Images, text","Face recognition, classification",2004,[40][41],Royal Military Academy (Belgium)
SoF,112 persons (66 males and 46 females) wear glasses under different illumination conditions.,"A set of synthetic filters (blur, occlusions, noise, and posterization ) with different level of difficulty.","42,592 (2,662 original image × 16 synthetic image)","Images, Mat file","Gender classification, face detection, face recognition, age estimation, and glasses detection",2017,[42][43],"Afifi, M. et al."
IMDB-WIKI,IMDB and Wikipedia face images with gender and age labels.,None,"523,051",Images,"Gender classification, face detection, face recognition, age estimation",2015,[44],"R. Rothe, R. Timofte, L. V. Gool"
=======
Dataset Name,Brief description,Preprocessing,Instances,Format,Default Task,Created (updated),Reference,Creator
NYSK Dataset,English news articles about the case relating to allegations of sexual assault against the former IMF director Dominique Strauss-Kahn.,Filtered and presented in XML format.,"10,421","XML, text","Sentiment analysis, topic extraction",2013,[168],"Dermouche, M. et al."
The Reuters Corpus Volume 1,Large corpus of Reuters news stories in English.,Fine-grain categorization and topic codes.,"810,000",Text,"Classification, clustering, summarization",2002,[169],Reuters
The Reuters Corpus Volume 2,Large corpus of Reuters news stories in multiple languages.,Fine-grain categorization and topic codes.,"487,000",Text,"Classification, clustering, summarization",2005,[170],Reuters
Thomson Reuters Text Research Collection,Large corpus of news stories.,Details not described.,"1,800,370",Text,"Classification, clustering, summarization",2009,[171],T. Rose et al.
Saudi Newspapers Corpus,"31,030 Arabic newspaper articles.",Metadata extracted.,"31,030",JSON,"Summarization, clustering",2015,[172],M. Alhagri
RE3D (Relationship and Entity Extraction Evaluation Dataset),Entity and Relation marked data from various news and government sources. Sponsored by Dstl,"Filtered, categorisation using Baleen types",not known,JSON,"Classification, Entity and Relation recognition",2017,[173],Dstl
Examiner Spam Clickbait Catalogue,"Clickbait, spam, crowd-sourced headlines from 2010 to 2015",Publish date and headlines,"3,089,781",CSV,"Clustering, Events, Sentiment",2016,[174],R. Kulkarni
ABC Australia News Corpus,Entire news corpus of ABC Australia from 2003 to 2019,Publish date and headlines,"1,186,018",CSV,"Clustering, Events, Sentiment",2020,[175],R. Kulkarni
Worldwide News - Aggregate of 20K Feeds,One week snapshot of all online headlines in 20+ languages,"Publish time, URL and headlines","1,398,431",CSV,"Clustering, Events, Language Detection",2018,[176],R. Kulkarni
Reuters News Wire Headline,11 Years of timestamped events published on the news-wire,"Publish time, Headline Text","16,121,310",CSV,"NLP, Computational Linguistics, Events",2018,[177],R. Kulkarni
The Irish Times Ireland News Corpus,24 Years of Ireland News from 1996 to 2019,"Publish time, Headline Category and Text","1,484,340",CSV,"NLP, Computational Linguistics, Events",2020,[178],R. Kulkarni
News Headlines Dataset for Sarcasm Detection,High quality dataset with Sarcastic and Non-sarcastic news headlines.,"Clean, normalized text","26,709",JSON,"NLP, Classification, Linguistics",2018,[179],Rishabh Misra
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
