<<<<<<< HEAD
Research Networking Tool,Interoperability with Institutional Enterprise Systems,Interoperability with External Systems,Integration with Add-on Components or Products,"Regional, National, International or Federated Connectivity?"
Academic Room,No,unknown,unknown,"The system is voluntary, so national and international by active inclusion"
Activity Insight,"Yes (Banner, Datatel, PeopleSoft, CampusVue, Jenzabar, etc.)","Yes (Google Scholar, Scopus, Web of Science, RefWorks, etc.)","Yes (EndNote, Mendeley, Zotero, tools which generate BiBTeX, CSV or XML files)",No
C-IKNOW,No,Yes(is possible),Unknown,No
PROFILES by Mentis® (formerly Collaborative Partnership / Profile System),Yes,"Yes (has API, works with Elsevier PURE, Activity Insight, VIVO etc.)",Yes (funding opportunities from grants.gov),Yes (National and International)
Community Academic Profiles - CAP,Yes,Yes,Yes,No
Converis,Yes - Bi-directional and one way integrations with institution's enterprise systems available either through APIs or Kettle.,"Yes - Standard integrations with Web of Science, EndNote, Kopernio, InCites, EuroPMC, Research Professional, iThenticate, VIVO, Scopus and others. Individual integrations needed for specific institutions can also be configured via APIs or Kettle.","Yes - Integrates with Pentaho Data Integration, InCites and VIVO",Yes
CurvitaTM Profile Manager,Yes,Yes,Unknown,No
CUSP - Columbia University Scientific Profiles,No,Yes PubMed only,Unknown,No
Digital Vita,No,Yes (only PubMed),Unknown,Yes National federated connectivity through DIRECT2Experts
Elsevier's Pure,"Yes institutions have access to Web Services in order to feed data into internal databases; Web Services can be consumed as directed by institution. Pure currently ingests a range of data from institutions' own systems, including grants data, HR data, institutional repositories, publication databases, book listings and more.","Yes Scopus, PubMed, NIH RePORTER, Embase, Mendeley, arXiv, Worldcat, CrossRef, JournalTOC, CAB Abstracts, SAO/NSA Astrophysics Data System, Web of Science, institution's internal databases, including HR data, grants, publications, patents, etc.",Yes Pure integrates with SciVal to allow easy analysis of your researcher impact with the benchmark capabilities of SciVal.,Yes The Pure Community Module interconnects participating institutions into a single centralized Pure instance. Additional functionality enables users to search across different institutions or run cross-campus reports [2]
Elsevier's SciVal,Yes (Institutions have access to the API with Scopus data in order to feed data into internal databases.),Yes (Integrates with Pure.),Yes (Scopus & ScienceDirect),No
Epernicus Solutions & Epernicus Network,"Yes (Possible, for Epernicus Solutions)",No,Unknown,No
ERIM Member Profile System (ERIM MIS),Yes,"Yes ID resolver included, so links to external systems are created, like SSRN, ResearcherID, Google scholar alerts & Search, social mention search from personal page, MEEBO sharing possible, Tynt statistics included",Unknown,No
