Feature,Android,iOS,Tizen,Sailfish OS,Ubuntu Touch
<<<<<<< HEAD
Audio playback,"AAC LC/LTP 3GPP, HE-AACv1 (AAC+), HE-AACv2 (enhanced AAC+) AMR-NB, AMR-WB, MP3, MIDI (Type 0 and 1, DLS versions 1 and 2), Ogg Vorbis, PCM/WAVE, FLAC, WAVE, Opus[238]","AAC, protected AAC (from iTunes Store), HE-AAC, MP3, MP3 VBR, Audible (formats 2, 3, 4, Audible Enhanced Audio, AAX, and AAX+), Apple Lossless, AIFF, WAV[239]","AAC, AAC+, eAAC+, AMR-NB, AMR-WB, MP3, Vorbis, WAV[240]","MP3, FLAC, AAC, eAAC, eAAC+, ALAC, AC3, DTS, Opus, Vorbis",?
Video playback,"H.263, H.264 (up to Baseline Profile), H.265 HEVC, MPEG-4 SP, DivX, XviD, VP8, VP9[238] (WMV on 3rd party software like VLC media player)","H.264 (up to High Profile), MPEG-4, M-JPEG[239]","H.263, H.264, MPEG-4 Part 2[240]","MPEG-4, H264, H263,[241] although audio in recorded videos is out of sync[242]",?
Wired video out,4K on 6+[243],"Up to 1080p via HDMI[244] or VGA,[245] 576p/480p via component[246] or composite;[247]",No,No[248],Yes
Wired digital audio output,5+ USB Audio[249],7+: USB Audio[250],No,No,Yes
Wireless video/audio streaming to set top boxes/TVs/speakers,"4.2+ Miracast,[251] but DLNA[252] only available on selected devices",AirPlay[253],DLNA[254],?,Yes
Media player on-device playlist creation,Yes[255],Yes[60],?,Yes,Yes
Media player video scrubbing,Yes,Yes,?,?,?
Media player audio scrubbing,Yes,Yes,?,?,?
Media player fine scrubbing,"No,[256] 3rd party software like VLC media player, basic fine scrubbing removed on 4+[257]",Yes[258],?,?,?
Media player double speed playing,6+[259],Only Podcasts[260],?,?,?
=======
Camera focus at specified point,2.3+[269],Yes[60],?,1.0.4+[270],Yes
Camera exposure metering from specified point,"No,[271] available on some phones.[272][273]",Yes[274],No,?,No
On device picture info (including Exif data),Only date and location; more with 3rd party software[275],Only date and location; more with 3rd party software[276],No,?,Yes
On device picture categorization,No[277] 3rd party software like TouchWiz[278],5+[279],No,?,No
On device picture description and search,No[280],10+: Items/objects in picture;[281] 7+: Only date and location[282],No,?,No
Turn off shutter sound,In silent mode[283],In silent mode[284],In silent mode,In silent mode[285],No
Picture crop,Yes,5+[286],No,Yes,Yes
Photo rotation,Yes,5+[286],No,Yes,Yes
Photo red-eye reduction,2.3+[287],5+[286],No,No[288],No
HDR photos option,"4.2+, some manufacturers earlier[289]",Yes[290],No,No[291],Yes
Photo/video import from memory cards,Yes,With Camera Connection Kit[266],Yes,Yes,Yes
Video trim,2.3+,Yes,No,?,No
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
