<<<<<<< HEAD
,exit block(break),continue,label,branch (goto),return value from generator
Ada[1],exit «loop_name» «when condition»,N/A,label:,goto label,N/A
ALGOL 68,value exit; ...,do statements; skip exit; label: statements od,label: ...,go to label; ... goto label; ... label; ...,yield(value) (Callback)[13]
APL,:Leave,:Continue,label:,?label or :GoTo label,N/A
C (C99),break;,continue;,label:,goto label;,N/A
Objective-C,,,,,
C++ (STL),,,,,
D,,,,,
C#,,,,,yield return value;
Java,break «label»;,continue «label»;,,N/A,
JavaScript,,,,,yield value«;»
PHP,break «levels»;,continue «levels»;,,goto label;,yield «key =>» value;
Perl,last «label»;,next «label»;,,,
Raku,,,,,
Go,break «label»,continue «label»,,goto label,
Swift,break «label»,continue «label»,,N/A,
Bash shell,break «levels»,continue «levels»,N/A,N/A,N/A
Common Lisp,(return) or (return-from block) or (loop-finish),,(tagbody tag ... tag ...),(go tag),
Scheme,,,,,
ISLISP,(return-from block),,(tagbody tag ... tag ...),(go tag),
Pascal(ISO),N/A,,label:[a],goto label;,N/A
Pascal(FPC),break;,continue;,,,
Visual Basic,"Exit blockAlternatively, for methods, Return",N/A,label:,GoTo label,
Xojo,,Continue block,,,
Visual Basic .NET,,,,,Yield value
Python,break,continue,N/A,,yield value
RPG IV,LEAVE;,ITER;,,,
S-Lang,break;,continue;,,,
Fortran,EXIT,CYCLE,label[b],GOTO label,N/A
Ruby,break,next,,,
Windows PowerShell,break «label»,continue,,,
OCaml,N/A,,,,
F#,,,,,
Standard ML,,,,,
Haskell (GHC),,,,,
COBOL,EXIT PERFORM or EXIT PARAGRAPH or EXIT SECTION or EXIT.,EXIT PERFORM CYCLE,label «SECTION».,GO TO label,N/A
Ya,break «from where»; f.e. break for switch;,continue «to where»; f.e. continue for switch;,:label,goto :label;,N/A
=======
,8 bit (byte),,16 bit (short integer),,32 bit,,64 bit (long integer),,Word size,,Arbitrarily precise (bignum)
,Signed,Unsigned,Signed,Unsigned,Signed,Unsigned,Signed,Unsigned,Signed,Unsigned,
Ada[1],range -2**7 .. 2**7 - 1[j],range 0 .. 2**8 - 1[j] or mod 2**8[k],range -2**15 .. 2**15 - 1[j],range 0 .. 2**16 - 1[j] or mod 2**16[k],range -2**31 .. 2**31 - 1[j],range 0 .. 2**32 - 1[j] or mod 2**32[k],range -2**63 .. 2**63 - 1[j],mod 2**64[k],Integer[j],range 0 .. 2**Integer'Size - 1[j] or mod Integer'Size[k],N/A
ALGOL 68 (variable-width),short short int[c],N/A,short int[c],N/A,int[c],N/A,long int[c],N/A,int[c],N/A,long long int [a][g]
,,,,,,,,,bytes & bits,,
C (C99 fixed-width),int8_t,uint8_t,int16_t,uint16_t,int32_t,uint32_t,int64_t,uint64_t,intptr_t[c],size_t[c],N/A
C++ (C++11 fixed-width),,,,,,,,,,,
C (C99 variable-width),signed char,unsigned char,short[c],unsigned short[c],long[c],unsigned long[c],long long[c],unsigned long long[c],int[c],unsigned int[c],
C++ (C++11 variable-width),,,,,,,,,,,
Objective-C (Cocoa),signed char or int8_t,unsigned char or uint8_t,short or int16_t,unsigned short or uint16_t,int or int32_t,unsigned int or uint32_t,long long or int64_t,unsigned long long or uint64_t,NSInteger or long,NSUInteger or unsigned long,
C#,sbyte,byte,short,ushort,int,uint,long,ulong,IntPtr,UIntPtr,System.Numerics.BigInteger (.NET 4.0)
Java,byte,N/A,,char[b],,N/A,,N/A,N/A,N/A,java.math.BigInteger
Go,int8,uint8 or byte,int16,uint16,int32,uint32,int64,uint64,int,uint,big.Int
Rust,i8,u8,i16,u16,i32,u32,i64,u64,isize,usize,N/A
Swift,Int8,UInt8,Int16,UInt16,Int32,UInt32,Int64,UInt64,Int,UInt,
D,byte,ubyte,short,ushort,int,uint,long,ulong,N/A,N/A,BigInt
Common Lisp[2],(signed-byte 8),(unsigned-byte 8),(signed-byte 16),(unsigned-byte 16),(signed-byte 32),(unsigned-byte 32),(signed-byte 64),(unsigned-byte 64),,,bignum
Scheme,,,,,,,,,,,
ISLISP[3],,,,,,,,,,,bignum
Pascal (FPC),shortint,byte,smallint,word,longint,longword,int64,qword,integer,cardinal,N/A
Visual Basic,N/A,Byte,Integer,N/A,Long,N/A,N/A,,N/A,,N/A
Visual Basic .NET,SByte,,Short,UShort,Integer,UInteger,Long,ULong,,System.Numerics.BigInteger (.NET 4.0),
FreeBasic,Byte or Integer<8>,UByte or UInteger<8>,Short or Integer<16>,UShort or UInteger<16>,Long or Integer<32>,ULong or UInteger<32>,LongInt or Integer<64>,ULongInt or UInteger<64>,Integer,UInteger,N/A
Python 2.x,N/A,,N/A,,N/A,,N/A,,int,N/A,long
Python 3.x,N/A,,N/A,,N/A,,N/A,,N/A,,int
S-Lang,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Fortran,INTEGER(KIND = n)[f],N/A,INTEGER(KIND = n)[f],N/A,INTEGER(KIND = n)[f],N/A,INTEGER(KIND = n)[f],N/A,,,
PHP,N/A,,N/A,,int [m],N/A,int [m],N/A,N/A,,[e]
Perl 5,N/A[d],,N/A[d],,N/A[d],,N/A[d],,N/A[d],,Math::BigInt
Raku,int8,uint8,int16,uint16,int32,uint32,int64,uint64,Int,N/A,
Ruby,N/A,,N/A,,N/A,,N/A,,Fixnum,N/A,Bignum
Erlang[n],N/A,,N/A,,N/A,,N/A,,integer(),N/A,integer()[o]
Scala,Byte,N/A,Short,Char[l],Int,N/A,Long,N/A,N/A,N/A,scala.math.BigInt
Seed7,N/A,N/A,N/A,N/A,N/A,N/A,integer,N/A,N/A,N/A,bigInteger
Smalltalk,N/A,,N/A,,N/A,,N/A,,SmallInteger[i],N/A,LargeInteger[i]
Windows PowerShell,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
OCaml,N/A,,N/A,,int32,N/A,int64,N/A,int or nativeint,,open Big_int;; big_int
F#,sbyte,byte,int16,uint16,int32 or int,uint32,,uint64,nativeint,unativeint,bigint
Standard ML,N/A,Word8.word,N/A,,Int32.int,Word32.word,Int64.int,Word64.word,int,word,LargeInt.int or IntInf.int
Haskell (GHC),«import Int» Int8,«import Word» Word8,«import Int» Int16,«import Word» Word16,«import Int» Int32,«import Word» Word32,«import Int» Int64,«import Word» Word64,Int,«import Word» Word,Integer
Eiffel,INTEGER_8,NATURAL_8,INTEGER_16,NATURAL_16,INTEGER_32,NATURAL_32,INTEGER_64,NATURAL_64,INTEGER,NATURAL,N/A
COBOL[h],BINARY-CHAR «SIGNED»,BINARY-CHAR UNSIGNED,BINARY-SHORT «SIGNED»,BINARY-SHORT UNSIGNED,BINARY-LONG «SIGNED»,BINARY-LONG UNSIGNED,BINARY-DOUBLE «SIGNED»,BINARY-DOUBLE UNSIGNED,N/A,N/A,N/A
Mathematica,N/A,,N/A,,N/A,,N/A,,N/A,,Integer
Wolfram Language,N/A,,N/A,,N/A,,N/A,,N/A,,Integer
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
