<<<<<<< HEAD
Name,C#,Client-Specific,Lua,Perl,Python,Ruby,TINTIN,VB.NET,Tcl,PHP,JScript
Atlantis,No,Minimal,Yes,Yes,No,No,No,No,No,No,No
Axmud,No,Minimal,No,Yes,No,No,No,No,No,No,No
BeipMU,No,Minimal,No,No,No,No,No,No,No,No,No
BioMUD,No,Yes,Yes,No,No,No,No,No,No,No,No
Blightmud,No,No,Yes,No,No,No,No,No,No,No,No
BlowTorch,No,Minimal,Yes,No,No,No,No,No,No,No,No
CMUD,No,No,Yes,No,No,No,Yes,No,No,No,No
GGMUD,No,No,Yes,No,No,No,Yes,No,No,No,No
GMUD,No,Minimal,No,No,No,No,No,No,No,No,No
Gnome-Mud,No,No,No,No,Yes,No,No,No,No,No,No
JamochaMUD,No,Minimal,No,No,No,No,No,No,No,No,No
KBtin,No,No,No,No,No,No,Yes,No,No,No,No
KildClient,No,No,No,Yes,No,No,No,No,No,No,No
KMuddy,No,Minimal,Yes,Yes,Yes,Yes,No,No,No,Yes,No
Lyntin,No,No,No,No,Yes,No,Yes,No,No,No,No
mcl,No,Yes,No,No,No,No,No,No,No,No,No
muby,No,No,No,No,No,Yes,No,No,No,No,No
Mud Gangster,No,No,Yes,No,No,No,No,No,No,No,No
Mudlet,No,Minimal,Yes,No,No,No,No,No,No,No,No
MudMagic,No,No,No,Yes,Yes,No,No,No,No,No,No
MUSHclient,No,No,Yes,Yes,Yes,Minimal,No,Yes,Yes,Yes,Yes
Portal,No,Yes,No,No,No,No,No,No,No,No,No
Potato,No,Yes,No,No,No,No,No,No,Yes,No,No
Powwow,No,Yes,No,No,No,No,No,No,No,No,No
Pueblo/UE,No,No,No,No,No,No,Yes,No,No,No,No
SimpleMU,No,No,No,No,No,No,No,No,No,No,No
Soiled,No,No,No,No,No,No,No,No,No,No,No
TinTin++,No,No,No,No,No,No,Yes,No,No,No,No
TinyFugue,No,Yes,No,No,No,No,No,No,No,No,No
Tortilla,No,No,Yes,No,No,No,Yes,No,No,No,No
Trebuchet,No,No,No,No,No,No,No,No,Yes,No,No
Wintin.Net,Yes,No,No,No,No,No,Yes,Yes,No,No,No
zMUD,No,No,No,No,No,No,Yes,No,No,No,No
=======
Name,Windows,Mac OS X,Linux,BSD,Unix,Android,iOS,Updated
Atlantis,No,Yes,No,No,No,No,No,2006
Axmud,Yes,No,Yes,Yes,Yes,No,No,2019
BeipMU,Yes,No,No,No,No,No,No,2020
BioMUD,Yes,No,No,No,No,No,No,2016
Blightmud,No,Yes,Yes,Yes,Yes,No,No,2020
BlowTorch,No,No,No,No,No,Yes,No,2018
CMUD,Yes,No,No,No,No,No,No,2010
GGMUD,Yes,Yes,Yes,Yes,Yes,No,No,2007
GMUD,Yes,No,No,No,No,No,No,1998
Gnome-Mud,No,No,Yes,No,No,No,No,2018
JamochaMUD,CPI,CPI,CPI,CPI,CPI,No,No,2014
KBtin,No,Yes,Yes,Yes,Yes,No,No,2018
KildClient,Yes,Yes,Yes,Yes,Yes,No,No,2017
KMuddy,No,Yes,Yes,Yes,No,No,No,2009
Lyntin,CPI,CPI,CPI,CPI,CPI,No,No,2008
mcl,No,No,Yes,No,No,No,No,2003
muby,No,CPI,CPI,CPI,CPI,No,No,2009
Mud Gangster,Yes,No,Yes,No,No,No,No,2020
Mudlet,Yes,Yes,Yes,Yes,Yes,No,No,2020
MudMagic,Yes,Yes,Yes,Yes,Yes,No,No,2006
MUDRammer,No,No,No,No,No,No,Yes,2015
MUSHclient,Yes,No,No,No,No,No,No,2019
Portal,Yes,No,No,No,No,No,No,2013
Potato,CPI,CPI,CPI,CPI,CPI,No,No,2017
Powwow,Yes,Yes,Yes,Yes,Yes,No,No,2020
Pueblo/UE,Yes,No,No,No,No,No,No,2004
SimpleMU,Yes,No,No,No,No,No,No,2001
Soiled,CPI,CPI,CPI,CPI,CPI,No,No,2012
TinTin++,Cygwin[os 2],Yes,Yes,Yes,Yes,Termux,iSH,2020
TinyFugue,Yes,Yes,Yes,Yes,Yes,No,No,2007
Tortilla,Yes,No,No,No,No,No,No,2018
Trebuchet,CPI,CPI,CPI,CPI,CPI,No,No,2015
Wintin.Net,Yes,No,No,No,No,No,No,2007
zMUD,Yes,No,No,No,No,No,No,2008
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
