<<<<<<< HEAD
Model,Code name,Fab (nm),Bus interface,Core clock (MHz),Shader clock (MHz),Memory clock (MHz),Core config1,Fillrate,,Memory,,,,Processing power (GFLOPS),Supported API version,,TBP (Watts)
,,,,,,,,Pixel (GP/s),Texture (GT/s),Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit),Single precision,Direct3D,OpenGL,
Quadro FX 350M,G72GLM,90,PCIe 1.0 ×16,450,450,900,3:4:4:2,0.9,1.8,256,14.4,GDDR3,128,,9.0c,2.1,15
Quadro FX 1500M,G71GLM,,,375,375,1000,8:24:24:16,6,9,512,32,,256,,,,
Quadro FX 2500M,,,,500,500,1200,,8,12,,38.4,,,,,,
Quadro FX 3500M,,,,575,575,,,9.2,13.8,,,,,,,,
=======
Model,Code name,Fab (nm),Bus interface,Core clock (MHz),Shader clock (MHz),Memory clock (MHz),Core config1,Fillrate,,Memory,,,,Processing power (GFLOPS),Supported API version,,Nvidia Optimus technology,TBP (Watts)
,,,,,,,,Pixel (GP/s),Texture (GT/s),Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit),Single precision,Direct3D,OpenGL,,
Quadro P500,GP108,14,PCIe 3.0 ×16,,,,256:16:16:2,,,2048,40,GDDR5,64,750,12.1,4.5,Yes,18
Quadro P600,GP107,,,,384:24:16:3,2048,80,,128,1200,25,,,,,,,
Quadro P1000,GP107(N18P-Q1-A1),,,,512:32:16:4,4096,96,,,1600,40,,,,,,,
Quadro P2000,GP107(N18P-Q3-A1),,,,768:64:32:6,5120,,,,2400,50,,,,,,,
Quadro P3000,GP106,16,,,1280:80:48:10,6144,168,,192,3098,75,,,,,,,
Quadro P4000,GP104,,,,1792:112:64:14,8192,192,,256,4398,100,,,,,,,
Quadro P4000 Max-Q,,,,,1792:112:64:14,,,,,,80,,,,,,,
Quadro P5000,,,,,2048:128:64:16,16384,,,,6197,100,,,,,,,
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
