<<<<<<< HEAD
Driver,802.11,,,,,,,Bus interface,Wireless Security,,,Monitor mode,Master (AP) mode,Ad-Hoc mode
,a,b,g,n,ac,ad,ax,,WEP,WPA,WPA2,,,
acx1xx,No,Yes,Yes,No,No,?,?,"?| PCI, Mini PCI, PC card, USB",Yes,No,No,Yes,Yes,?
adm8211,?,?,?,?,?,?,?,PCI,?,?,?,?,No,?
carl9170,Yes,Yes,Yes,Yes,No,?,?,USB,Yes,Yes,Yes,Yes,Yes,Yes
ath5k,Yes,Yes,Yes,No,No,?,?,"PCI, Mini PCI, PC card, AHB",Yes,Yes,Yes,Yes,Yes (2.6.31),Yes
ath9k,Yes,Yes,Yes,Yes,No,?,?,"PCI, Mini PCI, Mini PCIe, AHB",Yes,Yes,Yes,Yes,Yes,Yes
ath9k_htc,Yes,Yes,Yes,Yes,No,?,?,USB,Yes,Yes,Yes,Yes,Yes,Yes
ath10k,No,No,No,No,Yes,?,?,"PCI, Mini PCI, AHB, Mini PCIe",Yes,Yes,Yes,Yes,Yes,Yes
b43,No,Yes,Yes,No,No,?,?,"PCI, Mini PCI, SDIO ?",Yes,Yes,Yes,Yes,Yes,Yes
bcm43xx,No,Yes,Yes,No,No,?,?,"PCI, Mini PCI, Cardbus, PC card",Yes,Yes,Yes,Yes,No,?
brcmfmac,Yes,Yes,Yes,Yes,No,?,?,"USB, SDIO, PCI Express",Yes,Yes,Yes,Exp. [29],Yes [30],No
brcmsmac,Yes,Yes,Yes,Yes,No,?,?,"PCI, Mini PCI, Mini PCIe",Yes,Yes,Yes,Yes,Yes [31],Yes [32]
hostap,No,Yes,No,No,No,?,?,"PCI, Mini PCI, PC card",Yes,Yes [33],Yes [33],Yes,Yes,Yes
ipw2100,No,Yes,No,No,No,?,?,Mini PCI,Yes,Yes,Yes,Yes,?,?
ipw2200,Yes,Yes,Yes,No,No,?,?,Mini PCI,Yes,Yes,Yes,Yes,No,Yes
ipw2200-ap,No,Yes,Yes,No,No,?,?,Mini PCI,?,?,?,Yes,Yes,?
ipw3945,Yes,Yes,Yes,No,No,?,?,"Mini PCI, Mini PCIe",Yes,Yes,Yes,Yes,No,Yes
islsm,?,?,?,?,?,?,?,"PCI, USB",No,No,No,?,No,?
iwlwifi,Yes,Yes,Yes,Yes,Yes,?,?,"Mini PCI, Mini PCIe, M.2",Yes,Yes,Yes,Yes,2.4 GHz only Exp. [34] [35],Yes
libertas,No,Yes,Yes,No,No,?,?,"USB, CF, SDIO",?,?,?,?,No,?
madwifi,Yes,Yes,Yes,No,No,?,?,"PCI, PC card, Mini PCI",Yes,Yes,Yes,Yes,Yes,Yes
mt76,Yes,Yes,Yes,Yes,Yes,?,?,"PCIe, USB",Yes,Yes,Yes,Yes,Yes,Yes
mt7601u,No,Yes,Yes,Yes,No,?,?,USB,Yes,Yes,Yes,Yes,?,?
orinoco,No,Yes,No,No,No,?,?,"Mini PCI, PC card",Yes,Yes [36],No,Yes,No,Yes
p54,No,Yes,Yes,No,No,?,?,"Mini PCI, USB, Cardbus",Yes,Yes,Yes,Yes,Yes,Yes
prism54,No,Yes,Yes,No,No,?,?,PCI,Yes,No,?,Yes,Yes,?
rndis_wlan,No,Yes,Yes,No,No,?,?,USB,Yes,Yes,Yes,No,No,Yes
rt2x00,No,Yes,Yes,No,No,?,?,"PCI, USB, Mini PCI",Yes,Yes [37],Yes [38],Yes,Yes [39],Yes
rtl8180,Yes,Yes,Yes,No,No,?,?,"PCI, PC card, Mini PCI",?,?,?,?,Yes,?
rtl8187,Yes,Yes,Yes,No,No,?,?,USB,Yes,Yes,Yes,Yes,?,?
zd1201,No,Yes,No,No,No,?,?,USB,Yes,No [40],No [40],Yes,Yes,?
zd1211,Yes,Yes,Yes,No,No,?,?,USB,Yes,Yes,Yes,Yes,Yes,?
zd1211rw,No,Yes,Yes,No,No,?,?,USB,Yes,Yes,Yes,Yes,Yes [41],Yes
=======
Driver,Chipset,Integration,Free firmware[note 2],License,Original/Primary developer,Development methodologies,Free software[note 3]
an,"Aironet 4500/4800, Cisco Aironet 340/350",Integrated,N/A,BSD,Bill Paul (FreeBSD),Ported from FreeBSD,Yes
ath,Atheros AR521*/ AR2413/ AR2417/ AR5413/ AR5416/ AR5424/ AR9160,Integrated,N/A,BSD,Sam Leffler (FreeBSD),Binary blobs ported from FreeBSD,Yes
athn,Atheros AR5008 up to the AR9287,Integrated,N/A,BSD,Damien Bergamini (OpenBSD),Ported from OpenBSD,Yes
atu,Atmel at76c503/ at76c503a/ at76c505/ at76c505a,Integrated,N/A,BSD,Dan Vreeken (FreeBSD),Ported from OpenBSD,Yes
atw,ADMtek ADM8211,Integrated,N/A,BSD,David Young (NetBSD),,Yes
awi,AMD PCnetMobile,Integrated,N/A,BSD,,,Yes
bwi,Broadcom BCM430x/4318,Integrated,N/A,BSD,Sepherosa Ziehau (DragonflyBSD),Ported from Dragonfly BSD,Yes
cnw,Netwave AirSurfer,Integrated,N/A,BSD,,,Yes
ipw,Intel PRO/Wireless 2100,Integrated,No,BSD,Damien Bergamini (OpenBSD),Ported from OpenBSD,Yes
iwi,Intel PRO/Wireless 2200BG/2915ABG,Integrated,No,BSD,Damien Bergamini (OpenBSD),Ported from OpenBSD,Yes
iwm,"Intel Wireless WiFi 7260, 7265, 3160",Integrated,No,BSD,Antti Kantee (NetBSD),,Yes
iwn,Intel Wireless WiFi Link 4965/ 5000/ 1000/ 6000,Integrated,No,BSD,Damien Bergamini (OpenBSD),Ported from OpenBSD,Yes
malo,Marvell 88W8335/88W8310,Integrated,No,BSD,Claudio Jeker (OpenBSD),Ported from OpenBSD,Yes
otus,Atheros AR9001U,Integrated,No,BSD,Damien Bergamini (OpenBSD),Ported from OpenBSD,Yes
ral,Ralink RT2500/ RT2501/ RT2600/ RT2500USB/RT3592,Integrated,N/A,BSD,Damien Bergamini (OpenBSD),Ported from OpenBSD,Yes
ray,Raytheon Raylink / WebGear Aviator,Integrated,N/A,BSD,Christian E. Hopps (NetBSD),,Yes
rtw,Realtek RTL8180L,Integrated,N/A,BSD,David Young (NetBSD),,Yes
rtwn,Realtek RTL8188CE and RTL8192CE,Integrated,N/A,BSD,Stefan Sperling (OpenBSD),Ported from OpenBSD,Yes
run,"Ralink RT2700U, RT2800U and RT3000U",Integrated,N/A,BSD,Damien Bergamini (OpenBSD),Ported from OpenBSD,Yes
upgt,Conexant/Intersil PrismGT SoftMAC USB IEEE 802.11b/g,Integrated,N/A,BSD,Marcus Glocker (OpenBSD),Ported from OpenBSD,Yes
urtw,Realtek RTL8187B/L,Integrated,No,BSD,Weongyo Jeong (FreeBSD),Ported from FreeBSD,Yes
urtwn,"Realtek RTL8188CUS, RTL8188CE-VAU, RTL8188EUS, RTL8188RU, and RTL8192CU",Integrated,No,BSD,Damien Bergamini (OpenBSD),Ported from OpenBSD,Yes
wi,Lucent Technologies WaveLAN/IEEE and PRISM-II 802.11,Integrated,No,BSD,Bill Paul,,Yes
wpi,Intel PRO/Wireless 3945ABG,Integrated,No,BSD,Damien Bergamini (OpenBSD),Ported from OpenBSD,Yes
zyd,ZyDAS ZD1211/ ZD1211B,Integrated,No,BSD,Damien Bergamini (OpenBSD),Ported from OpenBSD,Yes
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
