Dataset Name,Brief description,Preprocessing,Instances,Format,Default Task,Created (updated),Reference,Creator
<<<<<<< HEAD
MovieTweetings,Movie rating dataset based on public and well-structured tweets,,"~710,000",Text,"Classification, regression",2018,[192],S. Dooms
Twitter100k,Pairs of images and tweets,,"100,000",Text and Images,Cross-media retrieval,2017,[193][194],"Y. Hu, et al."
Sentiment140,"Tweet data from 2009 including original text, time stamp, user and sentiment.",Classified using distant supervision from presence of emoticon in tweet.,"1,578,627","Tweets, comma, separated values",Sentiment analysis,2009,[195][196],A. Go et al.
ASU Twitter Dataset,"Twitter network data, not actual tweets. Shows connections between a large number of users.",None.,"11,316,811 users, 85,331,846 connections",Text,"Clustering, graph analysis",2009,[197][198],R. Zafarani et al.
SNAP Social Circles: Twitter Database,Large Twitter network data.,"Node features, circles, and ego networks.","1,768,149",Text,"Clustering, graph analysis",2012,[199][200],J. McAuley et al.
Twitter Dataset for Arabic Sentiment Analysis,Arabic tweets.,Samples hand-labeled as positive or negative.,2000,Text,Classification,2014,[201][202],N. Abdulla
Buzz in Social Media Dataset,Data from Twitter and Tom's Hardware. This dataset focuses on specific buzz topics being discussed on those sites.,Data is windowed so that the user can attempt to predict the events leading up to social media buzz.,"140,000",Text,"Regression, Classification",2013,[203][204],F. Kawala et al.
Paraphrase and Semantic Similarity in Twitter (PIT),This dataset focuses on whether tweets have (almost) same meaning/information or not. Manually labeled.,"tokenization, part-of-speech and named entity tagging","18,762",Text,"Regression, Classification",2015,[205][206],Xu et al.
Geoparse Twitter benchmark dataset,This dataset contains tweets during different news events in different countries. Manually labeled location mentions.,location annotations added to JSON metadata,"6,386","Tweets, JSON","Classification, Information Extraction",2014,[207][208],S.E. Middleton et al.
=======
EEG Database,Study to examine EEG correlates of genetic predisposition to alcoholism.,Measurements from 64 electrodes placed on the scalp sampled at 256 Hz (3.9 ms epoch) for 1 second.,122,Text,Classification,1999,[349],H. Begleiter
P300 Interface Dataset,Data from nine subjects collected using P300-based brain-computer interface for disabled subjects.,Split into four sessions for each subject. MATLAB code given.,"1,224",Text,Classification,2008,[350][351],U. Hoffman et al.
Heart Disease Data Set,Attributed of patients with and without heart disease.,75 attributes given for each patient with some missing values.,303,Text,Classification,1988,[352][353],A. Janosi et al.
Breast Cancer Wisconsin (Diagnostic) Dataset,Dataset of features of breast masses. Diagnoses by physician is given.,10 features for each sample are given.,569,Text,Classification,1995,[354][355],W. Wolberg et al.
National Survey on Drug Use and Health,Large scale survey on health and drug use in the United States.,None.,"55,268",Text,"Classification, regression",2012,[356],United States Department of Health and Human Services
Lung Cancer Dataset,Lung cancer dataset without attribute definitions,56 features are given for each case,32,Text,Classification,1992,[357][358],Z. Hong et al.
Arrhythmia Dataset,"Data for a group of patients, of which some have cardiac arrhythmia.",276 features for each instance.,452,Text,Classification,1998,[359][360],H. Altay et al.
Diabetes 130-US hospitals for years 1999–2008 Dataset,9 years of readmission data across 130 US hospitals for patients with diabetes.,Many features of each readmission are given.,"100,000",Text,"Classification, clustering",2014,[361][362],J. Clore et al.
Diabetic Retinopathy Debrecen Dataset,Features extracted from images of eyes with and without diabetic retinopathy.,Features extracted and conditions diagnosed.,1151,Text,Classification,2014,[363][364],B. Antal et al.
Diabetic Retinopathy Messidor Dataset,Methods to evaluate segmentation and indexing techniques in the field of retinal ophthalmology (MESSIDOR),Features retinopathy grade and risk of macular edema,1200,"Images, Text","Classification, Segmentation",2008,[365][366],Messidor Project
Liver Disorders Dataset,Data for people with liver disorders.,Seven biological features given for each patient.,345,Text,Classification,1990,[367][368],Bupa Medical Research Ltd.
Thyroid Disease Dataset,10 databases of thyroid disease patient data.,None.,7200,Text,Classification,1987,[369][370],R. Quinlan
Mesothelioma Dataset,Mesothelioma patient data.,"Large number of features, including asbestos exposure, are given.",324,Text,Classification,2016,[371][372],A. Tanrikulu et al.
Parkinson's Vision-Based Pose Estimation Dataset,2D human pose estimates of Parkinson's patients performing a variety of tasks.,Camera shake has been removed from trajectories.,134,Text,"Classification, regression",2017,[373][374][375],M. Li et al.
KEGG Metabolic Reaction Network (Undirected) Dataset,Network of metabolic pathways. A reaction network and a relation network are given.,Detailed features for each network node and pathway are given.,"65,554",Text,"Classification, clustering, regression",2011,[376],M. Naeem et al.
Modified Human Sperm Morphology Analysis Dataset (MHSMA),"Human sperm images from 235 patients with male factor infertility, labeled for normal or abnormal sperm acrosome, head, vacuole, and tail.","Cropped around single sperm head. Magnification normalized. Training, validation, and test set splits created.","1,540",.npy files,Classification,2019,[377][378],S. Javadi and S.A. Mirroshandel
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
