<<<<<<< HEAD
Portuguese,Spanish,English
cola (< Lat. coloere),"pegamento, cola (< Lat. pix, < Lat. coloere)",glue
vaso (< Lat. vasum),"maceta, tiesto (< Hisp.-Ar. maceta, maybe < Ital. mazzetto; < Lat. testu)","vase, flowerpot"
floco (< Lat. floccus),copo (< Lat. cuppa),flake
competência (< Lat. competentia),"aptitud, capacidad (< Lat. aptit?do; capac?t?tis)","competence, competency"
despido (< Lat. expedire),desnudo (< Lat. ex + nudus),naked
osso (< Lat. ossum),hueso (< Lat. ossum),bone
pez (< Lat. pix),brea (< Fr. brayer),"pitch, resin"
polvo (< Gr. ????????),pulpo (< Gr. ????????),octopus
tenda (< Lat. tenda < tend?re),"tienda, lona, toldo (< Lat. tenda < tend?re; < Fr. Olonne; < Fr. taud < Old Germ. tialz)","tent, marquee"
ganância (< Gothic ganan),"codicia, avaricia, afán (< Lat. cupiditia; < Lat. avaritia; probably < Lat. afannae)","greed, avarice, covetousness"
inversão (< Lat. inversionis),inversión (< Lat. inversionis),inversion
"embaraçada (< Lat. in + O.Port. baraça, of uncertain origin)",avergonzada (< Lat. verecundia),embarrassed
estafa (< Ital. staffa),"agotamiento, fatiga, extenuación (< Lat. gutta; < Lat. fatig?re; < Lat. extenu?re)","exhaustion, tiredness, wear out"
esquisito (< Lat. exquisitus),"raro, extraño, peculiar (< Lat. rarus; < Lat. extr?neus; < Lat. peculi?ris)","odd, strange, peculiar"
moléstia (< Lat. molestiae),"enfermedad, achaque, plaga, peste (< Lat. infirmitas; < Ar. šak?; < Lat. plaga; < Lat. pestis )","disease, plague"
serviço (< Lat. servitium),servicio (< Lat. servitium),service
"perro (origin uncertain, maybe < Sp. perro)",oxidado (< Greek oxis + Lat. suffix -tatus),rusty
berro (< Lat. barrire),"chillido, berrido (< Lat. cisclare; < Lat. barrire)","screech, shriek"
aceite (< Lat. accept?re),aceptado (< Lat. accept?re),accepted
oficina (< Lat. offic?na < officium),taller; taller de coches; taller mecánico de autos (< Old Fr. astelier; < Old Fr. estalier + Lat. cocca; < Old Fr. astelier + Lat. mechanicus + Gr. ????),"auto repair centre, repair garage, workshop"
firma (< Lat. firmus),"empresa; compañía; sociedad, negocio (< Lat. prenhendere; companio; societas; nec otium)","business, firm, company, corporation, enterprise, venture, establishment, group, house"
presunto (< Lat. persuctus),jamón (< Fr. jambon),"ham, prosciutto"
risco (< Lat. reseca),riesgo (< Arabic rizq[5] or maybe Italian rischio}}),"risk, line"
topo (< Gr. tópos),cumbre (< Lat. columen or culmen),top
=======
Meaning,Spanish,Portuguese,Notes
"newspaper, journal",periódico < Lat. period?cus < gr. ?????????? [18],jornal < Fra. journal,
journalist,periodista < Lat. period?cus < gr. ?????????? [19],jornalista < Fra. journaliste,
journey,recorrido < Lat. recurr?re [20],jornada < Provençal. jornada < jorn[21],
shop window,escaparate < Ned. schaprade[22],montra < Fra. montre,The French-derived term vitrina (in both Spa/Por) or vitrine (in Por) is also used.
"boutique, clothes store",tienda< Lat. tenda[23],"boutique, butique < Fra. boutique[24]",
scarf,"bufanda < Uncertain, maybe O.Fra. bouffant[25]","cachecol, écharpe cache-col, écharpe[26]",
"lampshade, bedside lamp",lámpara < Lat. < Gre. lamp?da < ??????[27],abajur < Fra. abat-jour[28],
New Year's Eve,Nochevieja < Lat. noctis + veclus < vet?lus[29],Reveillon < Fra. Reveillon,
frisson,escalofrío < Lat. + prefix ex + cale+ frige[30],frisson < Fra. frisson[31],
"gaffe, blunder",metedura de pata < Lat. + Ar. < mitt?re + batt[32],gafe < Fra. gaffe [33],
brioche,"bollo de leche < Lat. < bulla + lactis,[34][35]",brioche < Fra. brioche [36],
croissant,medialuna < Lat. < media + luna[37],"croissant, croassã < Fra. croissant [38]",
"courgette, zucchini",calabacín < Pre-roman calabaza[39],"courgette, curgete < Fra. courgette [39]",
blueberry,arándano < Celt + Lat. aran + rodamd?rum[40],mirtilo < Fra. myrtille [41],In Por. arando < Celt aran means cranberry
"billy club, truncheon",porra < Lat. porrum[42],"cassetete, casse-tête < Fra. casse-tête [43]",
creche,guardería infantil < Ger. + Lat. warda + infant?lis [44],creche < Fra. crèche[45],
voyeur,mirón < Lat. mir?ri [46],voyeur < Fra. voyeur,
omelette,tortilla < uncertain + suffix torta + illa,omelete < Fra. omelette[47],
swing,columpio < Leon. < Gr. columbiar < ???????? kolymbân [48],balancé < Fra. balancé[49],
lipstick,pintalabios < Lat. pinct?re + labium [50],batom < Fra. bâton[51],
cap,gorra < uncertain gorra [52],boné < Fra. bonnet[53],
hat,sombrero < Lat subumbr?re[54],chapéu < O.Fra. chapel[55],
"fanny, pussy",coño < Lat cunnus [56],chochota < Fra. chochotte[57],* popular slang/vulgar word in Brazil
(train) station,estación (ferrocarril) < Lat. stati?nis[58],gare < Fra. gare [59],The term gare in Port. is also used for bus-station.
"quay, jetty, key",muelle < Lat. mollis[60],cais < Fra. quai [61],The term cais in Port. is also used for railway platforms.
vehicle,vehículo < Lat. vehiculum[62],viatura < Fr. voiture [63],
"package, packaging",envase < Lat. in + vasum[64],embalagem < Fr. emballage [65],
rissole,empanadilla rellena < Lat. + prefix en + panis + re + plenus,"rissol, rissole < Fra. rissole[66]",
souvenir,recuerdo < Lat. record?ri[67],"souvenir, suvenir < Fr. souvenir [68]",
strike,huelga < Lat. follic?re[69],greve < Fr. grève [70],
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
