<<<<<<< HEAD
Client,Multi-server,UTF-8,Proxy server,irc:// URI scheme,Automatic updates,Scripting language
Bersirc,Yes,No,?,?,?,N/A
BitchX,Yes,No,?,?,?,Enhanced IrcII script
ChatZilla,Yes,Yes,Yes,Yes,Yes,JavaScript
Colloquy,Yes,Yes,?,Yes,Yes[Note 1],"AppleScript, Cocoa, F-Script, JavaScript, Python"
degesch,Yes,Yes,Yes,N/A,N/A,Lua
DMDirc,Yes,Partial,?,Yes,Yes,"Custom Actions system, Java plugins"
ERC,Yes,Yes,Yes[Note 2],?,Yes[Note 3],Emacs Lisp
HexChat,Yes,Yes,Yes,Yes,Yes,"Perl, Python, Tcl, Lua[Note 4][Note 4][Note 4][./Comparison_of_Internet_Relay_Chat_clients#cite_note-Features_HexChat_A-88 [Note 4]], JavaScript, C, C++, and via D-Bus."
HydraIRC,Yes,Yes,?,?,Yes,No
IceChat,Yes,Yes,No,Yes,Yes,VBScript
ircII,Yes,Yes[Note 5],?,?,?,IrcII script
IRCjr,No,No,No,No,No,N/A
IRCCloud,Yes,Yes,Yes,Yes,N/A,JavaScript
Ircle,Yes,No,?,?,?,AppleScript
Irssi,Yes,Yes,Yes,No,No,Perl
jIRCii,Yes,Yes,Yes,?,No,Sleep
KiwiIRC,Yes,Yes,Yes,Yes,N/A,"JavaScript, Node.js"
Konversation,Yes,Yes,Yes,Yes,?,"Shell script, Ruby, Python, Perl, Java, C++, C#, JavaScript[Note 6][Note 6][Note 6][./Comparison_of_Internet_Relay_Chat_clients#cite_note-Features_Konversation_A-90 [Note 6]]"
KVIrc,Yes,Yes,Yes,Yes,No,"KVS (custom), Perl, Python, C++"
LeafChat,Yes,Yes,?,N/A,Yes,Java
LimeChat,Yes,Yes,?,?,?,N/A
Linkinus,Yes,Yes,Yes,Yes,Yes,"AppleScript, Cocoa"
Mibbit,Yes,Yes,?,Yes,N/A,N/A
mIRC,Yes,Yes,Yes,Yes,Yes[Note 7],mIRC script
Nettalk,Yes,Yes,SOCKS,Yes,Yes,"VBScript, custom"
Opera,Yes,Yes,?,Yes,Yes,N/A
PIRCH,Yes,No,?,?,No,Yes
PJIRC,Yes,Yes,?,?,No,"Partial, JavaScript"
Quassel,Yes,Yes,Yes,?,No,No
qwebirc,No,Yes,No,Yes,Yes,No
rcirc,Yes,Yes,?,?,No,Emacs Lisp
Smuxi,Yes,Yes,Yes,?,?,Yes (language agnostic)
Snak,Yes,Yes,?,?,?,"AppleScript, IrcII script"
Visual IRC,Yes,No,?,?,?,Versus
WeeChat,Yes,Yes,Yes,Yes,?,"C, Perl, Python, Ruby, Lua, Tcl, Scheme (Guile)"
Client,Multi-server,UTF-8,Proxy server,irc:// URI scheme,Automatic updates,Scripting language
=======
Client,"Windows 7, Vista","XP, 2000",NT 4.0,NT 3.x,"Me, 98",95,3.1x,ReactOS,macOS (Intel/PPC),OS 9,OS 8,System 7 (PPC/68k),"BeOS, Haiku","OS/2, eCS, ArcaOS",AmigaOS (68k),"AmigaOS 4, MorphOS (PPC)",DOS
Bersirc,Yes,Yes,?,No,?,?,No,?,?,No,No,No,No,No,No,No,No
BitchX,Yes[Note 1],Yes[Note 1],Yes[Note 1],No,Yes[Note 1],Yes[Note 1],No,?,Yes,No,No,No,?,Yes,Yes,Yes,No
ChatZilla,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,No
Colloquy,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
degesch,No,No,No,No,No,No,No,No,?,No,No,No,No,No,No,No,No
ERC,Yes,Yes,?,No,?,?,No,?,Yes,No,No,No,No,No,?,?,?
HexChat,Yes,Dropped (2.9.5),No,No,No,No,No,No,No,No,No,No,?,No,No,No,No
HydraIRC,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
IceChat,Yes,Dropped (9.50),No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
IRCCloud,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
ircII,Yes[Note 1],Yes[Note 1],Yes[Note 1],No,Yes[Note 1],Yes[Note 1],No,?,Yes,No,No,No,No,No,No,?,No
IRCjr,No,Yes[Note 2],Yes[Note 2],No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Ircle,No,No,No,No,No,No,No,No,Yes[Note 3],Yes,Yes,Yes,No,No,No,No,No
Irssi,Yes,Yes,Yes,No,Yes,Yes,No,?,Yes,No,No,No,Yes,Yes,?,Yes,No
jIRCii,Yes,Yes,Yes,?,Yes,Yes,No,?,Yes,Yes,Yes,?,Yes,Yes,?,Yes,No
KiwiIRC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
Konversation,Partial,Partial,Partial,No,Partial,Partial,No,?,Partial,No,No,No,No,No,No,No,No
KVIrc,Yes,Yes,Yes,No,Yes,No,No,Yes[39],Yes,Yes,No,No,No,Yes[40],No,No,No
LeafChat,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
LimeChat,No,No,No,No,No,No,No,No,Yes[Note 4],No,No,No,No,No,No,No,No
Linkinus,No,No,No,No,No,No,No,No,Yes[Note 3],No,No,No,No,No,No,No,No
Mibbit,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
mIRC,Yes,Yes,Yes,Partial,Yes,Yes,Partial,?,No,No,No,No,No,No,No,No,No
Nettalk,Yes,Yes,?,No,Partial[Note 5],No,No,?,No,No,No,No,No,No,No,No,No
Opera,Yes,Yes,Dropped (10.10),No,Dropped,Dropped,Dropped,No[42],Dropped[43],Dropped,Dropped,No,Dropped,Dropped,No,No,No
PIRCH,Yes,Yes,Yes,?,Yes,Yes,Yes,?,No,No,No,No,No,No,No,No,No
PJIRC,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No
