Format,Languages
<<<<<<< HEAD
"changestr(find, string, replace)",Rexx
"std.string.replace(string, find, replace)",D
"Replace(string, find, replace)",VB
"replace(string, find, replace)",Seed7
"change(string, find, replace)",Pick Basic
"string.Replace(find, replace)","C#, F#, VB .NET"
"str_replace(find, replace, string)",PHP
"re:replace(string, find, replace, «{return, list}»)",Erlang
"string.replace(find, replace)","Cobra, Java (1.5+), Python, Rust[35]"
"string.replaceAll(find_regex, replace)[36]",Java
"string.gsub(find, replace)",Ruby
string =~ s/find_regex/replace/g[36],Perl 5
"string.subst(find, replace, :g)",Raku
"string.replace(find, replace, "g") [37] or string.replace(/find_regex/g, replace)[36]",JavaScript
echo "string" | sed 's/find_regex/replace/g'[36],Unix
"string.replace(find, replace), or string -replace find_regex, replace[36]",Windows PowerShell
Str.global_replace (Str.regexp_string find) replace string,OCaml
[string stringByReplacingOccurrencesOfString:find withString:replace],Objective-C (NSString * only)
"string.stringByReplacingOccurrencesOfString(find, withString:replace)",Swift (Foundation)
"string.gsub(string, find, replace) (string):gsub(find, replace)",Lua
string copyReplaceAll: find with: replace,"Smalltalk (Squeak, Pharo)"
string map {find replace} string,Tcl
"StringReplace[string, find -> replace]",Mathematica
"strings.Replace(string, find, replace, -1)",Go
INSPECT string REPLACING ALL/LEADING/FIRST find BY replace,COBOL
find_regex ?R replace_regex ? string,APL
=======
LCase(string),VB
lcase(string),FreeBASIC
lc(string),"Perl, Raku"
string.lc,Raku
tolower(char),C[30]
std.string.toLower(string),D
"transform(string.begin(), string.end(), result.begin(), ::tolower)[31]",C++[32]
lowercase(string),Object Pascal (Delphi)
strtolower(string),PHP
lower(string),Seed7
echo "string" | tr 'A-Z' 'a-z',Unix
string.lower(),Python
downcase(string),Pick Basic
string.downcase,Ruby[33]
strings.ToLower(string),Go
(string-downcase string),"Scheme (R6RS), Common Lisp"
(lower-case string),Clojure
String.lowercase string,OCaml
String.map Char.toLower string,Standard ML
map Char.toLower string,Haskell
string.toLowerCase(),"Java, JavaScript"
to_lower(string),Erlang
string.ToLower(),"VB .NET, C#, Windows PowerShell, F#"
string.lowercaseString,"Objective-C (NSString * only), Swift (Foundation)"
string.lower(string) (string):lower(),Lua
string asLowercase,Smalltalk
LOWER(string),SQL
lowercase(string),PL/I[7]
ToLowerCase[string],Mathematica
«FUNCTION» LOWER-CASE(string),COBOL
string.toLower,Cobra
string tolower string,Tcl
string.to_lowercase(),Rust[34]
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
