<<<<<<< HEAD
ADC hub,FOSS,Software license,Active,Last Update,Notes
ADCH++,Yes,GPL,Yes,2016-03-08 / 2.12.1,
ADCH++ GUI,Yes,GPL,No,,
DSHub,Yes,GPL,No,2008-10-09 / RC1,
FlexHub,Yes,AGPL,Yes,2013-10-20 / 0.2 svn 1469,
Luadch,Yes,GPLv2,Yes,2019-10-13 / v2.20,
Nexthub,Yes,MIT License,No,,
uhub,Yes,GPL,Yes,2014-10-17 / 0.5.0,In Debian[2] and OpenWrt[3]
ErlHub,Yes,GPL,?,,
Qhub,Yes,GPL,No,2006-07-09 / v0.10,
Starlet ADC Hub,No,Proprietary,Yes,,
Starhub,No,source code available,No,,
RusHub,Yes,GPL,Yes,2012-07-10 / 2.3.10,
ADC hub,FOSS,Software license,Active,,
=======
ADC client,GUI,CLI,WebUI,Programming language,Based on
AirDC++,Yes,No,Yes,C++,StrongDC++
AirDC++ Web Client,No,No,Yes,"C++, TypeScript",AirDC++
ApexDC++,Yes,No,No,"C++, Lua",StrongDC++
DC++,Yes,No,No,C++,
Jucy,Yes,No,No,Java,
LinuxDC++,Yes,No,No,C++,DC++
EiskaltDC++,Yes,Yes,Yes,"C++, Lua",DC++
FlylinkDC++,Yes,No,Yes,C++,"StrongDC++, DC++, ApexDC speed mode"
RSX++,Yes,No,No,"C++, Lua",StrongDC++
TKDC++,Yes,No,No,"C++, Lua","StrongDC++, DC++"
StrongDC++,Yes,No,No,C++,DC++
ncdc,No,Yes,No,C,
ADC client,GUI,CLI,WebUI,Programming language,Based on
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
