Feature,Android,iOS,Tizen,Sailfish OS,Ubuntu Touch
<<<<<<< HEAD
While-in-use permissions,10+,11+: Location only[32],No,No,Yes
Per-app Internet access,"No,[33] 3rd party software[34]",7+: Cellular only;[35] 3rd party software on jailbroken devices[36],No,No,No
Per-app identity access,8+[37],6+[38][39],No,No,Yes
Per-app user data access,6+[40],6+[41],No,No,Yes
Per-app background execution,"No,[42] 3rd party apps available[43]",7+[44],No,No,Background execution not allowed
Per-app notifications,4.1+[45],5+[46][47],No,No,Yes
Per-app location access,6+[40],4+[48],No,No,Yes
Per-app camera access,6+[40],8+[49],No,No,Yes
Per-app microphone access,6+[40],7+[50],No,No,Yes
Per-app shared files access,6+[40],8+[51],No,No,Yes
Per-app network data usage auditing,4+[52],Yes[53],?,No[54],No
Fine grained storage usage,Yes[55],5+[56],?,No,Yes
Parental controls,4.3+ or 3rd party software[57],Yes[58],?,No,No
Screen orientation lock,Yes[59],Yes[60],?,1.0.4+[61],Yes
File manager,6.0+[62],11+[63],3rd party software[64],Yes[65],Yes
File manager write access to external storage,6+ Or 3rd party software like LineageOS,13+,Yes,Yes,Yes
Multi-user,"4.2+, including phones 5+[66][67]",9.3+: Education use only on iPad[68],No,No,No
Guest mode,5+[69],6+[70],No,No,No
Guided Access,No,Yes[71],No,No,No
Do not disturb mode,5+[72],6+[73],No,No,No
App groups,Yes,4+[74],?,1.0.7+[75],Yes
=======
Non-English languages support,Partial[202],Yes[203][204][205],Limited (Search is not diacritical mark-insensitive),Yes,Yes
Underlining spell checker,2.3+[206][207],Yes[208],No,?,No
Built-in system-wide dictionary,Built into keyboard app. Available on every device.[209],5+[210],No,Yes,Yes
Autoexpanding text replacements,Yes,5+[211],?,?,?
Keyboard next word prediction,"No,[212] 3rd party software[213]",8+[214],No,Yes,Yes
Keyboard cursor controller,Google Keyboard;[215];[216],12+;[217] 9-11: Only on devices with 3D Touch;[218],No,No,Yes
Optical character recognition input method,No[219],11+: Notes app;[220] 8+: Only for inputting credit card details[221],No,No,No
Third party input methods,Yes[222],8+,?,?,?
Gesture text input,4+[223],13+;[224] 8+: 3rd party software like SwiftKey,?,No[225],No
Emoji support,4.4+[226],Yes[227],?,2.2.0+[228] 3rd party software[229],Yes
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
