Dataset Name,Brief description,Preprocessing,Instances,Format,Default Task,Created (updated),Reference,Creator
<<<<<<< HEAD
EEG Database,Study to examine EEG correlates of genetic predisposition to alcoholism.,Measurements from 64 electrodes placed on the scalp sampled at 256 Hz (3.9 ms epoch) for 1 second.,122,Text,Classification,1999,[353],H. Begleiter
P300 Interface Dataset,Data from nine subjects collected using P300-based brain-computer interface for disabled subjects.,Split into four sessions for each subject. MATLAB code given.,"1,224",Text,Classification,2008,[354][355],U. Hoffman et al.
Heart Disease Data Set,Attributed of patients with and without heart disease.,75 attributes given for each patient with some missing values.,303,Text,Classification,1988,[356][357],A. Janosi et al.
Breast Cancer Wisconsin (Diagnostic) Dataset,Dataset of features of breast masses. Diagnoses by physician is given.,10 features for each sample are given.,569,Text,Classification,1995,[358][359],W. Wolberg et al.
National Survey on Drug Use and Health,Large scale survey on health and drug use in the United States.,None.,"55,268",Text,"Classification, regression",2012,[360],United States Department of Health and Human Services
Lung Cancer Dataset,Lung cancer dataset without attribute definitions,56 features are given for each case,32,Text,Classification,1992,[361][362],Z. Hong et al.
Arrhythmia Dataset,"Data for a group of patients, of which some have cardiac arrhythmia.",276 features for each instance.,452,Text,Classification,1998,[363][364],H. Altay et al.
Diabetes 130-US hospitals for years 1999–2008 Dataset,9 years of readmission data across 130 US hospitals for patients with diabetes.,Many features of each readmission are given.,"100,000",Text,"Classification, clustering",2014,[365][366],J. Clore et al.
Diabetic Retinopathy Debrecen Dataset,Features extracted from images of eyes with and without diabetic retinopathy.,Features extracted and conditions diagnosed.,1151,Text,Classification,2014,[367][368],B. Antal et al.
Diabetic Retinopathy Messidor Dataset,Methods to evaluate segmentation and indexing techniques in the field of retinal ophthalmology (MESSIDOR),Features retinopathy grade and risk of macular edema,1200,"Images, Text","Classification, Segmentation",2008,[369][370],Messidor Project
Liver Disorders Dataset,Data for people with liver disorders.,Seven biological features given for each patient.,345,Text,Classification,1990,[371][372],Bupa Medical Research Ltd.
Thyroid Disease Dataset,10 databases of thyroid disease patient data.,None.,7200,Text,Classification,1987,[373][374],R. Quinlan
Mesothelioma Dataset,Mesothelioma patient data.,"Large number of features, including asbestos exposure, are given.",324,Text,Classification,2016,[375][376],A. Tanrikulu et al.
Parkinson's Vision-Based Pose Estimation Dataset,2D human pose estimates of Parkinson's patients performing a variety of tasks.,Camera shake has been removed from trajectories.,134,Text,"Classification, regression",2017,[377][378][379],M. Li et al.
KEGG Metabolic Reaction Network (Undirected) Dataset,Network of metabolic pathways. A reaction network and a relation network are given.,Detailed features for each network node and pathway are given.,"65,554",Text,"Classification, clustering, regression",2011,[380],M. Naeem et al.
Modified Human Sperm Morphology Analysis Dataset (MHSMA),"Human sperm images from 235 patients with male factor infertility, labeled for normal or abnormal sperm acrosome, head, vacuole, and tail.","Cropped around single sperm head. Magnification normalized. Training, validation, and test set splits created.","1,540",.npy files,Classification,2019,[381][382],S. Javadi and S.A. Mirroshandel
=======
Zero Resource Speech Challenge 2015,"Spontaneous speech (English), Read speech (Xitsonga).",raw wav,"English: 5h, 12 speakers; Xitsonga: 2h30; 24 speakers",sound,Unsupervised discovery of speech features/subword units/word units,2015,[240][241],Versteegh et al.
Parkinson Speech Dataset,Multiple recordings of people with and without Parkinson's Disease.,"Voice features extracted, disease scored by physician using unified Parkinson's disease rating scale","1,040",Text,"Classification, regression",2013,[242][243],B. E. Sakar et al.
Spoken Arabic Digits,Spoken Arabic digits from 44 male and 44 female.,Time-series of mel-frequency cepstrum coefficients.,"8,800",Text,Classification,2010,[244][245],M. Bedda et al.
ISOLET Dataset,Spoken letter names.,Features extracted from sounds.,7797,Text,Classification,1994,[246][247],R. Cole et al.
Japanese Vowels Dataset,Nine male speakers uttered two Japanese vowels successively.,Applied 12-degree linear prediction analysis to it to obtain a discrete-time series with 12 cepstrum coefficients.,640,Text,Classification,1999,[248][249],M. Kudo et al.
Parkinson's Telemonitoring Dataset,Multiple recordings of people with and without Parkinson's Disease.,Sound features extracted.,5875,Text,Classification,2009,[250][251],A. Tsanas et al.
TIMIT,"Recordings of 630 speakers of eight major dialects of American English, each reading ten phonetically rich sentences.",Speech is lexically and phonemically transcribed.,6300,Text,"Speech recognition, classification.",1986,[252][253],J. Garofolo et al.
Arabic Speech Corpus,"A single-speaker, Modern Standard Arabic (MSA) speech corpus with phonetic and orthographic transcripts aligned to phoneme level",Speech is orthographically and phonetically transcribed with stress marks.,~1900,"Text, WAV","Speech Synthesis, Speech Recognition, Corpus Alignment, Speech Therapy, Education.",2016,[254],N. Halabi
Common Voice,A public domain database of crowdsourced data across a wide range of dialects.,Validation by other users,"English: 1,118 hours",MP3 with corresponding text files,Speech recognition,June 2017 (December 2019),[255],Mozilla
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
