<<<<<<< HEAD
,variable,constant,type synonym
Ada[1],identifier : type« := initial_value»[e],identifier : constant type := final_value,subtype identifier is type
ALGOL 68,modename name« := initial_value»;,modename name = value;,mode synonym = modename;
C (C99),type name« = initial_value»;,enum{ name = value };,typedef type synonym;
Objective-C,,,
C++,,const type name = value;,
C#,"type name1« = initial_value», name2« = initial_value», ... ; or var name = initial_value;","const type name = value, name = value, ... ; or readonly type name = value, name = value, ... ;",using synonym = type;
D,type name« = initial_value»; or auto name = value;,const type name = value; or immutable type name = value;,alias type synonym;
Java,type name« = initial_value»;,final type name = value;,N/A
JavaScript,var name« = initial_value»; or let name« = initial_value»; (since ECMAScript 2015),const name = value; (since ECMAScript 2015),
Go,var name type« = initial_value» or name := initial_value,const name «type» = value,type synonym type
Rust[f],let mut name«: type»« = initial_value»; static mut NAME: type = value;,let name«: type»« = initial_value»; const NAME: type = value; static NAME: type = value;,type synonym = typename;
Swift,var name« : type»« = initial_value»,let name «: type» = value,typealias synonym = type
Common Lisp,(defparameter name initial-value) or (defvar name initial-value),(defconstant name value),(deftype synonym () 'type)
Scheme,(define name initial_value),,
ISLISP,(defglobal name initial_value) or (defdynamic name initial_value),(defconstant name value),N/A
Pascal[a],name: type« = initial_value»,name = value,synonym = type
Visual Basic,Dim name «As type»,"See notes to left. Constants use the same syntax, and: use Const instead of Dim have a restriction to only certain primitive types Const name1 «As type» = value, name2 «As type» = value, ...",
Visual Basic .NET[10],"The variable declaration syntax of VB.NET is surprisingly difficult to precisely describe. Given that there exist the identifier suffixes ("modifiers"): type_character, available as an alternative to an As clause for some primitive data types; nullable_specifier; and array_specifier; and that a modified_identifier is of the form identifier«type_character»«nullable_specifier»«array_specifier»; a modified_identifier_list is a comma-separated list of two or more occurrences of modified_identifier; and a declarator_list is a comma-separated list of declarators, which can be of the form identifier As object_creation_expression (object initializer declarator), modified_identifier« As non_array_type«array_rank_specifier»»« = initial_value» (single declarator), or modified_identifier_list« As «non_array_type««array_rank_specifier»» (multiple declarator); valid declaration statements are of the form Dim declarator_list, where, for the purpose of semantic analysis, to convert the declarator_list to a list of only single declarators: The As clauses of each multiple declarator is distributed over its modified_identifier_list The As New type... of each object initializer declarator is replaced with As type = New type... and for which, for each identifier, a type_character and As clause do not both appear; if an As clause is present, an array_rank_specifier does not appear both as a modification of the identifier and on the type of the As clause; an unmodified_type can be determined, by the rule that, if a type_character or As clause is present, unmodified_type is that specified by such construct, and that otherwise, either Option Infer must be on and the identifier must have an initializer, in which case unmodified_type is that of the initializer, or Option Strict must be off, in which case unmodified_type is Object; its final_type is its unmodified_type prepended before its modifiers; its final_type is a valid type; and if an initial_value is present, either Option Strict is on and initial_value has a widening conversion to final_type, or Option Strict is off and initial_value has a narrowing conversion to final_type. If Option Explicit is off, variables do not require explicit declaration; they are declared implicitly when used: name = initial_value",,Imports synonym = type
Xojo,Dim name «As type»« = initial_value»,,N/A
Python,name = initial_value,N/A,synonym = type[b]
