<<<<<<< HEAD
English,Malaysian,Indonesian
table (set of facts or figures),"jadual (Indonesian equivalent, jadwal, means "schedule")",tabel
tank,kereta kebal,tank
tap water,air paip (piped water),"air keran (from Dutch Kraan), air ledeng ("ledeng" also means "plumbing", from Dutch "leiding")"
tapioca,"ubi kayu as in Indonesian, understood as the tuber cassava itself","(tepung) tapioka, tepung singkong"
taxi,teksi,taksi
teacher,"cikgu, guru",guru
"teacher (religious, Islam)","ustaz, ustad (ultimately from Persian ???????), ustadzah female","ustad, ustadzah"
team,pasukan used in Indonesian to refer to squad (military),tim
telephone,telefon (formerly talipon),telepon
television,"televisyen, TV","televisi (from Dutch televisie) , TV"
terms,terma,syarat (from Arabic: syar? – ??????)
terrorist,pengganas (means "rioter" in Indonesian),teroris
terrorism,pengganasan,terorisme
testicles,"buah zakar, testis, buah keranjut","testis, biji kemaluan, buah zakar (slang, vulgar), kanjut (slang, vulgar)"
Thailand,"Negara Thai, Siam, Thailand","Thailand, Siam, Muangthai used in old scripts"
The Hague,The Hague,Den Haag (from Dutch)
ticket,tiket,"tiket, karcis (from Dutch kaartje, usually refers to small-size ticket)"
time,"masa, waktu","waktu from Arabic ????? (al-Waqt), masa (can be used for 'in a specific long period of time' in Indonesian)"
tire (US)/tyre (UK),tayar,ban (from Dutch [auto]band)
tofu,tauhu,"tahu, tofu"
toilet,"bilik air, tandas","toilet, kamar kecil, WC (pronounced 'way-say') for watercloset"
tornado,puting beliung,"puting beliung, angin puyuh, tornado"
toothpaste,ubat gigi,"pasta gigi, odol"
towel,tuala (from Portuguese toalha),handuk (from Dutch handdoek)
traffic jam,"kesesakan lalulintas, jam (slang)","kemacetan, macet"
traffic light,"lampu isyarat (In Indonesian, isyarat means sign)",lampu lalu-lintas
train,"kereta api, tren",kereta (api)
"transport, transportation",pengangkutan,"transportasi, pengangkutan, perhubungan (in case of Ministry of Transportation)"
transsexual,"pondan, bapok (slang), transseksual","transseksual, waria (polite) a shortened form of wanita-pria , bencong, banci"
tree,"pokok in Indonesian means "principal" or "core" or "staple", in Sundanese poko means authentic, e.g. authentic cuisine, pohon",pohon
trillion (1012),trilion,"trilyun, triliun (from Dutch pronunciation; starting with 1012, Indonesian uses the short scale)"
truck (US),Lori (from British English: 'lorry'),"Truk, prahoto from Dutch vrachtauto"
try,cuba,coba
turkey (bird),ayam belanda,(ayam) kalkun (from Dutch kalkoen)
turn,"pusing (means 'to spin' in Indonesian, commonly used to mean dizzy as a short form of kepala pusing), belok","belok, putar"
=======
English,Standard Malay,Indonesian
account,akaun,akun
accountability,akauntabliti,akuntabilitas
accountant,akauntan,akuntan
amateur,amatur,amatir
architect,arkitek,arsitek
armed forces,tentera,tentara
auction,lelong,lelang
autonomy,autonomi,otonomi
balcony,balkoni,balkon
bell,loceng,lonceng
because (grammatical conjunction),kerana,karena
biome,biom,bioma
bridge,jambatan,jembatan
"broken, damaged",rosak,rusak
business,bisnes,bisnis
bus,bas,bus
cancer (diseases),kanser,kanker
case (legal),kes,kasus
cement,simen,semen
civil,sivil,sipil
community,komuniti,komunitas
concert,konsert,konser
counter,kaunter,konter
December,Disember,Desember
dialect,loghat,logat
different,beza,beda
doctor (medical practitioner),doktor,dokter
eight,lapan,delapan
Europe,Eropah,Eropa
export,eksport,ekspor
faculty,fakulti,fakultas
finance,kewangan,keuangan
garage,garaj,garasi
dialect,loghat,logat
gonorrhea,gonorea,gonore
immigration,imigresen,imigrasi
mathematics,matematik,matematika
magistrate,majistret,magistrat
meaning,erti,arti
medication,ubat,obat
minute,minit,menit
money,wang,uang
music,muzik,musik
"namely, e.g.",iaitu,yaitu
news,khabar,kabar
newspaper,surat khabar,surat kabar
number,nombor,nomor
official (adj.),rasmi,resmi
official position,jawatan,jabatan
parliament,parlimen,parlemen
party (political),parti,partai
passport,pasport,paspor
phase,fasa,fase
physics,fizik,fisika
popular,popular,populer
prototype,prototaip,prototipe
sauce,sos,saus
sausage,sosej,sosis
scenario,senario,skenario
scheme,skim,skema
secret,rahsia,rahasia
snow,salji,salju
sputum,kahak,dahak
station,stesen,stasiun
taxi,teksi,taksi
tempo,tempoh,tempo
thin,nipis,tipis
Thursday,Khamis,Kamis
"truck, lorry",trak,truk
university,universiti,universitas
want,mahu,mau
zone,zon,zona
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
