<<<<<<< HEAD
BitTorrent client,Known unpatched vulnerabilities,,,,,
,Secunia,,,,,SecurityFocus
,Extremely critical (number / oldest),Highly critical (number / oldest),Moderately critical (number / oldest),Less critical (number / oldest),Not critical (number / oldest),Total (number / oldest)
BitComet,0,0,0,0,0,0
BitLord,0,0,0,0,0,Unknown
BitTorrent,0,0,0,0,0,0
BitTorrent DNA,0,0,0,0,0,0
Deluge,0,0,0,0,0,0
FlashGet,0,0,0,0,0,1 13 August 2008; 12 years ago (2008-08-13)
Free Download Manager,0,0,0,0,0,0
FrostWire,0,0,0,0,0,Unknown
KTorrent,0,0,0,0,0,0
Libtorrent (Rasterbar),0,0,0,0,0,0
LimeWire,0,0,0,0,0,0
Miro,0,0,0,0,0,1 26 February 2008; 12 years ago (2008-02-26)
MLDonkey,0,0,0,0,1 5 November 2003; 16 years ago (2003-11-05),1 23 February 2009; 11 years ago (2009-02-23)
?Torrent for Mac,0,0,0,0,0,0
?Torrent for Windows,0,0,0,0,0,0
Opera 12,0,0,0,0,0,0
Shareaza,0,0,0,0,0,0
Tixati,0,0,0,0,0,Unknown
Transmission,0,0,0,0,0,0
Vuze (formerly Azureus),0,0,0,0,0,1 22 June 2006; 14 years ago (2006-06-22)
Xunlei,0,2 28 September 2007; 13 years ago (2007-09-28),0,0,0,1 17 November 2007; 12 years ago (2007-11-17)
BitTorrent client,Extremely critical (number / oldest),Highly critical (number / oldest),Moderately critical (number / oldest),Less critical (number / oldest),Not critical (number / oldest),Total (number / oldest)
,Secunia,,,,,SecurityFocus
,Known unpatched vulnerabilities,,,,,
=======
BitTorrent client,Windows,macOS,Linux,BSD,iOS,Android,Other
BitComet,Yes,Yes,No,No,No,No,No
BitLord,Yes,Yes,No,No,No,No,No
BitTorrent,Yes,Yes,No,No,No,Yes[25],No
Deluge,Yes,Yes,Yes,Yes,No,No,Solaris
FlashGet,Yes,No,No,No,No,No,No
Free Download Manager,Yes,Yes,No,No,No,No,No
Frostwire,Yes[26],Yes[26],Yes[26],Yes[26],No[26],Yes[26],"Unix-like,[26] z/OS,[27] Solaris, OS/2, eComStation, ArcaOS[28]"
KGet,No,No,Yes,Yes,No,No,No
KTorrent,No,Yes,Yes,Yes,No,No,No
Lftp,Yes,Yes,Yes,Yes,No,No,No
LimeWire,Yes,Yes,Yes,Yes,No,No,Yes[specify]
Miro,Yes,Yes,Yes,Yes,No,No,No
MLDonkey,Yes,Yes,Yes,Yes,No,No,"Solaris, MorphOS"
?Torrent,Yes,Yes,Web,No,No,Yes[29],No
Opera 12,Yes[Note 1],Yes,Yes[Note 1],Yes[Note 1],No,Yes[citation needed],Solaris
qBittorrent,Yes[30],Yes[30],Yes[30],Yes[30],No[30],No[31],"OS/2 (including eComStation and ArcaOS), FreeBSD, Haiku[30]"
Robert,Yes,Yes,Yes,Yes,No,No,No
rTorrent,"Yes, through Cygwin[32]",Yes,Yes,Yes,No,No,Solaris
Shareaza,Yes,No,No,No,No,No,No
Tixati,Yes,No,Yes,No,No,No,No
Tonido,Yes,Yes,Yes,Yes,No,No,No
Transmission,Yes [Note 1],Yes,Yes,Yes,"Yes, through Cydia",Yes,"Solaris, OpenWrt"
Tribler,Yes,Yes,Yes,Yes,No,No,No
Vuze,Yes,Yes,Yes,Yes,No,Yes[33],No
Xunlei,Yes,Yes,No,No,Yes,Yes[citation needed],No
Name,Windows,Mac OS X,Linux,BSD,iOS,Android,Other
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
