<<<<<<< HEAD
Name,User interface,SSH1,SSH2,Additional protocols,,Port forwarding and Tunneling,,,Session multiplexing [Note 1],Kerberos,IPv6,Terminal,SFTP/SCP,Proxy client[Note 2]
,,,,TELNET,rlogin,Port forwarding,SOCKS [Note 3],VPN [Note 4],,,,,,
AbsoluteTelnet,"GUI (multi-session, single-window)",Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"SOCKS 4, 5; HTTP"
Bitvise SSH Client,GUI or command line,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"SOCKS 4, 5"
Dropbear,command line,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,?
lsh,command line,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,?
OpenSSH (OpenBSD Secure Shell),command line,No[Note 5],Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ProxyCommand
PuTTY,GUI or command line,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes[Note 6],Yes,Yes,Yes[Note 7],"SOCKS 4, 5; HTTP; Telnet; Local"
SecureCRT,GUI,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"SOCKS 4, 5; HTTP; Telnet; Generic"
SmartFTP,"GUI (multi-session, single-window)",No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,"SOCKS 4, 5; HTTP"
Tera Term,GUI,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,SCP,"SOCKS 4, 5; HTTP; Telnet"
TN3270 Plus,GUI,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,SOCKS 4
TtyEmulator,GUI or command line,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,"SOCKS 4,4a, 5; HTTP Local"
WinSCP [Note 8],GUI or command line,Yes,Yes,No,No,limited[Note 9],No,No,No,Yes,Yes,simple,Yes,"SOCKS 4, 5; HTTP; Telnet; Local"
wolfSSH,command line,No,Yes,No,No,Yes,No,No,No,No,Yes,simple,Yes,?
ZOC,TDI or command line,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,SCP through terminal[Note 10],SOCKS 4; 5; HTTP; Jumpserver
Name,User interface,SSH1,SSH2,Additional protocols,,Tunneling,,,Session multiplexing [Note 1],Kerberos,IPv6,Terminal,SFTP/SCP,Proxy client[Note 2]
,,,,TELNET,rlogin,Port forwarding,SOCKS [Note 3],VPN [Note 4],,,,,,
=======
Name,macOS,Windows,Cygwin,BSD,Linux,Solaris,Java,OpenVMS,z/OS,AIX,HP-UX,iOS,Android,Maemo,Windows Phone
AbsoluteTelnet,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,?
Bitvise SSH Client,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
ConnectBot,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
CRAX Commander,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Dropbear,Yes,No,Yes,Yes,Yes,Yes,?,?,?,Yes,Yes,Yes[Note 1],No,Yes,?
eSSH Client,Yes,Yes,?,Yes,Yes,Yes,?,?,?,No,No,No,No,No,?
lsh,Yes,No,No,Partial[Note 2],Yes,Yes,?,?,?,No,No,No,No,No,?
OpenSSH (OpenBSD Secure Shell),Included,Included[Note 3],Included,Included,Included[Note 4],Yes,?,Yes,Yes,Yes,Yes,Yes[Note 1],Yes,Yes,?
PuTTY,Partial,Yes,?,Yes,Yes,Yes,No,?,?,No,No,No,No,No,Beta
SecureCRT,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,?
SmartFTP,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,?
Tera Term,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,?
TN3270 Plus,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,?
TtyEmulator,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,?
WinSCP,No,Yes,No,No,No,No,No,No,No,No,No,Yes[Note 1],No,No,?
wolfSSH,Yes,Yes,Yes,Yes,Yes,Yes,No,No,?,?,No,No,No,No,No
ZOC,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,?
Name,OS X,Windows,Cygwin,BSD,Linux,Solaris,Java,OpenVMS,z/OS,AIX,HP-UX,iOS,Android,Maemo,Windows Phone
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
