<<<<<<< HEAD
English,Irish,Scottish Gaelic,Notes
Gael,Gael,Gàidheal,Pre 1950s Gaedheal in Irish
Scotland,"Alba, Albain",Alba,
Ireland,"Éire, Éirinn","Èirinn, Èire",
day,lá,"latha, là",
night,oíche,oidhche,Pre 1950s oidhche in Irish
inside,isteach,a-steach,
school,scoil,sgoil,Pre 1950s sgoil/scoil in Irish
child,páiste/leanbh,pàiste/leanabh,
without,gan,gun,
authority,údarás,ùghdarras,Pre 1950s ughdarás in Irish
office,oifig,oifis,
star,réalt(a),reul,"Pre 1950s réalt(a), reult(a) in Irish"
hotel,"óstán, teach/tigh ósta",taigh-òsda[7],"Pre 1950s óstán/ósdán, teach/tigh ósta/ósda in Irish"
house,"teach (nom-acc), tigh (dat); Munster tigh",taigh,In biblical Gaelic tigh
town,baile,baile,
news,nuacht; Ulster nuaidheacht,naidheachd,
open,oscail,fosgail,Also foscail in Ulster Irish
year,bliain,bliadhna,Pre-1950s bliadhain in Irish. The form bliadhna (bliana today) is used as a special plural form following numerals; the regular plural is blianta). Some eastern Scottish Gaelic dialects use the form bliadhn.[8]
radio,raidió,radio,Also réidió and rèidio in spoken Irish and Scottish Gaelic
report,aithris,aithris,
king,rí,rìgh,Pre-1950s genitive ríogh and dative rígh in Irish
government,rialtas,riaghaltas,Pre-1950s riaghaltas in Irish
parliament,parlaimint,pàrlamaid,
island,"oileán, inis","eilean, inis",
river,"abhainn, Munster abha, dative abhainn",abhainn,
bridge,droichead,drochaid,
water,uisce,uisge,
whisk(e)y,uisce beatha,uisge-beatha,
God,Dia,Dia,
church,eaglais,eaglais,"In Irish, eaglais is a Roman Catholic house of worship; a Protestant house of worship is called a teampall (temple). As Gaeilge 'séipéal' is also used as it can mean chapel as well."
prayer,urnaí,ùrnaigh,Also urnaighe in Irish.
black,dubh,dubh,
white,bán,bàn,
=======
Irish,English,Scottish Gaelic,English,Notes
cuan,harbour,cuan,ocean,"A number of words are used in both languages for "ocean" and "sea", such as aigéan/aigeun, an fharraige. Caladh or cala (also in the compound "calafort" < "cala-phort") are commonly used in Irish for "harbour"."
An Bhreatain Bheag,Wales,A' Bhreatain Bheag,Brittany,"Breatain (Britain) is the same in both. The Scottish Gaelic equivalent for Wales is A' Chuimrigh, a Gaelicisation of an Anglicisation of the Welsh Cymru. The Irish for Brittany is An Bhriotáin from Latin "Britannia"."
shiúil sé,He walked,shiubhail e,He died,"Siubhail means "walk" or "stroll" in Scottish Gaelic, but is also a euphemism for death"
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
