<<<<<<< HEAD
Implementation,"FIPS 140-1, FIPS 140-2[69]",,Common Criteria,Embedded FIPS Solution
,Level 1,Level 2[disputed – discuss],,
Botan[70],,,,
Bouncy Castle,BC-FJA 1.0.0 (#2768) BC-FJA 1.0.1 (#3152),,,
cryptlib[71],,,,
GnuTLS[72],Red Hat Enterprise Linux GnuTLS Cryptographic Module (#2780),,,
JSSE,,,,
LibreSSL[41],no support,,,
MatrixSSL[73],SafeZone FIPS Cryptographic Module: 1.1 (#2389),,,
Mbed TLS[74],,,,
NSS[75],"Network Security Services: 3.2.2 (#247) Network Security Services Cryptographic Module: 3.11.4 (#815), 3.12.4 (#1278), 3.12.9.1 (#1837)","Netscape Security Module: 1 (#7[notes 1]), 1.01 (#47[notes 2]) Network Security Services: 3.2.2 (#248[notes 3]) Network Security Services Cryptographic Module: 3.11.4 (#814[notes 4]), 3.12.4 (#1279, #1280[notes 5])",,
OpenSSL[76],"OpenSSL FIPS Object Module: 1.0 (#624), 1.1.1 (#733), 1.1.2 (#918), 1.2, 1.2.1, 1.2.2, 1.2.3 or 1.2.4 (#1051) 2.0, 2.0.1, 2.0.2, 2.0.3, 2.0.4, 2.0.5, 2.0.6, 2.0.7 or 2.0.8 (#1747)",,,
RSA BSAFE Micro-Edition Suite[77],"Crypto-C ME 3.0.0.1 (#1092) Crypto-C ME 4.0.1 / 4.0.2.5 (#2047, #2056, #2097, #2217) Crypto-C ME 4.1 / 4.1.0.1 / 4.1.2 / 4.1.3.2 (#2294, #2300)",,,Yes
RSA BSAFE SSL-J[78],"Crypto-J 6.0 (#1785, #1786) Crypto-J 6.1 / 6.1.1.0.1 (#2057, #2058) Crypto-J 6.2 / 6.2.1.1 (#2468, #2469) Crypto-J 6.2.4 (#3172, #3184)",,,Yes
SChannel[79],"Cryptographic modules in Windows NT 4.0, 95, 95, 2000, XP, Server 2003, CE 5, CE 6, Mobile 6.x, Vista, Server 2008, 7, Server 2008 R2, 8, Server 2012, RT, Surface, Phone 8 See details on Microsoft FIPS 140 Validated Cryptographic Modules",,,
Secure Transport,"Apple FIPS Cryptographic Module: 1.0 (OS X 10.6, #1514), 1.1 (OS X 10.7, #1701) Apple OS X CoreCrypto Module; CoreCrypto Kernel Module: 3.0 (OS X 10.8, #1964, #1956), 4.0 (OS X 10.9, #2015, #2016) Apple iOS CoreCrypto Module; CoreCrypto Kernel Module: 3.0 (iOS 6, #1963, #1944), 4.0 (iOS 7 , #2020, #2021)",,,
wolfSSL[80],wolfCrypt FIPS Module: 4.0 (#3389) See details on NIST certificate for validated Operating Environments wolfCrypt FIPS Module: 3.6.0 (#2425) See details on NIST certificate for validated Operating Environments,,,Yes
Implementation,Level 1,Level 2,Common Criteria,Embedded FIPS Solution
,"FIPS 140-1, FIPS 140-2",,,
=======
Implementation,RSA[34],RSA-EXPORT (insecure)[34],DHE-RSA (forward secrecy)[34],DHE-DSS (forward secrecy)[34],ECDH-ECDSA[81],ECDHE-ECDSA (forward secrecy)[81],ECDH-RSA[81],ECDHE-RSA (forward secrecy)[81],"GOST R 34.10-94, 34.10-2001[82]"
Botan,Disabled by default,No,Yes,Disabled by default,No,Yes,No,Yes,No
cryptlib,Yes,No,Yes,Yes,No,Yes,No,No,No
GnuTLS,Yes,No,Yes,Disabled by default[37],No,Yes,No,Yes,No
JSSE,Yes,Disabled by default,Yes,Yes,Yes,Yes,Yes,Yes,No[83]
LibreSSL,Yes,No[41],Yes,Yes,Yes,Yes,Yes,Yes,Yes[84]
MatrixSSL,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No
Mbed TLS,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No
NSS,Yes,Disabled by default,Yes[85],Yes,Yes,Yes,Yes,Yes,No[86][87]
OpenSSL,Yes,No[50],Yes,Disabled by default[50],Yes,Yes,Yes,Yes,Yes[88]
RSA BSAFE,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No
SChannel XP/2003,Yes,Yes,No,XP: Max 1024 bits 2003: 1024 bits only,No,No,No,No,No[89]
SChannel Vista/2008,Yes,Disabled by default,No,1024 bits by default[90],No,Yes,No,except AES_GCM,No[89]
SChannel 8/2012,Yes,Disabled by default,AES_GCM only[91][92][93],1024 bits by default[90],No,Yes,No,except AES_GCM,No[89]
"SChannel 7/2008R2, 8.1/2012R2",Yes,Disabled by default,Yes,2048 bits by default[90],No,Yes,No,except AES_GCM,No[89]
SChannel 10,Yes,Disabled by default,Yes,2048 bits by default[90],No,Yes,No,Yes,No[89]
Secure Transport OS X 10.6,Yes,Yes,except AES_GCM,Yes,Yes,except AES_GCM,yes,except AES_GCM,No
Secure Transport OS X 10.8-10.10,Yes,No,except AES_GCM,No,Yes,except AES_GCM,Yes,except AES_GCM,No
Secure Transport OS X 10.11,Yes,No,Yes,No,No,Yes,No,Yes,No
wolfSSL,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No
Erlang/OTP SSL application,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No
Implementation,RSA[34],RSA-EXPORT (insecure)[34],DHE-RSA (forward secrecy)[34],DHE-DSS (forward secrecy)[34],ECDH-ECDSA[81],ECDHE-ECDSA (forward secrecy)[81],ECDH-RSA[81],ECDHE-RSA (forward secrecy)[81],"GOST R 34.10-94, 34.10-2001[82]"
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
