<<<<<<< HEAD
File Manager,Undo/redo file operation,File compression,File encryption,Rename busy files,File preview,File coloring filter [46],File selection filter,Paste clipboard as file,File and folder reports,ACL (Access control list),Mass Rename [47],Run executable files
Altap Salamander,?,Yes,Yes,?,Yes,Yes,"Yes, multiple [48]",?,Yes,Yes [49],Yes,Yes
Commander One,?,Yes,Yes,Yes,Yes,Yes,Yes,?,No,?,?,?
CRAX Commander,?,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes
Directory Opus,Yes,Yes,Partial,Partial,Yes,Yes,Yes,Yes,Yes,?,Yes,?
Dired,?,Yes,Yes,Yes,No,Yes,Yes,No,?,No,Yes,Yes
Documents by Readdle,,,,,,,,,,,,
Dolphin,Yes,Yes,Yes,Yes,Yes,?,?,Yes,?,Yes,Partial,Yes
Double Commander,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,?
emelFM2,?,Yes,Yes,Yes,No,?,Yes,No,?,Yes,?,?
FAR Manager,?,Yes,Yes,Yes,Yes,Yes,Yes,Partial [50],Yes,Plugin,Plugin,?
File Commander,?,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,?
File Manager,?,Yes,?,?,No,Yes,Yes,No,?,Yes,Yes,Yes
Files (Apple),,Yes,,,Yes,,,,,,,
Files by Google,,,,,,,,,,,,
Finder,Yes,Yes,Yes,Yes,Yes,Yes,?,No,?,Yes,Yes,Yes
ForkLift,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,?
GNOME Commander,?,Yes,?,?,Yes,Yes,?,?,?,No,Yes,?
Konqueror,Partial [51],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[52],Yes
Krusader,?,Yes,Yes,Yes,Yes,No,Yes,Yes,?,Yes,Yes[52],Yes
Midnight Commander,?,Yes,?,?,?,Yes,Yes,Partial[53],?,?,Yes,Yes
GNOME Files (Nautilus),Yes,Yes,No,Yes,Yes,No,No,Partial [54],No,Yes,No,No [55]
Nemo,Yes,Yes,Yes,?,Yes,Yes,?,Yes,?,?,No,Yes
Nomad.NET,?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Partial,?
Path Finder,?,Yes,No [56],No,Yes,No,Yes,No,Yes,No,No,?
PCManFM,No,Yes,?,Yes,No,?,?,?,?,?,?,Yes
ROX-Filer,?,With helper applications,,Yes,Yes,No,Yes,No,No,No,Yes,?
STDU Explorer,?,No,No,No,Yes,No,No,No,No,No,No,?
Thunar,No,No,No,?,Yes,No,Yes,?,?,?,Yes,Yes
Total Commander,?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Log file,Yes,?
Windows Explorer,Yes,Yes,Partial[57],No,Yes,No,No,Partial [58],No,Yes [59],Partial,Yes
Xandros File Manager,?,?,?,?,?,?,?,?,?,?,?,?
Xfe,Yes,Yes,No,Yes,No,?,Yes,No,?,Yes,No,?
Xfm,?,?,?,?,?,?,?,?,?,?,?,?
xplorer²,No,Yes,Partial [57],Partial,Yes,Yes,Yes,Yes,Yes,Yes [60],Yes,?
XYplorer,Yes,Yes,Partial [57],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?
ZTreeWin,?,Yes,Partial [61],Yes,Yes,Yes,Yes,No,Yes,No,Yes,?
File Manager,Undo/redo file operation,File compression,File encryption,Rename busy files,File preview,File coloring filter,File selection filter,Paste clipboard as file,File and folder reports,ACL (Access control list),Mass Rename,Run executable files
=======
File manager,Symbolic links,Browse compressed folders,Slideshows,Shows combined Size of Selected Directories,Branch Sizes,Directory Compare,Synchronizer,Find as you type (Type-ahead find),Embedded/Integrated Terminal,"For Directories, size column shows:"
Altap Salamander,?,Yes,No,Yes,?,Yes,Partial (for remote folders),Yes,Yes,DIR
Commander One,Yes,Yes,No,Yes,?,No,No,Yes,"Yes, in the PRO Pack[62]",DIR and Total size including subdirectories
CRAX Commander,Yes,Yes,?,Yes,Yes,Yes,No,Yes,No,DIR and Total size including subdirectories
Directory Opus,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,Yes,DIR and Total size including subdirectories
Dired,?,Yes,No,No,?,?,?,Yes,Yes[63],Literal [browse 1]
Documents by Readdle,,,,,,,,,,
DOS Navigator,No,Yes,No,Yes,?,Yes,?,Yes[64],Yes,Total size including subdirectories
Dolphin,?,Yes,No,Yes,No,No,No,Yes,Yes,Number of entries
Double Commander,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,DIR
emelFM2,?,?,No,Yes,?,Yes,?,Yes,Yes,Literal [browse 1]
FAR Manager,Yes,Yes,Partial [n 1],Yes,Yes,Yes,Partial [65],Yes,Yes,?
File Commander,?,Yes,No,Yes,Yes,Yes,Yes,Yes,?,?
Files (Apple),,,,,,,,,,
Files by Google,,,,,,,,,,
Finder,?,No,Yes,Yes,?,No,No,Yes,No,Yes
ForkLift,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,DIR and Total size including subdirectories
GNOME Commander,?,No,No,Yes,Yes,Yes,Yes,Yes,Yes,?
Konqueror,Yes,Yes,Yes,Yes (with konq-plugin),Yes,Yes (with kdiff3 plugin),Yes (with kdiff3 plugin),Yes,Yes,Folder only size (default) selectable to file count/total size
Krusader,?,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,?
Midnight Commander,Yes,Yes[66],?,Yes,?,Yes,Yes[67],Yes,Yes,?
muCommander,No[68],?,?,?,?,?,Yes,?,"Partial, command execution only",?
GNOME Files (Nautilus),?,No,No,Yes,No,No,No,Yes,"Yes, With Plugin[69][70]",Number of entries
Nemo,?,?,?,?,?,?,?,?,"Yes, with nemo-terminal extension",
Nomad.NET,Yes,Yes,No,Yes,Yes,Yes,No,Yes,"Yes, via Plugin",DIR and Total size including subdirectories
Path Finder,?,No,Yes,Partial,?,No,No,Yes,Yes[71],Yes
PCManFM,?,Yes,No,Yes,Yes,No,?,Yes,"No, but there is a fork attempt[72]",Nothing
ROX-Filer,?,No,No,Yes,?,No,?,"Yes, and browsing with tab completion",No,Nothing
Thunar,?,No,?,Yes,?,No,No,Yes,No,Literal*
Total Commander,Yes[73],Yes,Yes In plugin,Yes,Yes,Yes,Yes,Yes,Yes,DIR and Total size including subdirectories
Windows Explorer,Partial[74],Yes,Yes,Yes (in folder tooltips),Partial,No,Yes,Yes,No,?
Xandros File Manager,?,?,?,?,?,?,?,?,No,?
Xfe,Yes,No,No,Yes,?,Yes,?,No,No,?
Xfile,?,?,?,?,?,?,?,?,No[75],?
Xfm,?,?,?,?,?,?,?,?,No,?
xplorer²,?,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes[76],?
XYplorer,Yes,Yes,Yes[77],Yes,Yes,Yes,Partial,Yes,Yes[78],Contents including subs
ZTreeWin,?,Yes,No,Yes,Yes,Yes,No,Yes,?,Selectable: Number of entries or Size (Optional: Including subs)
File manager,Symbolic links,Browse compressed folders,Slideshows,Shows combined Size of Selected Directories,Branch Sizes,Directory Compare,Synchronizer,Find as you type (Type-ahead find),Embedded/Integrated Terminal,"For Directories, size column shows:"
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
