<<<<<<< HEAD
Name,"FAT16, dosfs; FAT32, vfat",NTFS,Ext2,Ext3,XFS,ReiserFS,UFS,UFS2,HFS,HFS+,MINIXfs,BFS,ISO 9660,UDF,NFS,SMBFS,"RAM disk, tmpfs",ZFS,Other special file systems
Linux,Yes,Yes[Note 1][Note 2],Yes,Yes,Yes,Yes,Yes[Note 3],Yes[19],Yes,Yes[Note 4],Yes,Yes[Note 3],Yes,Yes,Yes,Yes,Yes,Yes,"9P,[Note 5] FUSE,[Note 5] sysfs,[Note 5] configfs,[Note 5] Reiser4,[Note 5][Note 6] JFS, Btrfs, UnionFS, Ext4"
FreeBSD,Yes,Yes[Note 3][Note 2],Yes,Yes[Note 3],Yes[Note 1],Yes[Note 3],Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,"FUSE, nullfs, UnionFS"
NetBSD,Yes,Yes[Note 3][Note 2],Yes,,No,No,Yes,Yes,,Yes[Note 3],No,No,Yes,Yes[Note 3],Yes,Yes,Yes,Yes,"PUFFS, LFS, EFS"
OpenBSD,Yes,Yes[Note 3],Yes,,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,AFS
DragonFly BSD,Yes,Yes[Note 3],Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes[Note 7],Yes,Yes,Yes,No,"HAMMER, nullfs, PUFFS"
"OpenSolaris, illumos",Yes,Yes [Note 2][Note 8],No,No,No,No,Yes,,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,"SMB (native), QFS"
"Darwin, OpenDarwin",Yes,Yes[Note 3][Note 2],,,,,Yes,,Yes,Yes,,,Yes,Yes,Yes,Yes,,,
MINIX,Yes,No,Yes,,,,,,,,Yes,No,,,,,,,
FreeDOS,Yes,No,No,No,No,No,No,,,,No,No,Yes,,,,Yes,,
Genode,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Extensible VFS layer
Haiku,Yes,Yes [Note 2],Yes [Note 9],Yes [Note 9],,,,,,,,Yes,Yes,Yes,Yes,No[Note 10],,,
KolibriOS,Yes,Yes[Note 3],Yes[Note 3],Yes[Note 3],Yes[Note 3],,,,,,,,Yes,,,,Yes,,
MenuetOS,Yes,,,,,,,,,,,,,,,,,,
GNU,Yes,,Yes,Yes[Note 11],,,Yes[Note 12],,,,,,Yes,,Yes,,Yes,No,
ReactOS,Yes,,Yes,No,No,No,No,,,,No,No,,,,,,,
"L4, Fiasco, Pistachio",Yes,No,,,,,,,,,,,,,,,,,
Plan 9,Yes,,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,"Fossil, Venti, most system services"
AROS,Yes,,,,,,,,,,,,,,,,Yes,,"SFS, AFFS"
Syllable,Yes,Yes[Note 3],Yes[Note 3],Yes[Note 3],,,,,,,,Yes,Yes,,,,Yes,,AFS
Inferno,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,,"kfs, most system services"
FreeRTOS,,,,,,,,,,,,,,,,,,No,
eCos,Yes,,Yes[Note 3],,,,,,,,,,,,,,Yes,,"MMFS, ROMfs, JFFS2, YAFFS"
RTEMS,Yes,,,,,,,,,,,,,,Yes,,Yes,,"TarFS, TFTP FS, IMFS, miniIMFS"
HelenOS,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,,"locfs, exFAT"
E/OS,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes[Note 13],Yes,No,Yes,Yes,Yes,,
Name,"FAT16, dosfs; FAT32, vfat",NTFS,Ext2,Ext3,XFS,ReiserFS,UFS,UFS2,HFS,HFS+,MINIXfs,BFS,ISO 9660,UDF,NFS,SMBFS,"RAM disk, tmpfs",ZFS,Other special file systems
=======
Name,"x86, i386, IA-32",x86 SMP,Xen,IA-64,x86-64,PowerPC,PowerPC SMP,SPARC32,SPARC SMP,Alpha,MIPS,ARM,XScale,M68k,PA-RISC,OpenRISC,others,hosted mode
Linux,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"FR-V, Cell, ETRAX CRIS, M32R, Xtensa, h8, s390, SuperH","UML, coLinux, MkLinux, Itanium Linux-on-Linux, wombat"
FreeBSD[1],Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,PC98,
OpenBSD[2],Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,SuperH ],
NetBSD[3],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"SuperH, ns32k, VAX, hppa, M68010, mipseb, mipsel, sh3eb, sh3el, sparc64",
DragonFly BSD[4],No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,vkernel
OpenSolaris[5] illumos,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,,
"Darwin, OpenDarwin[6]",Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,,L4/Darwin
MINIX[7],Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,
FreeDOS,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,
Genode,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,RISC-V,Linux
Haiku,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No[Note 1][8],No,No,No,No,,
KolibriOS,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,
MenuetOS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,
GNU,Yes,Yes[Note 2],Yes[Note 2],Yes[Note 2],Yes[Note 2],Yes[Note 2],Yes[Note 2],Yes[Note 2],Yes[Note 2],Yes[Note 2],Yes[Note 2],Yes[Note 2],Yes[Note 2],Yes[Note 2],Yes[Note 2],Yes[Note 2],"FR-V, Cell, ETRAX CRIS, M32R, Xtensa, h8, s390, SuperH[Note 2]","UML, Itanium Linux-on-Linux[Note 3]"
ReactOS,Yes,Yes,No[Note 1],No,Yes,No[Note 1],No[Note 1],No,No,No,No,Yes,No,No,No,No,,
RISC OS,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,
"L4, Pistachio",Yes,No,No,Yes[Note 4],Yes[Note 4],Yes[Note 4],No,No,No,Yes[Note 4],Yes[Note 4],Yes,No,No,No,No,,
Plan 9,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes[Note 5],Yes[Note 5],Yes,Yes,Yes,Yes,Yes[Note 5],No,No,See[9][10],"lguest, vx32"
AROS,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,,"i386-linux, i386-freebsd"
Syllable,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,
Inferno,Yes,?,No,No,?,Yes,?,Yes,?,No,Yes,Yes,Yes,Yes[Note 5],No,No,"AMD Am29000,[Note 5] Texas Instruments OMAP","Microsoft Windows, Linux, FreeBSD, Plan 9, OS X, Solaris, Irix, UnixWare,[Note 5] HP-UX,[Note 5] Internet Explorer"
FreeRTOS,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,"AVR, PIC, MSP430, HCS12, 8052, MicroBlaze, Cortex-M3, H8S",
eCos,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,"CalmRISC, ColdFire, FR-V, h8, Matsushita AM3x, Nios II, NEC V8xx, SuperH","Microsoft Windows, Linux"
RTEMS,Yes,No,Xen,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,"Blackfin, Nios II, Coldfire, Texas Instruments C3x/C4x, SuperH, H8S","Linux, Solaris, Cygwin, FreeBSD, multiple CPU simulators"
HelenOS,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,,
