<<<<<<< HEAD
Shell,String processing,Alternation (Brace expansion),Pattern matching (regular expressions built-in),Pattern matching (filename globbing),Globbing qualifiers (filename generation based on file attributes),Recursive globbing (generating files from any level of subdirectories)
Bourne shell 1977 version,?,No,No,"Yes ( *, ?, [...])",No,No
Bourne shell recent version,Partial (prefix and suffix stripping in variable expansion),No,No,"Yes ( *, ?, [...])",No,No
POSIX shell,Partial (prefix and suffix stripping in variable expansion),No,No,"Yes ( *, ?, [...])",No,No
bash (v4.0),Partial (prefix and suffix stripping in variable expansion),Yes,Yes,"Yes ( *, ?, [...], {...})",No,Yes ( **/...)
csh,Yes (:s and other editing operators),Yes,No,Yes,No,No
tcsh,Yes (:s and other editing operators),Yes,Yes,Yes,No,No
Hamilton C shell,"Yes (:s and other editing operators + substr, strlen, strindex, printf, reverse, upper, lower, concat and other builtin functions)",Yes,No,Yes,No,Yes (via indefinite directory "..." wildcard[48])
Scsh,?,?,Yes,Yes,No,No
ksh (ksh93t+),"Partial (prefix, suffix stripping and string replacement in variable expansion)",Yes[49],Yes,"Yes ( *, ?, [...])",No,"Yes (with set -G, no following of symlinks)"
pdksh,?,Yes[49],No,Yes,No,No
zsh,"Yes (through variable processing: e.g. substring extraction, various transformations via parameter expansion)",Yes,Yes,"Yes ( *, ?, [...], extended globbing[50])",Yes,Yes ( **/... or ***/... to follow symlinks)
ash,?,?,No,Yes,No,No
CCP,No,No,No,No,No,No
COMMAND.COM,No,No,No,"Yes ( *, ?)",No,No
OS/2 CMD.EXE,No,No,No,"Yes ( *, ?)",Partial (only in DIR /A:... command),No
Windows CMD.EXE,Partial (only through FOR /F and SET /A),No,No[nb 17],"Yes ( *, ?)",Partial (only in DIR /A:... command),"Yes (via FOR /R command, or, where available, indirectly via /S subdir option)"
4DOS,"Yes (through variable functions %@...[], extended environment variable processing, various string commands and FOR /F and SET /A)",No,No,"Yes ( *, ?, [...], extended wildcards, SELECT popup command)","Yes (via /A:... attribute and /I"..." description options and /[S...] size, /[T...] time, /[D...] date, and /[!...] file exclusion ranges)","Yes (via FOR /R command, or indirectly via GLOBAL command or, where available, /S subdir option)"
4OS2,?,No,No,?,?,?
TCC (formerly 4NT),"Yes (through variable functions %@...[], extended environment variable processing, various string commands and FOR /F and SET /A)",No,Yes,"Yes ( *, ?, [...], extended wildcards, SELECT popup command)","Yes (via /A:... attribute and /I"..." description options and /[S...] size, /[T...] time, /[D...] date, /[O...] owner, and /[!...] file exclusion ranges)","Yes (via FOR /R command, or indirectly via GLOBAL command or, where available, /S subdir option)"
PowerShell,"Yes (Concat/Substring/Insert/Remove/Replace, ToLower/ToUpper, Trim/TrimStart/TrimEnd, Compare, Contains/StartsWith/EndWith, Format, IndexOf/LastIndexOf, Pad/PadLeft/PadRight, Split/Join, regular expression functions and other .NET string functions)",No,Yes (full regex support)[nb 18],"Yes ( *, ?, [...])",?,?
rc,?,?,No,Yes,No,No
BeanShell,?,?,Yes,?,?,?
VMS DCL,Yes,No,No,Yes,No,Yes (via [SUBDIR...])
fish,Yes (builtin string function),Yes,yes (via builtin string match and string replace functions),"Yes ( *, ?, {...})",No,Yes ( **/...)
=======
Shell,Functions,Exception handling,Search & replace on variable substitutions,Arithmetic,Floating point,Math function library,Linear arrays or lists,Associative arrays,Lambda functions,eval function,Pseudorandom number generation,Bytecode
Bourne shell 1977 version,No,Yes (via trap),No,No,No,No,No,No,No,Yes,No,No
Bourne shell current version,Yes since SVR2,Yes (via trap),No,Yes[nb 8],No,No,No,No,No,Yes,No,No
POSIX shell,Yes,Yes (via trap),No,Yes,No,No,No,No,No,Yes,No,No
bash (v4.0),Yes,Yes (via trap),Yes (via ${//} syntax),Yes,No,No,Yes,Yes,No,Yes,Yes ( $RANDOM),No
csh,No,No,Yes (via $var:s/// syntax),Yes,No,No,Yes,No,No,Yes,No,No
tcsh,No,No,Yes (via $var:s/// syntax),Yes,No,No,Yes,No,No,Yes,No,No
Hamilton C shell,Yes,No,Yes (via $var:s/// syntax),Yes,Yes,Yes,Yes,No,No,Yes,Yes (random utility),No
Scsh,Yes,?,Yes (via string functions and regular expressions),?,?,?,Yes,?,Yes,Yes,"Yes (random-integer, random-real)","Yes (compiler is Scheme48 virtual machine, via scshvm)"
ksh (ksh93t+),Yes,Yes (via trap),Yes (via ${//} syntax and builtin commands),Yes,Yes,Yes,Yes,Yes,No,Yes,Yes ( $RANDOM),Yes (compiler is called shcomp)
pdksh,Yes,Yes (via trap),No,Yes,No,No,Yes,No,No,Yes,Yes ( $RANDOM),No
zsh,Yes,Yes,Yes (via ${:s//} and ${//} syntax),Yes,Yes,Yes ( zsh/mathfunc module),Yes,Yes,No,Yes,Yes ( $RANDOM),Yes (built-in zcompile command)
ash,Yes,Yes (via trap),No,Yes (since 1992)[44],No,No,No,No,No,Yes,No,No
CCP,No,?,No,No,?,?,No,No,No,No,No,No
COMMAND.COM,No,Partial (only Auto-fail (via COMMAND /F (or /N in some versions of DR-DOS)),No,No,No,No,No,No,No,No,No,No
OS/2 CMD.EXE,No,No,No,?,No,No,?,No,No,No,No,No
Windows CMD.EXE,Yes (via CALL :label),No,Yes (via SET %varname:expression syntax),Yes (via SET /A)[45],No,No,Yes (via SET[46]),No,No,No,Yes ( %random%),No
4DOS,Yes,"Yes (via ON command, optional Auto-fail via 4DOS /F)",Yes (via %@Replace[...] function),Yes (via SET /A),?,?,"Yes (via ranges, include lists, @file lists and FOR command)",No,No,Yes,Yes ( %@Random[...] function),Yes (via BATCOMP command)
4OS2,?,?,?,?,?,?,?,?,No,Yes,Yes ( %@Random[...] function),?
TCC (formerly 4NT),Yes,Yes (via ON and various ...MONITOR commands),Yes (via %@Replace[...] function),Yes (via SET /A),?,?,"Yes (via ranges, include lists, @file lists and FOR command)",?,No,Yes,Yes ( %@Random[...] function),Yes (via BATCOMP command)
PowerShell,Yes,Yes (Try-Catch-Finally),Yes ( -replace operator),Yes,Yes,[Math] class[47],Yes,Yes,Yes,Yes,Yes,"Yes, automatic"
rc,Yes,Yes,No,?,?,?,Yes,?,No,Yes,No,No
BeanShell,Yes,Yes,?,Yes,?,?,Yes,Yes,No,Yes,Yes,Yes
VMS DCL,Yes,Yes,No,Yes,No,"yes, for compiled programs",Yes,No,No,No,No,No
fish,Yes,Yes (via trap),No,Yes,Yes,Yes,Yes,No,No,Yes,Yes ( random),No
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
