<<<<<<< HEAD
,Visual query builder,Visual schema/model/E-R diagram design,Reverse engineering,Forward engineering,ER diagram groupboxes
Adminer,Yes,Yes,Yes,No,No
Altova DatabaseSpy,Yes,Yes,Yes,Yes,?
Database Deployment Manager,Yes,Yes,Yes,No,No
Database Workbench,Yes,Yes,Yes,?,Yes
DBeaver,No,Yes,Yes,No,?
DBEdit,No,No,No,No,No
ModelRight,No,Yes,Yes,Yes,Yes
Navicat,Yes,Yes,Yes,Yes,Yes
Navicat Data Modeler,Yes,Yes,Yes,Yes,Yes
MySQL Workbench,Yes,Yes,Yes,Yes,Yes
Oracle SQL Developer,Yes,Yes,Yes,Yes,?
Orbada,No,No,No,No,No
pgAdmin,Yes,No,No,No,No
phpMyAdmin,Yes,Yes,Yes,No,No
SQL Database Studio,Yes,Yes,Yes,Yes,No
SQL Server Management Studio,?,Yes,Yes,?,?
SQLyog,Yes[19],Yes[20],Yes,Yes,?
SQuirreL SQL,Yes,Yes,Yes[note 3],?,No
Toad,Yes,Yes,Yes,Yes,?
Toad Data Modeler,No,Yes,Yes,Yes[note 4],?
=======
Tools,User Interface,Create & Alter wizard,,,,Browse,,,,Auto Completion,Syntax colored,Multi server support,Monitoring server
,,Database,Table,Procedure,Trigger,Database,Table,Procedure,Trigger,,,,
Adminer,Browser-based,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,?,?
Altova DatabaseSpy,desktop,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?
DaDaBIK,Browser-based,No,Some[note 1],No,No,No,Some[note 2],No,No,No,No,No,?
Database Deployment Manager,desktop,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,?
Database Workbench,desktop,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?
DataGrip,desktop,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
DBeaver,desktop,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
DBEdit,desktop,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,?
Epictetus,desktop,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,?,?
Microsoft SQL Server Management Studio,desktop,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
ModelRight,desktop,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,?,?
MySQL Workbench,desktop,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Some
Navicat,desktop,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?
Navicat Data Modeler,desktop,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,?
Oracle Enterprise Manager,Browser-based,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes
Oracle SQL Developer,desktop,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
Orbada,desktop,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
pgAdmin,TDI,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Some
phpLiteAdmin,Browser-based,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,?,?
phpMyAdmin,Browser-based,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
SQL Database Studio,desktop,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
SQLyog,desktop,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,?
SQuirreL SQL,desktop,?,?,?,?,Yes,Yes,?,?,Yes,Yes,Some,?
Toad,desktop,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Toad Data Modeler,desktop,Yes,Yes,Yes,Yes,Some,Some,Some,Some,No,Yes,?,?
TOra,desktop,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
