<<<<<<< HEAD
Graphics,Launch,Market,Chipset,Code name,Device id.[3],Core render clock (MHz),Pixel pipelines,Shader model (vertex/pixel),API support[4],,,Memory bandwidth (GB/s),DVMT (MiB),Hardware acceleration,,
,,,,,,,,,Direct3D,OpenGL,OpenCL,,,MPEG-2,VC-1,AVC
Extreme Graphics,2002,Desktop,845G 845GL 845GV,Brookdale,2562,200,2,3.0 (SW) / No,"6.0 (full) 9.0 (some features, no hardware shaders)",1.3 ES 1.1Linux,rowspan=6 ,2.1,64,MC,rowspan=6 ,rowspan=6 
,2001,Mobile,830M 830MG,Almador,3577,166[5],,,,,1,,,,,
Extreme Graphics 2,2003,Desktop,865G 865GV,Springdale,2572,266,,,,,6.4,,,,,
,,Mobile,852GM 852GME 852GMV,Montara,3582,133–266,,,,,2.1–2.7,,,,,
,,,854,,358E,,,,,,,,,,,
,,,855GM 855GME,,3582,,,,,,,,,,,
=======
Graphics,Launch,Market,Chipset,Code name,Device id.[3],RAMDAC clock (MHz),Pixel pipelines,Shader model (vertex/pixel),API support,,,Memory bandwidth (GB/s),DVMT (MB),Hardware acceleration,,
,,,,,,,,,Direct3D,OpenGL,OpenCL,,,MPEG-2,VC-1,AVC
i740,1998,Desktop,stand-alone,Auburn,7800,220,1,3.0 (SW) / No,5.0,1.1,rowspan=6 ,0.8,2–8,Optional external MPEG-2 decoder via Video Module Interface,rowspan=6 ,rowspan=6 
752,1999,,,Portola,1240,250,,,"6.0 (full) 8.0 (some features, no hardware shaders)",,0.8(PC100)–1.067(PC133) 1.067(AGP 4× for AIMM),8–16,MC,,,
3D graphics with Direct AGP,,,810,Whitney,7121,230,,,,,,32,,,,
,,,810-DC100,,7123,,,,,,,,,,,
,,,810E 810E2,,7125,,,,,,,,,,,
,2000,,815 815E 815G 815EG,Solano,1132,,,,"6.0 (full) 9.0 (some features, no hardware shaders)",,,,,,,
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
