English,Malaysian,Indonesian
<<<<<<< HEAD
you,"zsmanda (very formal), zsmawak, zsmkamu, zsmengkau, zsmkau","idanda (everyday formal), idkamu (familiar only), idengkau ('kau) (prose)"
zero,zsmsifar,idnol from Dutch nlnul
zipper (fastener),zsmzip,idresleting from Dutch nlritssluiting
zone,zsmzon,"iddaerah, idzona"
zoo,"zsmzoo, zsmtaman haiwan (zsmkebun binatang was also frequently used in Malaysia before the mid-1960s)","idkebun binatang (derived from Dutch nldierentuin, idtaman margasatwa (more formal form for zoological park)"
=======
ugly,"zsmhodoh, teruk, buruk","idjelek, buruk"
Ukraine,zsmUkraine,idUkraina
uncle,zsmpakcik,"idpaman, idoom, om (derived from Dutch, pronounced and sometimes spelt idoom)"
union,zsmkesatuan (in Indonesian means "unitary"),"idpersatuan, iduni, idserikat"
United Arab Emirates,zsmEmiriah Arab Bersatu,idUni Emirat Arab
United Kingdom,zsmUnited Kingdom,idBritania Raya
United Nations,zsmPertubuhan Bangsa-Bangsa Bersatu,idPerserikatan Bangsa-Bangsa
United States of America (USA) United States (US),zsmAmerika Syarikat,idAmerika Serikat (AS)
university,zsmuniversiti,iduniversitas
until,"zsmsehingga (means 'thus' in Indonesian), zsmsampai","idhingga, idsampai"
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
