<<<<<<< HEAD
Esperanto,IPA,Novial
"A, a",a,"A, a"
"B, b",b,"B, b"
"C, c",ts,"Ts, ts; S, s"
"?, ?",t?,"Ch, ch; Sh, sh"
"D, d",d,"D, d"
"E, e",e or ?,"E, e"
"F, f",f,"F, f"
"G, g",?,"G, g"
"?, ?",d?,"J, j"
"H, h",h,"H, h"
"?, ?",x,"K, k"
"I, i",i,"I, i"
"J, j",j,"Y, y"
"?, ?",?,"J, j"
"K, k",k,"K, k"
"L, l",l,"L, l"
"M, m",m,"M, m"
"N, n",n,"N, n"
"O, o",o or ?,"O, o"
"P, p",p,"P, p"
Kv kv,[kv],"Qu, qu"
"R, r",r,"R, r"
"S, s",s,"S, s; Z, z"
"?, ?",?,"Sh, sh; Ch, ch"
"T, t",t,"T, t"
"U, u",u,"U, u"
"?, ?",[u?],"U, u (after a vowel)"
"V, v",v,"V, v; W, w"
"Ks, ks; kz","[ks], [?z]","X, x"
"Z, z",z,"Z, z; S, s"
=======
,English,Esperanto,Novial
Infinitive,(to) get absorbed,est-i absorb-at-a(j) (absorb-i?-i),bli absorba
Simple present,get(s) absorbed,est-as absorb-at-a(j) (absorb-i?-as),bli absorba
Future,will (shall) get absorbed,est-os absorb-at-a(j) (absorb-i?-os),sal bli absorba
Simple past,got absorbed,est-is absorb-at-a(j) (absorb-i?-is),bli-d absorba
Past perfect,have (has) got absorbed,est-as absorb-it-a(j) (est-as absorb-i?-ant-a(j)),ha bli absorba
Pluperfect,had got absorbed,est-is absorb-it-a(j) (est-is absorb-i?-ant-a(j)),ha-d bli absorba
Future perfect,will (shall) have got absorbed,est-os absorb-it-a(j) (est-os absorb-i?-ant-a(j)),sal ha bli absorba
Future in the past,"was going to (would, should) get absorbed",est-is absorb-ot-a(j) (est-is absorb-i?-ont-a(j)),sal-ed bli absorba
Conditional,would (should) get absorbed,est-us absorb-at-a(j) (absorb-i?-us),vud bli absorba
Conditional perfect,would (should) have got absorbed,est-us absorb-it-a(j) (est-us absorb-i?-ant-a(j)),vud ha bli absorba
First imperative,let us get absorbed!,ni est-u absorb-ataj! (ni absorb-i?-u!),let nus bli absorba!
Second imperative,get absorbed!,est-u absorb-at-a(j)! (absorb-i?-u!),bli absorba!
Third imperative,let him get absorbed!,li est-u absorb-at-a! (li absorb-i?-u),let lo bli absorba!
Present continuous,"is (am, are) getting absorbed",est-as absorb-at-a(j) (est-as absorb-i?-ant-a(j)),es bli-nt absorba
Future continuous,shall (will) be getting absorbed,est-os absorb-at-a(j) (est-os absorb-i?-ant-a(j)),sal es bli-nt absorba
Past continuous,was (were) getting absorbed,est-is absorb-at-a(j) (est-is absorb-i?-ant-a(j)),did es (es-ed) bli-nt absorba
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
