<<<<<<< HEAD
Client,Creator,First public release date,Latest stable version,Software license,Copy files over 2 GB[1]
CoreFTP,CoreFTP.com,2003,2.2 (build 1751) 20120627,Freeware,
Fetch,Fetch Softworks,1989,5.7.7 2017122,Proprietary,
Secure FTP,Glub Tech,1999,2.6.2 2013727,Apache,
Sysax FTP Automation,"Codeorigin, LLC",2005,5.31 20120412,Proprietary,
=======
Client,Creator,First public release date,Latest stable version,Software license,Copy files over 2 GB limit[1],Interface
cURL,Daniel Stenberg,1998,,MIT,,CLI
Cyberduck,David V. Kocher,2001,7.2.5 20200101,GPL,,GUI and CLI
FAR Manager,Eugene Roshal / FAR Group,1996,mf=y,BSD,,TUI
FileZilla,Community,2001 (January),,GPL,,GUI
FireFTP,Mime ?uvalo,2004 (September),,"MPL 1.1, Charityware",,"Waterfox, Firefox pre-version 57 addon"
Fugu,University of Michigan Research Systems Unix Group,2003,1.2.0 20050502,BSD,,GUI
gFTP,Brian Masney,1998,2.0.19 20081130,GPL,,GTK+
lftp,Alexander V. Lukyanov,1996 (August),,GPL,,CLI
Macfusion,Michael Gorbach,0 ?,2.0.4,BSD,,GUI
NcFTP,NcFTP Software Inc.,1991,3.2.6 20161127,Clarified Artistic License,,CLI
net2ftp,David C. Gartner,2003 (January),0.98 20130301,GPL,,Web application
Rclone,Nick Craig-Wood,2014 (July),1.53.1 20200913,MIT,,CLI
tnftp,Luke Mewburn,1999,20151004 20151004,BSD,,CLI
WinSCP,Martin P?ikryl,2000,,GPL,,GUI and CLI
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
