<<<<<<< HEAD
Format,Languages
UCase(string),VB
ucase(string),FreeBASIC
toupper(string),AWK (changes string)
uc(string),"Perl, Raku"
string.uc,Raku
toupper(char),C (operates on one character)
"for(size_t i = 0, len = strlen(string); i< len; i++) string[i] = toupper(string[i]); for (char *c = string; *c != '\0'; c++) *c = toupper(*c);",C (string / char array)
std.string.toUpper(string),D
"transform(string.begin(), string.end(), result.begin(), toupper)[28]",C++[29]
uppercase(string),Object Pascal (Delphi)
upcase(char),Object Pascal (Delphi) (operates on one character)
strtoupper(string),PHP
upper(string),Seed7
tr 'a-z' 'A-Z',Unix
"translate(string), or UPPER variables, or PARSE UPPER VAR SrcVar DstVar",Rexx
string.upper(),Python
upcase(string),Pick Basic
string.upcase,Ruby [30]
strings.ToUpper(string),Go
(string-upcase string),"Scheme, Common Lisp"
String.uppercase string,OCaml
String.map Char.toUpper string,Standard ML
map Char.toUpper string,Haskell
string.toUpperCase(),"Java, JavaScript"
to_upper(string),Erlang
string.ToUpper(),"VB .NET, C#, Windows PowerShell, F#"
string.uppercaseString,"Objective-C (NSString * only), Swift (Foundation)"
string.upper(string) (string):upper(),Lua
string asUppercase,Smalltalk
UPPER(string),SQL
ToUpperCase[string],Mathematica
«FUNCTION» UPPER-CASE(string),COBOL
string.toUpper,Cobra
string toupper string,Tcl
string.to_uppercase(),Rust[31]
=======
Example usage,Languages
String.Trim([chars]),"C#, VB.NET, Windows PowerShell"
string.strip();,D
(.trim string),Clojure
sequence [ predicate? ] trim,Factor
(string-trim '(#\Space #\Tab #\Newline) string),Common Lisp
(string-trim string),Scheme
string.trim(),"Java, JavaScript (1.8.1+, Firefox 3.5+), Rust[32]"
Trim(String),"Pascal,[33] QBasic, Visual Basic, Delphi"
string.strip(),Python
"strings.Trim(string, chars)",Go
LTRIM(RTRIM(String)),"Oracle SQL, T-SQL"
"strip(string [,option, char])",REXX
"string:strip(string [,option, char])",Erlang
string.strip or string.lstrip or string.rstrip,Ruby
string.trim,Raku
trim(string),"PHP, Raku"
[string stringByTrimmingCharactersInSet:[NSCharacterSet whitespaceAndNewlineCharacterSet]],Objective-C using Cocoa
string withBlanksTrimmed string withoutSpaces string withoutSeparators,"Smalltalk (Squeak, Pharo) Smalltalk"
strip(string),SAS
string trim $string,Tcl
TRIM(string) or TRIM(ADJUSTL(string)),Fortran
TRIM(string),SQL
TRIM(string) or LTrim(string) or RTrim(String),ColdFusion
String.trim string,OCaml 4+
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
