English,Malaysian,Indonesian
<<<<<<< HEAD
Macau,zsmMacau,idMakau
"Macedonia, Republic of",zsmRepublik Macedonia,idRepublik Makedonia
magistrate,zsmmajistret,"idhakim from Arabic ar????? – used in Malaysian to refer to judges, idmagistrat less common"
Maldives,zsmMaldives,idMaladewa
male,"zsmlelaki, zsmlaki-laki, zsmjantan (for animals, depending on the context, it can mean masculine or used as a derogatory term on men)","idlaki-laki, idpria, idlelaki, idjantan (on animals, used on men to describe masculinity)"
malfunction,"zsmkerosakan, zsmmalfungsi, zsmpincang tugas","idkerusakan, idmalafungsi"
malpractice,zsmpenyelewengan (means "misappropriation" in Indonesian),idmalapraktik
management,zsmpengurusan,"idmanajemen, idpengurusan (rare)"
manager,zsmpengurus,"idmanajer, idpengurus"
manufacturing,zsmpengilangan,idmanufaktur
March (month),zsmMac,idMaret influenced by Dutch nlmaart
mass,zsmjisim,idmassa
mathematics,"zsmmatematik, zsmilmu hisab","idmatematika, idilmu hitung, idilmu hisab only used in Islamic text books"
matter,zsmjirim,idmateri
mattress,zsmtilam,"idkasur, idmatras, idtilam"
mean (verb),zsmbererti,idberarti
mediation,"zsmpengantaraan (In Indonesian, it means "broking")",idmediasi
medicine,zsmubat,idobat
memory card,zsmkad ingatan/kad memori,idkartu memori
mental arithmetic,zsmcongak,"idaritmetika cepat, idcongak"
Mexico,zsmMexico,idMeksiko
mile,"zsmbatu (means "stone" in Indonesian, from Sanskrit)",idmil
military,"zsmtentera, zsmketenteraan, zsmmilitari","idmiliter (from French frmilitaire through Dutch nlmilitair), idkemiliteran, idketentaraan"
minibus,zsmbas mini,"idbis mini, idminibus"
minute,zsmminit,idmenit
"mobile phone, cellphone",zsmtelefon bimbit,"idtelepon seluler (ponsel), idtelepon genggam"
Monaco,zsmMonaco,idMonako
Monday,zsmIsnin,idSenin
money,"zsmwang, zsmduit","iduang, idduit (colloquial)"
Morocco,zsmMaghribi from Arabic,idMaroko
mortgage,zsmgadai janji,"idhipotek from Dutch nlhypotheek, idgadai"
Moscow,zsmMoscow,"idMoskwa, idMoskow"
motorcycle,zsmmotosikal,"idsepeda motor nlmotorfiets, idmotor (informal)"
Mozambique,zsmMozambique,idMozambik
Mrs.,zsmPuan,"idIbu, Nyonya (Ny.)"
music,zsmmuzik,idmusik
=======
naked,"zsmbogel, zsmtelanjang","idtelanjang, idbugil (colloquial)"
natural,zsmsemulajadi,"idalami, idnatural"
navigation,"zsmpandu arah, zsmnavigasi",idnavigasi
navy,zsmtentera laut,idangkatan laut
negotiation,zsmperundingan,"idperundingan, idnegosiasi"
network,zsmrangkaian (means circuit in Indonesian),"idjaringan, idjejaring"
New Zealand,zsmNew Zealand,idSelandia Baru (influenced by Dutch: nlZeeland; or from Latin: laZeelandia)
newspaper,"zsmsurat khabar coined from two Arabic words: ar??rat – ar???? / ???? (form, appearance) and arkhabar ar??? (news)","idsurat kabar (more formal – idkoran (from French frcourant through Dutch, nlKrant in modern Dutch, but afKoerant in Afrikaans)"
Nicosia,zsmNicosia,idNikosia
nil,zsmnil,idnol from Dutch nlnul
noisy,"zsmbising, zsmkecoh in Indonesian means "disturb" or "distract", zsmmemekak","idberisik, idribut, idramai, idbising, idbacot (colloquial, slightly offensive)"
Norway,zsmNorway,idNorwegia
number,zsmnombor,"idangka, idnomor (substandard spelling from Dutch/German nlnummer)"
nurse,zsmjururawat,"idperawat, idsuster from Dutch nlzuster, only for female nurse"
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
