English,Malaysian,Indonesian
<<<<<<< HEAD
ketchup,"zsmkicap (Indonesian equivalent, idkecap, means soy sauce)",idsaus tomat
lane,zsmlorong (means alley in Indonesian),idlajur
lawyer,zsmpeguam,"idadvokat from Dutch nladvocaat, idpengacara (means 'master of ceremonies' in Malay)"
Lebanon,zsmLubnan from Arabic,"idLebanon, idLibanon influenced by Dutch"
legislative,"zsmperundangan (In Indonesian, it means legislation), zsmlegislatif",idlegislatif
liability,zsmliabiliti,idkewajiban
licence,"zsmlesen, zsmizin","idizin, idijin from Arabic nlidhn, idlisensi from Dutch nllicentie"
lieutenant,zsmleftenan (influenced by British English pronunciation),idletnan
"lift, elevator",zsmlif,idlift
liquidity (economy),zsmkecairan,idlikuiditas
Lisbon,zsmLisbon,"idLisboa from Portuguese, idLisabon influenced by Dutch nlLissabon"
list,zsmsenarai,"iddaftar, idsenarai less common"
local,zsmtempatan,"idlokal, idsetempat"
lorry (UK),zsmLori,"idTruk (from American English: 'truck'), idprahoto from Dutch nlvrachtauto"
Luxembourg,zsmLuxembourg,idLuksemburg influenced by Dutch/German nlLuxemburg
=======
I,"zsmsaya, zsmaku, zsmdaku","idsaya, idaku, iddaku"
ice,zsmais,ides
Iceland,zsmIceland,idIslandia
image,"zsmcitra, zsmimej (of reputation), zsmgambar (pictorial image)","idcitra (of reputation), idgambar (pictorial image)"
imagination,"zsmimaginasi, bayangan","idimajinasi, idkhayalan"
immigration,"zsmimigresen, imigrasi",idimigrasi from Dutch nlimmigratie
import,zsmimport,idimpor
impotence,"zsmmati pucuk, zsmimpotensi, zsmlemah syahwat","idimpotensi from Dutch nlimpotentie, idlemah syahwat colloquial"
impotent,zsmkemandulan,"idimpotensi, idkemandulan"
incineration,zsmpenunuan,idinsinerasi
Indian Ocean,zsmLautan Hindi,idSamudra Hindia
inductor,"zsmperaruh, zsminduktor (rare)",idinduktor
information,zsmmaklumat,"idinformasi, from Dutch nlinformatie, idpenerangan rare"
injection (noun),zsmsuntikan,"idsuntikan, idinjeksi"
ink,zsmdakwat from Arabic,"idtinta from Dutch nltinte, iddawat (archaic)"
installment (payment),zsmansuran,"idangsuran, idcicilan"
instant,zsmsegera (means "soon" in Indonesia),"idseketika, idinstan"
insurance,zsminsurans,idasuransi from Dutch nlassurantie
intelligence (spying),zsmrisikan (means 'secret investigation' in Indonesia),"idintelijen, idtilik sandi"
international,zsmantarabangsa,"idinternasional, idmancanegara from Javanese meaning: foreign land)"
internet café,"zsmkafe internet, zsmkafe cyber",idwarnet a portmanteau for "idwarung internet" (
intervention,"zsmcampur tangan, zsmintervensi","idcampur tangan, idintervensi"
introspection,"zsmkaji diri, zsmintrospeksi (rare)","idintrospeksi, idmawas diri"
invasion,"zsmpenyerangan, zsmpenjajahan (means colonialism in Indonesian), zsminvasi",idinvasi
investment,zsmpelaburan,"idinvestasi, idpenanaman modal"
Iraq,zsmIraq,idIrak
Ireland,zsmIreland,idIrlandia
irrigation,zsmpengairan,"idirigasi, idpengairan"
Italy,zsmItali,idItalia from Italian
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
