<<<<<<< HEAD
Model,Code name[175],Fab (nm),Bus interface,Core clock (MHz),Boost clock (MHz),Memory clock (MHz),Core config1,Fillrate[211],,Memory,,,,Processing power (GFLOPS)[199][200],,Supported API version,,,,,TBP (Watts),Notes
,,,,,,,,Pixel (GP/s),Texture (GT/s),Size (GB),Bandwidth (GB/s),Bus type,Bus width (bit),Single precision,Double precision,Direct3D,OpenGL,Vulkan,OpenCL,CUDA,,
Quadro P400,GP107-825,14,PCIe 3.0 ×16,1228,1252,1752 (7008),256:16:16:2,17.1,17.1,2,32,GDDR5,64,641,20.0,12.1,4.6,1.1,1.2,6.1,30,Three Mini-DisplayPort 1.4
Quadro P600,GP107-850,,,1329,1557,1003 (4012),384:24:16:3,21.7,32.5,,64,,128,1195,37.3,,,,,,40,Four Mini-DisplayPort 1.4
Quadro P620,GP107-855,,,1266,1354,1003 (4012),512:32:16:4,23.3,46.6,,,,,1490,46.6,,,,,,,
Quadro P1000,GP107-860,,,,1481,1752 (7008),640:40:32:5,43.3,54.2,4,82,,,1894,59.2,,,,,,47,
Quadro P2000,GP106-875,16,,1076,1480,2002 (8008),1024:64:40:8,54.8,87.7,5,140,,160,3010,93.8,,,,,,75,Four DisplayPort 1.4
Quadro P2200,GP106-880-K1-A1[212],,,1000,1493,1251 (1008),1280:80:40:9,59.7,119.4,5,200,GDDR5X,,3822,121.3,,,,,,,
Quadro P4000,GP104-850-A1,,,1202,1480,1502 (6008),1792:112:64:14,78.5,137.4,8,243,GDDR5,256,5300,165.6,,,,,,105,
Quadro P5000,GP104-875-A1,,,1607,1733,1126 (9008),2560:160:64:20,102.8,257.1,16,288,GDDR5X,,8873,277.3,,,,,,180,"Four DisplayPort 1.4, One DVI-D"
Quadro P6000,GP102-875-A1,,,1506,1645,1126 (9008),3840:240:96:30,136.0,340.0,24,432,,384,10882 (11758),~340,,,,,,250,
Quadro GP100,GP100,,,1304,1442,703 (1406),3584:224:96:28,138.4,323,16,720,HBM2,4096,10336,5168,,,,,6,235,NVLINK support
=======
Model,Launch,Code name,Fab (nm)[2],Bus interface,Core clock (MHz),Memory clock (MHz),Core config1,Fillrate,,,,Memory,,,
,,,,,,,,MOperations/s,MPixels/s,MTexels/s,MVertices/s,Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit)
GeForce 6100 + nForce 410,"October 20, 2005",MCP51,TSMC 90 nm,HyperTransport,425,100–200 (DDR) 200–533 (DDR2),2:1:2:1,850,425,850,106.25,Up to 256 system RAM,1.6–6.4 (DDR) 3.2–17.056 (DDR2),DDR DDR2,64 128
GeForce 6150 SE + nForce 430,June 2006,MCP61,,,,200 400date=September 2012,,,,,,,3.2 16.0date=September 2012,DDR2,
GeForce 6150 LE + nForce 430,,MCP61,,,,100–200 (DDR) 200–533 (DDR2),,,,,,,1.6–6.4 (DDR) 3.2–17.056 (DDR2),DDR DDR2,
GeForce 6150 + nForce 430,"October 20, 2005",MCP51,,,475,,,950,475,950,118.75,,1.6–6.4 (DDR) 3.2–17.056 (DDR2),,
GeForce 6200 LE,2005,NV44,TSMC 110 nm,AGP 8× PCIe ×16,350,266,,700,700,700,87.5,128 256,4.256,DDR,64
GeForce 6200A,"April 4, 2005",NV44A,,AGP 8×,350[6],250 533 (DDR2)[6],4:3:4:2,1400[6],700[6],1400[6],175 225 (DDR2)[7],128 256 (DDR2)[6] 512 (DDR2)[6],4 13.3 (DDR2)[8],DDR DDR2[7],64[7]
GeForce 6200,"October 12, 2004 (PCIe) January 17, 2005 (AGP)",NV43,,AGP 8× PCI PCIe ×16,300,275,4:3:4:4,1200,1200,1200,225,128 256,8.8,DDR2,128
GeForce 6200 TurboCache,"December 15, 2004",NV44,,PCIe ×16,350,350,4:3:4:2,1400,700,1400,262.5,128–256 System RAM incl.16/32–64/128 onboard,5.6,DDR,64
GeForce 6500,"October 1, 2005",,,,400,333,,1600,800,1600,300,128 256,5.328,,
GeForce 6600 LE,2005,NV43,,AGP 8× PCIe ×16,300,200,4:3:4:4,1200,1200,1200,225,,6.4,,128
