Implementation,Secure Renegotiation [167],Server Name Indication [168],ALPN [169],Certificate Status Request [168],OpenPGP [170],Supplemental Data [171],Session Ticket [172],Keying Material Exporter [173],Maximum Fragment Length [168],Truncated HMAC [168],Encrypt-then-MAC [174],TLS Fallback SCSV [175],Extended Master Secret [176],ClientHello Padding [177],Raw Public Keys [178]
Botan,,,,,,,,,,No,,,,,
cryptlib,,,,,,,,,,No,,,,,
GnuTLS,,,,,,,,,,No,,,,,
JSSE,,,,,,,,,,No,,,,,
LibreSSL,,,,,,,,,,No,,Server side only[189],,,
MatrixSSL,,,,,,,,,,Yes,,,,,
Mbed TLS,,,,,,,,,,Disabled by default[26],,,,,
NSS,,,,,,,,,,No,,,,,
OpenSSL,,,,,,,,,,No,,,,,
RSA BSAFE Micro-Edition Suite,,,,,,,,,,Yes,,,,,
RSA BSAFE SSL-J,,,,,,,,,,Yes,,,,,
SChannel XP/2003,,,,,,,,,,No,,,,,
SChannel Vista/2008,,,,,,,,,,No,,,,,
SChannel 7/2008R2,,,,,,,,,,No,,,,,
SChannel 8/2012,,,,,,,Client side only[202],,,No,,,,,
"SChannel 8.1/2012R2, 10",,,,,,,,,,No,,,,,
Secure Transport,,,,,,,,,,No,,,,,
wolfSSL,,,,,,,,,,Yes,,,,,
Erlang/OTP SSL application,,,,,,,,,,No,,,,,
Implementation,Secure Renegotiation,Server Name Indication,ALPN,Certificate Status Request,OpenPGP,Supplemental Data,Session Ticket,Keying Material Exporter,Maximum Fragment Length,Truncated HMAC,Encrypt-then-MAC,TLS Fallback SCSV,Extended Master Secret,ClientHello Padding,Raw Public Keys
