<<<<<<< HEAD
Dataset Name,Brief description,Preprocessing,Instances,Format,Default Task,Created (updated),Reference,Creator
Dow Jones Index,Weekly data of stocks from the first and second quarters of 2011.,Calculated values included such as percentage change and a lags.,750,Comma separated values,"Classification, regression, Time series",2014,[418][419],M. Brown et al.
Statlog (Australian Credit Approval),Credit card applications either accepted or rejected and attributes about the application.,Attribute names are removed as well as identifying information. Factors have been relabeled.,690,Comma separated values,Classification,1987,[420][421],R. Quinlan
eBay auction data,Auction data from various eBay.com objects over various length auctions,"Contains all bids, bidderID, bid times, and opening prices.",~ 550,Text,"Regression, classification",2012,[422][423],G. Shmueli et al.
Statlog (German Credit Data),Binary credit classification into "good" or "bad" with many features,Various financial features of each person are given.,690,Text,Classification,1994,[424],H. Hofmann
Bank Marketing Dataset,Data from a large marketing campaign carried out by a large bank .,Many attributes of the clients contacted are given. If the client subscribed to the bank is also given.,"45,211",Text,Classification,2012,[425][426],S. Moro et al.
Istanbul Stock Exchange Dataset,Several stock indexes tracked for almost two years.,None.,536,Text,"Classification, regression",2013,[427][428],O. Akbilgic
Default of Credit Card Clients,Credit default data for Taiwanese creditors.,Various features about each account are given.,"30,000",Text,Classification,2016,[429][430],I. Yeh
=======
Dataset name,Brief description,Preprocessing,Instances,Format,Default task,Created (updated),Reference,Creator
FERET (facial recognition technology),11338 images of 1199 individuals in different positions and at different times.,None.,"11,338",Images,"Classification, face recognition",2003,[6][7],United States Department of Defense
Ryerson Audio-Visual Database of Emotional Speech and Song (RAVDESS),"7,356 video and audio recordings of 24 professional actors. 8 emotions each at two intensities.",Files labelled with expression. Perceptual validation ratings provided by 319 raters.,"7,356","Video, sound files","Classification, face recognition, voice recognition",2018,[8][9],S.R. Livingstone and F.A. Russo
SCFace,Color images of faces at various angles.,Location of facial features extracted. Coordinates of features given.,"4,160","Images, text","Classification, face recognition",2011,[10][11],M. Grgic et al.
Yale Face Database,Faces of 15 individuals in 11 different expressions.,Labels of expressions.,165,Images,Face recognition,1997,[12][13],J. Yang et al.
Cohn-Kanade AU-Coded Expression Database,Large database of images with labels for expressions.,Tracking of certain facial features.,500+ sequences,"Images, text",Facial expression analysis,2000,[14][15],T. Kanade et al.
JAFFE Facial Expression Database,213 images of 7 facial expressions (6 basic facial expressions + 1 neutral) posed by 10 Japanese female models.,Images are cropped to the facial region. Includes semantic ratings data on emotion labels.,213,"Images, text",Facial expression cognition,1998,[16][17],"Lyons, Kamachi, Gyoba"
FaceScrub,Images of public figures scrubbed from image searching.,Name and m/f annotation.,"107,818","Images, text",Face recognition,2014,[18][19],H. Ng et al.
BioID Face Database,Images of faces with eye positions marked.,Manually set eye positions.,1521,"Images, text",Face recognition,2001,[20][21],BioID
Skin Segmentation Dataset,Randomly sampled color values from face images.,"B, G, R, values extracted.","245,057",Text,"Segmentation, classification",2012,[22][23],R. Bhatt.
Bosphorus,3D Face image database.,34 action units and 6 expressions labeled; 24 facial landmarks labeled.,4652,"Images, text","Face recognition, classification",2008,[24][25],A Savran et al.
UOY 3D-Face,"neutral face, 5 expressions: anger, happiness, sadness, eyes closed, eyebrows raised.",labeling.,5250,"Images, text","Face recognition, classification",2004,[26][27],University of York
CASIA 3D Face Database,"Expressions: Anger, smile, laugh, surprise, closed eyes.",None.,4624,"Images, text","Face recognition, classification",2007,[28][29],"Institute of Automation, Chinese Academy of Sciences"
CASIA NIR,Expressions: Anger Disgust Fear Happiness Sadness Surprise,None.,480,Annotated Visible Spectrum and Near Infrared Video captures at 25 frames per second,"Face recognition, classification",2011,[30],"Zhao, G. et al."
BU-3DFE,"neutral face, and 6 expressions: anger, happiness, sadness, surprise, disgust, fear (4 levels). 3D images extracted.",None.,2500,"Images, text","Facial expression recognition, classification",2006,[31],Binghamton University
Face Recognition Grand Challenge Dataset,"Up to 22 samples for each subject. Expressions: anger, happiness, sadness, surprise, disgust, puffy. 3D Data.",None.,4007,"Images, text","Face recognition, classification",2004,[32][33],National Institute of Standards and Technology
Gavabdb,"Up to 61 samples for each subject. Expressions neutral face, smile, frontal accentuated laugh, frontal random gesture. 3D images.",None.,549,"Images, text","Face recognition, classification",2008,[34][35],King Juan Carlos University
3D-RMA,"Up to 100 subjects, expressions mostly neutral. Several poses as well.",None.,9971,"Images, text","Face recognition, classification",2004,[36][37],Royal Military Academy (Belgium)
SoF,112 persons (66 males and 46 females) wear glasses under different illumination conditions.,"A set of synthetic filters (blur, occlusions, noise, and posterization ) with different level of difficulty.","42,592 (2,662 original image × 16 synthetic image)","Images, Mat file","Gender classification, face detection, face recognition, age estimation, and glasses detection",2017,[38][39],"Afifi, M. et al."
IMDB-WIKI,IMDB and Wikipedia face images with gender and age labels.,None,"523,051",Images,"Gender classification, face detection, face recognition, age estimation",2015,[40],"R. Rothe, R. Timofte, L. V. Gool"
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
