<<<<<<< HEAD
Model,Launch,Code name,Fab (nm),Transistors (million),Die size (mm2),Bus interface,Core config1,Clock rate,,,Fillrate,,Memory configuration,,,,Supported API version,,Processing power (GFLOPS)2,TDP (Watts),Comments,Release Price (USD)
,,,,,,,,Core (MHz),Shader (MHz),Memory (MHz),Pixel (GP/s),Texture (GT/s),Size (MB),Bandwidth (GB/s),DRAM type,Bus width (bit),Direct3D,OpenGL,Single precision,,,
GeForce 205,"November 26, 2009",GT218,TSMC 40 nm,260,57,PCIe 2.0 ×16,8:4:4,589,1402,1000,2.356,2.356,512,8,DDR2,64,10.1,3.3,22.4,30.5,OEM only,
GeForce 210,"October 12, 2009",GT218-325-B1,,,,PCIe 2.0 ×16 PCIe ×1 PCI,16:8:4,520 589,1230 1402,1000–1600,2.356,4.712,512 1024,4.0 8.0 12.8,DDR2 DDR3,32 64,,,36.4 44.9,30.5,,
GeForce GT 220,,GT216-300-A2,TSMC 40 nm,486,100,PCIe 2.0 ×16,48:16:8,615(OEM) 625,1335(OEM) 1360,1000 1580,5,10,512 1024,16.0 25.3,DDR2 DDR3,64 128,,,128.2(OEM) 130.6,58,,
GeForce GT 230,"October 12, 2009[19]",G94b,TSMC/UMC 55 nm,505,196?,,48:24:16,650,1625,1800,10.4,15.6,512 1024,57.6,GDDR3,256,10,,156,75,OEM only,
,"April 27, 2009[20]",G92b,,754,260,,96:48:12,500,1242,1000,6,24,1536,24,DDR2,192,,,238.5,,,
GeForce GT 240,"November 17, 2009",GT215-450-A2,TSMC 40 nm,727,139,,96:32:8,550,1340,1800 2000 3400(GDDR5),4.4,17.6,512 1024,28.8(OEM) 32 54.4(GDDR5),DDR3 GDDR3 GDDR5,128,10.1,,257.3,69,,
GeForce GTS 240,"July 1, 2009[21]",G92a G92b,TSMC 65 nm TSMC/UMC 55 nm,754,324 260,,112:56:16,675,1620,2200,10.8,37.8,1024,70.4,GDDR3,256,10.0,,362.9,120,OEM only,
GeForce GTS 250,2009,G92b,TSMC/UMC 55 nm,,260,,128:64:16,702,1512,2000,11.2,44.9,512 1024,64.0,,,,,387,130,,
,"March 3, 2009",G92-428-B1,TSMC 65 nm TSMC/UMC 55 nm,,,,,738,1836,2000 2200,11.808,47.232,512 1024,64.0 70.4,,,,,470,150,Some cards are rebranded GeForce 9800 GTX+,$150 ($130 512MB)
GeForce GTX 260,"June 16, 2008",GT200-100-A2,65 nm,1400,576,,192:64:28,576,1242,1998,16.128,36.864,896,111.9,,448,,,477,182,Replaced by GTX 260 Core 216,$400 (dropped to $270 after 3 months[22])
,"September 16, 2008 November 27, 2008 (55nm)",GT200-103-A2,65 nm 55 nm,,576 470,,216:72:28,576,1242 1350,1998,16.128,41.472,896 (1792),111.9,,,,,536.5 583.2,182 171,,$300
GeForce GTX 275,"April 9, 2009",GT200-105-B3,TSMC/UMC 55 nm,,470,,240:80:28,633,1404,2268,17.724,50.6,896 (1792),127.0,,,,,674,219,Effectively one-half of the GTX 295,$250
GeForce GTX 280,"June 17, 2008",GT200-300-A2,65 nm,,576,,240:80:32,602,1296,2214,19.264,48.16,1024,141.7,,512,,,622,236,Replaced by GTX 285,$650 (dropped to $430 after 3 months[23])
GeForce GTX 285,"January 15, 2009",GT200-350-B3,TSMC/UMC 55 nm,,470,,,648,1476,2484,20.736,51.84,1024 (2048*),159.0,,512,,,708.48,204,Palit and EVGA launched 2 GB versions. EVGA GTX285 Classified can support 4-way SLI,$400
GeForce GTX 295,"January 8, 2009",2× GT200-400-B3,,2× 1400,2× 470,,2× 240:80:28,576,1242,1998,2× 16.128,2× 46.08,2× 896,2× 111.9,,2× 448,,,1192.3,289,Dual PCB models were phased out in favor of a single PCB model with 2 GPUs,$500
Model,Launch,Code name,Fab (nm),Transistors (million),Die size (mm2),Bus interface,Core config1,Core (MHz),Shader (MHz),Memory (MHz),Pixel (GP/s),Texture (GT/s),Size (MB),Bandwidth (GB/s),DRAM type,Bus width (bit),Direct3D,OpenGL,Single precision,TDP (Watts),Comments,Release Price (USD)
,,,,,,,,Clock rate,,,Fillrate,,Memory configuration,,,,Supported API version,,Processing power (GFLOPS)2,,,
=======
Model,Launch,Code name,Fab (nm),Transistors (million),Die size (mm2),Bus interface,SMX count,Core config1,Clock rate,,,,Fillrate,,Memory configuration,,,,Supported API version,,,,Processing power (GFLOPS)9,,TDP (Watts),Release Price (USD)
,,,,,,,,,Base (MHz),Average Boost (MHz),Max Boost2 (MHz),Memory (MHz),Pixel (GP/s),Texture (GT/s),Size (MB),Bandwidth (GB/s),DRAM type,Bus width (bit),Vulkan,Direct3D3,OpenGL,OpenCL,Single precision,Double precision,,
GeForce GT 705[41]4,"March 27, 2014",GF119-300-A1,TSMC 40 nm,292,79,PCIe 2.0 ×16,1,48:8:4,810,,,898 (1796),3.24,6.5,512 1024,14.4,DDR3,64,n/a[28],12,4.6,1.1,155.5,19.4,29,OEM
GeForce GT 710[42],,GK208-301-A1,TSMC 28 nm,1020,79,PCIe 2.0 ×8,,192:16:8,823,,,900 (1800),6.6,13.2,512,,,64,1.0[28],,,1.2,316.0,13.2,,
,"January 26, 2016",GK208-203-B1,,,,"PCIe 2.0 ×8, PCIe ×1",,192:16:8,954,,,900 (1800) 1253 (5010),7.6,15.3,1024 2048,14.4 40.0,DDR3 GDDR5,,,,,,366,15.3,19,$35–45
GeForce GT 720[43],"March 27, 2014",GK208-201-B1,,,,PCIe 2.0 ×8,,192:16:8,797,,,900 (1800) 1253 (5010),6.4,12.8,1024 2048,14.4 40.0,,,,,,,306,12.8,,$49–59
"GeForce GT 730 [44]5,6","June 18, 2014",GK208-301-A1,,,,,2,384:16:8,902,,,900 (1800),7.22,14.44,1024[45] 2048 4096,14.4,DDR3,,,,,,692.7,28.9,23,$69–79
,,GK208-400-A1,,,,,,384:16:8,902,,,1250 (5000),7.22,14.44,1024 2048[46],40.0,GDDR5,,,,,,,,25,
,,GF108,TSMC 40 nm,585,116,PCIe 2.0 ×16,,96:16:4,700,,,900 (1800),2.8,11.0,1024 2048 4096,28.8,DDR3,128,n/a[28],,,1.1,268.8,33.6,49,
GeForce GT 7407,"May 29, 2014",GK107-425-A2,TSMC 28HP,1270,118,PCIe 3.0 ×16,,384:32:16,993,,,891 (1782),15.9,31.8,,28.5,,128,1.0[28],,,1.2,762.6,31.8,64,$89–99
,,GK107-425-A2,,,,,,384:32:16,993,,,1252 (5008),15.9,31.8,,80.1,GDDR5,,,,,,,,,
GeForce GTX 745,"February 18, 2014",GM107-220-A2,,1870,148,,3,384:24:16,1033,,,900 (1800),16.5,24.8,1024 4096,28.8,DDR3,,,,,,793.3,24.8,55,OEM
GeForce GTX 750,,GM107-300-A2,,,,,4,512:32:16,1020,1085,1163,1250 (5000),16.3,32.6,1024 2048,80,GDDR5,,,,,,1044.5,32.6,,$119
GeForce GTX 750 Ti,,GM107-400-A2,,,,,5,640:40:16,1020,1085,1200,1350 (5400),16.3,40.8,1024 2048 4096,86.4,,,,,,,1305.6,40.8,60,$149
GeForce GTX 760 192-bit,"October 17, 2013",GK104-200-KD-A2,,3540,294,,6,1152:96:24,824,888,889,1450 (5800),19.8,79.1,1536 3072,134.4,,192,,,,,1896.2,79.0,130,OEM
GeForce GTX 760,"June 25, 2013",GK104-225-A2,,,,,,1152:96:32,980,1033,1124,1502 (6008),31.410,94,2048 4096,192.3,,256,,,,,2257.9,94.1,170,$249 ($219)
GeForce GTX 760 Ti8,"September 27, 2013[47]",GK104,,,,,7,1344:112:32,915,980,1084,1502 (6008),29.3,102.5,2048,192.3,,,,,,,2459.5,102.5,,OEM
GeForce GTX 770,"May 30, 2013",GK104-425-A2,,,,,8,1536:128:32,1046,1085,1130,1752.5 (7010),33.5,134,2048 4096,224,,,,,,,3213.3,133.9,230,$399 ($329)
GeForce GTX 780,"May 23, 2013",GK110-300-A1,,7080,561,,12,2304:192:48,863,900,1002,1502 (6008),41.410,160.5,3072 6144[48],288.4,,384,,,,,3976.7,165.7,,$649 ($499)
GeForce GTX 780 Ti[49][50][51],"November 7, 2013",GK110-425-B1,,,,,15,2880:240:48,876,928,1019,1752.5 (7010),42.010,210.2,3072,336.5,,,,,,,5045.7,210.2,,$699
