<<<<<<< HEAD
Spelling,Pronunciation,,Notes
,Spanish,Portuguese,
b,[b ~ ?],[b ~ ?] (EP) [b] (BP),In Spanish and European Portuguese /b/ is lenited after a continuant.
d,[d ~ ğ],[d ~ ğ] (EP) [d ~ d?] (BP),"In Spanish and European Portuguese /d/ is lenited after a continuant. In all Portuguese dialects, the consonants /t/ and /d/ have affricate allophones, happening when before a palatalizing /i/ ([d?i ~ d?i], [t?i ~ t?i], mainly in Brazil), or an elided /?/ ~ /e?/ ~ /?/ or unstressed /i/ before another (that actually becomes /?/ in Portugal), stressed one, leading to sandhi ([dVz] ? dz, [dVs] ? ts, [tVs] ? [ts], both in Brazil and Portugal)."
t,[t],[t] (EP) [t ~ t?] (BP),
g,[? ~ ?],[? ~ ?] (EP) [?] (BP),In Spanish and European Portuguese /?/ is lenited after a continuant.
-l,[l],[?] (EP) [w] (BP),"In European Portuguese syllable-final /l/ is velarized ? as in Catalan (see dark l), while in most Brazilian dialects and some rural European ones it is vocalized to w. Caipira rhoticizes to English-like ar, while portunhol da pampa velarizes it."
"r-, -rr-",[r],[?],"In Portuguese, r- and -rr- have several possible pronunciations. In most dialects, it is a guttural r as in French ([?], [?] and [?] in Portugal and Brazil, [x], [?], [?], [h] and [?] in Brazil), while in rural northern Portugal and southern Brazil it is a trilled r r (like in Galician). In some southern and western Brazilian dialects word final -r may be a tap (as in Portugal and Galicia), though English-like ?, ? or ? is more common, while in northern and eastern dialects it is guttural. In Spanish, r- and -rr- have kept their original pronunciation as an alveolar trill r. Intervocalic -r- is an alveolar tap in both languages ?."
v,[b ~ ?],[v],"Originally, the letters ?b? and ?v? stood for distinct sounds pronounced b and ?, respectively, but the two eventually merged into a single phoneme in Spanish. In most varieties of Portuguese they remained separate phonemes, and the bilabial fricative [?] of Old Portuguese subsequently changed into the labiodental fricative v, as in French and Italian."
=======
Spanish,Portuguese,English
cola (< Lat. cauda),fila; bicha; cauda; rabo; linha (< Fr. file; < Lat. bestius; < Lat. cauda; < Lat. rapum; < Lat. linea),"queue, file, tail"
vaso (< Lat. vasum),copo (< Lat. cuppa),"glass, cup"
copo (< Lat. cuppa),floco (< Lat. floccus),flake
competencia (< Lat. competentia),"concorrência, competição (< Lat. concurrentia; competitio)",competition
despido (< Lat. expetere),demissão (< Lat. dimiss?o),"dismissal, firing"
oso (< Lat. ursus),urso (< Lat. ursus),bear
pez (< Lat. piscis),peixe (< Lat. piscis < Indo-European peisk),fish
polvo (< Lat. pulvis),pó (< Lat. pulv(er)is),dust
tienda (< Lat. tenda < tend?re),loja; negócio; butique; estabelecimento; depósito (< Fr. loge < Frankish laubja; < Lat. negotium; < Fr. boutique < Lat. apotheca; < Lat. stabilire; < Lat. depositum),"shop, business, depot"
ganancia (< Gothic ganan),"ganho, lucro, interesse, rendimento, proveito, vencimento, acréscimo (< Frankish waidanjan; < Lat. lucrum; < Lat. interesse; < Lat. re- + dare; < Lat. profectus; < Lat. vincere; < Lat. accrescere + suffix -imo)","profit, gain, interest"
inversión (< Lat. inversionis),investimento (< Lat. investire),investment
embarazada (< Port. embaraçada),grávida (< Lat. grav? + -idus/-ida),pregnant
estafa (< Ital. staffa),"calote, fraude, burla (< Fr. culotte; < Lat.fraudis; < probably Lat. burr?la)","swindle, fraud, trickery"
exquisito (< Lat. exquisitus),refinado; esmerado (< Lat. re + finis; < Lat. exmerare),exquisite
molestia (< Lat. moles),"incómodo, inconveniência, maçada, distúrbio (< Lat. incommodus; < Lat. inconvenientis; < Lat. matea + Port. -ada; < Lat. disturb?um)","inconvenience, disturbance"
servicios (< Lat. servitium),"lavabo, lavatório, toilette, toalete, WC, sanitário (< Lat. lavabo; < Lat. lavatorium; < Fr. toilette; < Eng. water closet; < Lat. sanitas)","toilet, WC, lavatory"
perro (probably < onomatopoeic perr),"cão (< Lat. canis), cachorro (< Lat. catulus + Basque -orro)",dog
berro (< Celt. beruros),agrião (< Gr. ágrios),watercress
aceite (< Ar. az-zayt),óleo (< Lat. oleum),oil
oficina (< Lat. offic?na < officium < opus + ficium),"escritório, gabinete, atelier, agência, cartório, bureau/birô, departamento, workshop, oficina de reparação automóvel, garagem auto-mecânica (< Lat. scriptor?um; < Fr. cabinet; < Fr. atelier; < Ital. agenzia; < Lat. carta + suffix -ório; < Fr. atelier; < Lat. departimentum; < Lat. + Gr departimentum; < Eng. workshop; < Fr. garage + Gr. ???? + Lat. mechanicus)","office, workshop"
firma (< Lat. firmus),assinatura (< Lat. signator),signature
presunto (< Lat. praesumptus),"presumível, suspeito, provável (< Lat. praesumptus; < Lat. suspectum; < Lat. probabilis)","presumed, suspect"
risco (< Lat. resecare),falésia (< Fr. falaise),cliff
topo (< Lat. talpa),toupeira (< Lat. talpa + Port. -eira),"mole, moleskin"
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
