<<<<<<< HEAD
Client,Regular,,MSN (NTLM) browser login,Compuserve (RPA),MD5 APOP group=NoteAPOP,CRAM-HMAC group=NoteHMAC,,,DIGEST-MD5,SCRAM,with hardware token PKCS#11,Biometric,SMTP Auth group=NoteSMTPAUTH,X.509 Client certificate,OAuth
,LOGIN,PLAIN,,,,MD5,SHA1,RIPEMD,,,,,,,
Alpine,,,,,,,,,,,,,,,
Apple Mail,,,,,,,,,,,,,,,group=NoteAppleMailOAuth
Becky! Internet Mail,,,,,,,,,,,,,,,
Citadel,,,,,,,,,,,,,,,
Claws Mail,,,,,,,,,,,,,,,
Cone,,,,,,,,,,,,,,,
Courier,,,,,,,,,,,,,,,
Elm,,,,,,,,,,,,,,,
eM Client,,,,,,,,,,,,,,,
EmailTray,,,,,,,,,,,,,,,
Eudora,,,,,,,,,,,,,,,
Evolution,,,,,,,,,,,,,,,
Gnus,,,,,,,,,,,,,,,
GroupWise,,,,,,,,,,,,,,,
Hiri,,,,,,,,,,,,,,,
i.Scribe / InScribe,,,,,,,,,,,,,,,
IBM Lotus Notes,,,,,,,,,,,,,,,
KMail,,,,,,,,,,,,,,,
Mailpile,,,,,,,,,,,,,,,
Microsoft Entourage,,,,,,,,,,,,,,,
Microsoft Office Outlook,,,,,,,,,,,,,,,
Mozilla Mail & Newsgroups,,,,,,,,,,,,,,,
Mozilla Thunderbird,,,,,,,,,,,,,,,
Mulberry,,,,,,,,,,,,,,,
Mutt,,,,,,,,,,,,,1.5.15,,1.10.1
Netscape Messenger,,,,,,,,,,,,,,,
Netscape Messenger 9,,,,,,,,,,,,,,,
nmh / MH,,,,,,,,,,,,,,,
Opera Mail,,,,,,,,,,,,,,,
Outlook Express,,,,,,,,,,,,,,,
Pegasus Mail,,,,,,,,,,,,,,,
Pine,,,,,,,,,,,,,,,
Pocomail,,,,,,,,,,,,,,,
RoundCube,,,,,,,,,,,,,,,
SeaMonkey Mail & Newsgroups,,,,,,,,,,,,,,,
SquirrelMail,,,,,,,,,,,,,,,
Sylpheed,,,,,,,,,,,,,,,
The Bat!,,,,,,,,,,,group=NoteTheBat,group=NoteTheBat,,,
Trojitá,,,,,,,,,,,,,,,
Turnpike,,,,,,,,,,,,,,,
Windows Live Mail,,,,,,,,,,,,,,,
Windows Mail,,,,,,,,,,,,,,,group=NoteWindowsMailOAuth
YAM,,,,,,,,,,,,,,AmiSSL,
Zimbra,,,,,,,,,,,,,group=NoteZimbra,,
Client,Regular,,MSN (NTLM) browser login,Compuserve (RPA),MD5 APOP group=NoteAPOP,CRAM-HMAC group=NoteHMAC,,,DIGEST-MD5,SCRAM,with hardware token PKCS#11,Biometric,SMTP Auth group=NoteSMTPAUTH,SSL/TLS Client Certificate,OAUTH
,LOGIN,PLAIN,,,,MD5,SHA1,RIPEMD,,,,,,,
=======
Client,Message file format,Encrypted database,Virtual folders,Scheduled backup,New mail notification,,,,Customizable interface,Customizable keybindings,Fragmented messages group=NoteFragmentedMessages,Database search with regular expressions support,Indexed search,Search folders group=NoteSearchfolders,IMAP,,,
,,,,,ticker,tray icon,tooltip,sound,,,,,,,Search,IDLE,,
Alpine,"mbox, mbx, MIX, maildir (with patches), MMDF, tenex, mtx, MH, mx, news, phile",,,,,,,,,,,,,,,,,
Becky! Internet Mail,mbox,,,,,,,,,,,,,,,,,
Citadel,,,,,,,,,,,,,,,,,,
Claws Mail,"MH, mbox (plugin)",,,,,,,,,,,,,,,,,
Cone,"mbox, maildir",,,,,,,,,,,,,,,,,
Courier,Proprietary,,,,,,,,,,,,,,,,,
Elm,,,,,,,,,,,,,,,,,,
eM Client,Proprietary (sqlite),,,,,,,,,,,,,,,,,
EmailTray,Proprietary,,,,,,,,,,,,,,,,,
Eudora,modified mbox,,,,,,,,,,,date=January 2007,,,,,,
Evolution,"maildir, mbox, MH",,,,,,,,,group=NoteKeybindings,,,,,,,,
Gnus,"babyl, maildir, mbox, MMDF, news, rnews, SOUP, outlook, oe-dbx",,,,,,,,,,,,group=Notename=GnusNNIRVia nnir backends such as Notmuch[77],,,,,
GroupWise,Proprietary,,,,,,,,,,,,,,,,,
Hiri,Proprietary,,,,,,,,,,,,,,,,,
IBM Notes,Proprietary,,,,,,,,,,group=NoteLotus_frag,,,,,,,
KMail,"mbox, maildir",,,,,,,,,,,,,,,,,
Mailbird,Proprietary,,,,,,,,,,,,,,,,,
Mailpile,,,,,,,,,,,,,,,,,,
Microsoft Entourage,Proprietary (Personal Storage Table),,,group=Noteeragebackups,,,,,,,,group=Noteeragedbgrepsearch,,,,,,
Microsoft Office Outlook,Proprietary (Personal Storage Table),,,,,,,,,,,,group=NoteMSO,,,,,
Mozilla Mail & Newsgroups,mbox,,,,,,,,,,,,,,,,,
Mozilla Thunderbird,"mbox, maildir",,,,,,,,group=NoteTBThemes,,,,,,,,,
Mulberry,mbox group=NoteMulberryMBox,group=NoteMulberryDB,group=NoteMulberryDB,group=NoteMulberryDB,,,,,,,,date=January 2007,group=NoteMulberryDB,,,,,
Mutt,"mbox, MMDF, MH, maildir",,,,,,,,,,,,group=Notename=muttindexersVia Notmuch or other indexers.[80][81],group=Notemuttindexers,,,,
Netscape Messenger,mbox,,,,,,,,,,,,,,,,,
Netscape Messenger 9,mbox,,,,,,,,,,,,,,,,,
nmh / MH,MH,,,,,,,,,,,,,,,,,
Opera Mail,"mbox, MH, Proprietary",,,,,,,,,,,,,,,,,
Outlook Express,Proprietary,,,,,,,,,,,,,,,,,
Pegasus Mail,Proprietary (mbox-like),,,,,,,,,,,,,,,,,
