<<<<<<< HEAD
,Developer,First release,Latest release,License,Platform
| Battle Chess,Interplay Silicon & Synapse (C64)[1],1988,1994,Commercial,"Microsoft Windows, Apple Inc., Amiga, 3DO, Acorn Archimedes, Atari, Commodore 64, MS-DOS, FM Towns, NES, PC-98, Sharp X68000"
| Battle Chess: Game of Kings,Interplay,2014-04,n/a,Commercial,Steam (software)
| Battle vs. Chess,Targem Games Zuxxez Entertainment,2011,n/a,Commercial (Topware Interactive),"Microsoft Windows, Mac OS X, Nintendo DS, PlayStation 3, PlayStation Portable, Xbox 360, Wii"
| Chessaria: The Tactical Adventure,Pixel Wizards[2][3],2018,n/a,Commercial,"Steam (software), Microsoft Windows, Mac OS X"
| Chess Assistant,Victor Zakharov,1988,2018,Commercial (Convekta),Microsoft Windows
| Chessbase,"Mathias Wüllenweber, Mathias Feist",1987,2018,Commercial (Chessbase),"Microsoft Windows, Android, Steam"
| Chessmaster,"David Kittinger, Kathe and Dan Spracklen, Johan de Koning",1986,2007,Commercial (Ubisoft),"MS Windows, MS-DOS, PlayStation, Xbox 360, (XBLA), PSP, PS2"
| Chess Titans,Oberon Games,2007,n/a,Included in Microsoft Windows Vista and 7,"Windows Vista, Windows 7"
| ChessV,Gregory Strong,2009,n/a,GPL,Microsoft Windows
| Fritz,"Frans Morsch, Mathias Feist, Gyula Horvath, Vasik Rajlich",1991,2018,Commercial (Chessbase),"Microsoft Windows, Steam, PlayStation 3, Wii, Nintendo DS"
| Fritz and Chesster,Chessbase,2005,2010,Commercial (Chessbase),"Microsoft Windows, Mac, Nintendo DS"
| GNOME Chess,"Robert Ancell, GNOME Team",2000,2018,Free,Unix-like
| GNU Chess,"Stuart Cracraft, John Stanback, Chua Kong-Sian, Fabien Letouzey",1984,2013,Free,"Microsoft Windows, Unix-like"
| HIARCS,Mark Uniacke,1980,2012,"Commercial (Chessbase, Hiarcs.com)","Microsoft Windows, iOS, Mac OS X, Windows Mobile, Freescale DragonBall, ARM-based Palm OS"
| Houdini,Robert Houdart,2010,2018,"Commercial (Chessbase, Convekta)",Microsoft Windows
| Junior,"Amir Ban, Shay Bushinsky",1997,2014,"Commercial (Chessbase, Hiarcs.com)",Microsoft Windows
| Komodo,"Don Dailey, Larry Kaufman, Mark Lefler",2010,2018,"Commercial (Chessbase, Komodochess.com)","Microsoft Windows, Linux, Macintosh Operating System, Android"
| Playchess,Chessbase,2003,2018,Commercial (Chessbase),"Microsoft Windows, web"
| Play Magnus,Tord Romstad,2014,2018,Free to try with in-app purchases,"Android, iOS"
| Pure Chess,VooFoo Studios,2012,n/a,Commercial (Ripstone),"Microsoft Windows, Android, iOS, PlayStation 3, PlayStation Vita"
| pyChess,PyChess Project,2006,2018,GPL,Unix-like Microsoft Windows
| Rybka,Vasik Rajlich,2010,,"Commercial (Chessbase, rybkachess.com)",Microsoft Windows
| Shredder,Stefan Meyer-Kahlen,1993,2010,Commercial (Chessbase Shredderchess.com),"Microsoft Windows, Mac OS X, Linux, iPhone, iPad, Android"
| Wii Chess,Fritz Reul,2008,n/a,Commercial,Nintendo Wii
| Winboard/xBoard,"Tim Mann, Harm Geert Muller",,2013,Free GPL,"Unix-like, X11, Microsoft Windows"
=======
,included chess engine(s),Can open/save PGN,Can import UCI[4] engines,Levels,3D or Animated pieces,Variants,Multiplayer
| Aquarium,"Crafty, Delfi, Rybka, Spike",,,"multivariation[5], uci_elo[6]",,Chess960,
| Battle Chess,n/a,,,,,,
| Battle Chess: Game of Kings,n/a,,,,,,
| Battle vs. Chess,Fritz,,,levels 1-9,,,
| Chessaria: The Tactical Adventure,Chessaria AICE,,,,,,
| Chess Assistant,"Dragon, Rybka",,,"multivariation, uci_elo[7]",,Chess960,
| Chessbase,Fritz,,,uci_elo[8] for analysis but no timed games,,Chess960,
| Chessmaster,The King,,,Personalities with Elo ratings,,,no longer supported
| Chess Titans,n/a,,,,,,
| ChessV,,,,,,,
| Fritz,"Rybka, earlier Pandix or Fritz",,,"Friend Mode[9], Handicap and Fun[10], uci_elo[11]",,Chess960,
| Fritz and Chesster,Koenig Schwarz,,,,,,
| GNOME Chess,,,,,,,
| GNU Chess,GNU chess,,,,,"Knightmate, Capablanca, Gothic, Shatranj, Courier, Cylinder, Berolina",
| Hiarcs Chess Explorer,Hiarcs,,,uci_elo[12],,,
| Chessbase Houdini,Houdini,,,"Friend Mode[13], Handicap and Fun[14], uci_elo[15]",,Chess960,
| Chessbase Junior,Junior,,,"Friend Mode, Handicap and Fun, uci_elo[16]",,Chess960,
| Chessbase Komodo,Komodo,,,"Friend Mode[17], Handicap and Fun[18], uci_elo[19]",,Chess960,
| Playchess,none,,,Other players have Elo rating,,Chess960,
|Play Magnus,Glaurung,,,can choose Magnus' age,,,
| Pure Chess,n/a,,,,,,
| pyChess,"Pychess engine, Stockfish",,,,,,
| Chessbase Rybka,Rybka,,,"Friend Mode, Handicap and Fun, uci_elo[20]",,Chess960,
| Shredder UCI GUI,Shredder,,,uci_elo[21],,Chess960,
| Wii Chess,Loop Express,,,,,,
| Winboard/xBoard,Crafty,,via UCI2WB,,,"Knightmate, Capablanca, Gothic, Shatranj, Courier, Cylinder, Berolina",
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
