,Austria,Belgium,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Luxembourg,Netherlands,Norway,Poland,Portugal,Romania,Russia Belarus,Slovakia,Slovenia,Spain,Sweden,Switzerland Liechtenstein,Turkey,Ukraine,UK,Åland
<<<<<<< HEAD
Entrance to built up area,,or or or,,,or,,,,or,or or,,,or,or,,,,or,,Russia: or Belarus: or,,,,,[36] Switzerland: (main roads) (minor roads) Liechtenstein: (main roads) (minor roads),,,NOT USED,
Leaving built up area,,or or or,,,or,,,,or,or or,,,,or,,,,or,,Russia: or Belarus: or,,,,,Switzerland:[37] (main roads) (minor roads) Liechtenstein: (main roads) (minor roads),,,NOT USED,
Entrance to locality,NOT USED,NOT USED,,NOT USED,NOT USED,,NOT USED,,NOT USED,NOT USED,NOT USED,NOT USED,,NOT USED,NOT USED,,,,,Russia: Belarus:,NOT USED,,or,,NOT USED,,,varying design,
Leaving locality,NOT USED,NOT USED,,NOT USED,NOT USED,NOT USED,NOT USED,NOT USED,NOT USED,NOT USED,NOT USED,NOT USED,,NOT USED,NOT USED,,,,,Russia: Belarus:,NOT USED,,,NOT USED,NOT USED,,,varying design,NOT USED
=======
No through road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or
Hospital,,,,,NOT USED,NOT USED,or,NOT USED,,,,,,,,,,or,,,DEFUNCT,,,NOT USED,[29] or [30],,,or,NOT USED
First aid,,,,,,,,,,,,NOT USED,,,,,,,,,,,,,,,,NOT USED,
Bus stop,or,NOT USED,,,,,,,,,,,,,or [31],,,,,,,,,,NOT USED,,,,local or regional
Escape lane,NOT USED,,,NOT USED,NOT USED,NOT USED,,NOT USED,,,NOT USED,NOT USED,NOT USED,,,,,,,,,,,NOT USED,,,,,NOT USED
Tunnel,,,,,,,,,,,,NOT USED,or,,,,,,,NOT USED,,,,,[32][33],,,,NOT USED
Parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
,Austria,Belgium,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Luxembourg,Netherlands,Norway,Poland,Portugal,Romania,Russia Belarus,Slovakia,Slovenia,Spain,Sweden,Switzerland Liechtenstein,Turkey,Ukraine,UK,Åland
